layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,6,0.9,0.47242268919944763,0.633263885974884,[0.37692082 0.40314934 0.42578074 0.47724992 0.5181713  0.6332639 ],0
1,2,7,0.9,0.6087285280227661,0.7439066767692566,"[0.50850284 0.5401334  0.57607085 0.5936381  0.6118432  0.68700516
 0.7439067 ]",0
2,3,7,0.9,0.5842210054397583,0.779830813407898,"[0.46066296 0.49682373 0.5091128  0.5312484  0.6112021  0.70066667
 0.7798308 ]",0
3,4,8,0.9,0.4952063262462616,0.6452295184135437,"[0.385633   0.42793953 0.43718952 0.4531728  0.48912147 0.5292832
 0.59408134 0.6452295 ]",0
4,5,8,0.9,0.5526061058044434,0.9359458088874817,"[0.41373616 0.4336763  0.4640501  0.47859612 0.51948094 0.5455111
 0.6298523  0.9359458 ]",0
5,6,9,0.9,0.5611715316772461,1.0103833675384521,"[0.39989686 0.4182978  0.45550758 0.47232953 0.48711368 0.5104039
 0.5902754  0.7063358  1.0103834 ]",0
6,7,9,0.9,0.5631480813026428,1.0906875133514404,"[0.40428865 0.43926296 0.44527146 0.4598213  0.465927   0.53528583
 0.58744764 0.64034015 1.0906875 ]",0
7,8,10,0.9,0.7013763189315796,1.5662815570831299,"[0.45120254 0.4620886  0.4982719  0.5034974  0.56119466 0.57917655
 0.6306469  0.7098375  1.0515659  1.5662816 ]",0
8,9,9,0.9,0.714758038520813,1.230059027671814,"[0.497253   0.52582383 0.564819   0.5675936  0.6079047  0.70634985
 0.7812641  0.9517551  1.230059  ]",0
9,10,8,0.9,0.6065343618392944,1.1449376344680786,"[0.35820952 0.4425958  0.44779333 0.4978678  0.5552227  0.654725
 0.7509228  1.1449376 ]",0
10,11,8,0.9,0.7079097032546997,1.4516509771347046,"[0.4114129  0.44082966 0.45878956 0.4932756  0.6632151  0.720737
 1.0233668  1.451651  ]",0
0,1,6,0.9,0.45481327176094055,0.6167802810668945,[0.36212644 0.38540965 0.41133642 0.44777927 0.5054477  0.6167803 ],1
1,2,6,0.9,0.6136401295661926,0.7368358969688416,[0.51635486 0.5529598  0.5858514  0.6111264  0.6787122  0.7368359 ],1
2,3,7,0.9,0.5855241417884827,0.7810260653495789,"[0.46107015 0.49998882 0.507596   0.5228635  0.62320673 0.7029182
 0.78102607]",1
3,4,7,0.9,0.4834602177143097,0.5975032448768616,"[0.3990911  0.4246922  0.44941184 0.4771849  0.4956858  0.54065245
 0.59750324]",1
4,5,7,0.9,0.5445998907089233,0.8358781337738037,"[0.4156677  0.43148485 0.49069446 0.5058034  0.51879334 0.61387753
 0.83587813]",1
5,6,7,0.9,0.5557224750518799,0.9475831389427185,"[0.42355117 0.43943322 0.48269734 0.48685488 0.52381265 0.5861247
 0.94758314]",1
6,7,8,0.9,0.5883511304855347,1.2009656429290771,"[0.41486815 0.43531638 0.45371732 0.4601861  0.5370239  0.55408835
 0.6506432  1.2009656 ]",1
7,8,8,0.9,0.7011198997497559,1.5468425750732422,"[0.44579166 0.49257767 0.5192388  0.54396516 0.5953829  0.63268816
 0.83247197 1.5468426 ]",1
8,9,8,0.9,0.7633243799209595,1.47152841091156,"[0.5255647  0.5350068  0.58472705 0.6318676  0.70465136 0.8080975
 0.8451518  1.4715284 ]",1
9,10,6,0.9,0.5760462880134583,0.9111908078193665,[0.36862344 0.46244225 0.4990252  0.5058583  0.7091378  0.9111908 ],1
10,11,6,0.9,0.7369852662086487,1.3830338716506958,[0.45426533 0.484779   0.55689055 0.737868   0.8050748  1.3830339 ],1
0,1,6,0.9,0.4575004279613495,0.6251519322395325,[0.36283848 0.39200798 0.4127744  0.454263   0.49796677 0.62515193],2
1,2,7,0.9,0.6041618585586548,0.7414870858192444,[0.5013325 0.5370195 0.5712526 0.5951859 0.6061514 0.6767042 0.7414871],2
2,3,7,0.9,0.5845804214477539,0.7806223034858704,"[0.46165192 0.49703252 0.50599015 0.5260614  0.62419146 0.6965132
 0.7806223 ]",2
3,4,8,0.9,0.5370959639549255,0.9378328323364258,"[0.39187956 0.42159376 0.44346678 0.4665123  0.4944755  0.534972
 0.60603464 0.93783283]",2
4,5,8,0.9,0.624932050704956,1.3941075801849365,"[0.41843307 0.4351019  0.47784078 0.47985548 0.52203625 0.6073571
 0.664724   1.3941076 ]",2
5,6,9,0.9,0.5758376121520996,1.0804301500320435,"[0.40761712 0.42375922 0.45186573 0.46610197 0.50170916 0.52668905
 0.5868614  0.73750466 1.0804302 ]",2
6,7,10,0.9,0.5726304054260254,1.0032453536987305,"[0.40542313 0.419922   0.43506697 0.4599673  0.4620766  0.53060216
 0.57596797 0.6258376  0.80819523 1.0032454 ]",2
7,8,10,0.9,0.6975117921829224,1.5043011903762817,"[0.4501064  0.4740139  0.50000054 0.53485006 0.54403347 0.5918218
 0.63518465 0.72614175 1.014664   1.5043012 ]",2
8,9,10,0.9,0.738521158695221,1.2415610551834106,"[0.47210652 0.5409585  0.55233365 0.57512796 0.6238583  0.6629351
 0.75604653 0.8582364  1.1020476  1.241561  ]",2
9,10,8,0.9,0.6493004560470581,1.2798556089401245,"[0.35906404 0.4455321  0.45240122 0.49733332 0.5519283  0.7268585
 0.88143075 1.2798556 ]",2
10,11,8,0.9,0.7540419697761536,1.5118904113769531,"[0.42492867 0.44096988 0.4725687  0.56280357 0.5958341  0.78882617
 1.2345141  1.5118904 ]",2
0,1,6,0.9,0.45842909812927246,0.6233024001121521,[0.35930517 0.38711333 0.41331774 0.46123827 0.50629765 0.6233024 ],3
1,2,7,0.9,0.5998333692550659,0.7424986958503723,"[0.49828002 0.52628255 0.56709546 0.58402866 0.59994733 0.68070024
 0.7424987 ]",3
2,3,8,0.9,0.6569170355796814,1.2818833589553833,"[0.4505334  0.47723046 0.4933125  0.50827104 0.59264284 0.6905155
 0.7609472  1.2818834 ]",3
3,4,9,0.9,0.5034048557281494,0.7516850233078003,"[0.3633371  0.41289532 0.42292947 0.43270406 0.47637042 0.5151016
 0.5619746  0.59364647 0.751685  ]",3
4,5,9,0.9,0.5630347728729248,1.1408876180648804,"[0.40489447 0.42011362 0.43977088 0.44951513 0.47690165 0.5212988
 0.59972644 0.6142038  1.1408876 ]",3
5,6,10,0.9,0.6269033551216125,1.5083049535751343,"[0.39603212 0.40819818 0.44327685 0.45865226 0.47098964 0.49446246
 0.5873911  0.67212045 0.82960516 1.508305  ]",3
6,7,11,0.9,0.6214639544487,1.4455970525741577,"[0.39952314 0.42354318 0.43326503 0.44132978 0.4571818  0.5139762
 0.54218966 0.5921526  0.6978022  0.8895424  1.445597  ]",3
