layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,6,0.9,0.5036605000495911,0.6463505625724792,[0.41367745 0.43831256 0.44348025 0.46939117 0.6107511  0.64635056],0
1,2,7,0.9,0.6164345741271973,0.7659569978713989,"[0.5078498  0.5253318  0.5634263  0.5992479  0.634482   0.71874714
 0.765957  ]",0
2,3,7,0.9,0.6101328730583191,0.8019468784332275,"[0.46283662 0.48687053 0.54620594 0.58645827 0.67239153 0.7142206
 0.8019469 ]",0
3,4,8,0.9,0.4959720969200134,0.6877452731132507,"[0.37367725 0.41022843 0.45304915 0.45870772 0.51226276 0.5270173
 0.545089   0.6877453 ]",0
4,5,8,0.9,0.5263956189155579,0.8674898147583008,"[0.40761954 0.4190344  0.43291098 0.4740908  0.5213146  0.5363732
 0.5523317  0.8674898 ]",0
5,6,8,0.9,0.525558352470398,0.8083117008209229,"[0.4112671  0.4347767  0.4409196  0.48104748 0.52093583 0.5296845
 0.5775243  0.8083117 ]",0
6,7,9,0.9,0.5108307600021362,0.7876859307289124,"[0.38721815 0.41833362 0.43789598 0.44680002 0.47312847 0.49176687
 0.5200879  0.6345598  0.78768593]",0
7,8,9,0.9,0.62391197681427,1.2339961528778076,"[0.43857652 0.45713145 0.486295   0.51590735 0.53434384 0.59217924
 0.5963216  0.760456   1.2339962 ]",0
8,9,10,0.9,0.6969181299209595,1.137241244316101,"[0.45861953 0.5054775  0.53420806 0.57025504 0.59590524 0.6085838
 0.68718773 0.91982955 0.95187354 1.1372412 ]",0
9,10,9,0.9,0.631389856338501,1.430064082145691,"[0.40790617 0.43688336 0.45084402 0.48454207 0.5583623  0.5710106
 0.665979   0.6769173  1.4300641 ]",0
10,11,7,0.9,0.6348995566368103,1.1711255311965942,"[0.4119469  0.45149526 0.46630764 0.5099371  0.5463247  0.88715976
 1.1711255 ]",0
0,1,6,0.9,0.4862184524536133,0.6157705187797546,[0.39468092 0.42162827 0.42941937 0.45810524 0.5977063  0.6157705 ],1
1,2,6,0.9,0.6196653246879578,0.7568929195404053,[0.50527763 0.5259579  0.5846321  0.6429166  0.70231485 0.7568929 ],1
2,3,7,0.9,0.6086570620536804,0.8039358258247375,"[0.46845698 0.49062982 0.53644997 0.58527935 0.65975714 0.7160905
 0.8039358 ]",1
3,4,7,0.9,0.47645363211631775,0.565790057182312,"[0.38190582 0.41182035 0.4562511  0.46457133 0.511507   0.54332966
 0.56579006]",1
4,5,7,0.9,0.4937712848186493,0.5696393251419067,"[0.41467467 0.44127256 0.4588695  0.4918392  0.5251958  0.55490804
 0.5696393 ]",1
5,6,7,0.9,0.49556154012680054,0.6148177981376648,"[0.40197238 0.44071397 0.45514745 0.493559   0.5203382  0.54238194
 0.6148178 ]",1
6,7,8,0.9,0.5123041272163391,0.8579782843589783,"[0.39589646 0.41696006 0.43596217 0.44528586 0.472449   0.50790215
 0.565999   0.8579783 ]",1
7,8,8,0.9,0.5719744563102722,0.8248780369758606,"[0.44869292 0.45864955 0.49905956 0.5285516  0.54049015 0.5711637
 0.7043101  0.82487804]",1
8,9,8,0.9,0.6337675452232361,0.9132649302482605,"[0.4985477  0.50985116 0.5607449  0.5798915  0.6074958  0.6935454
 0.7067988  0.91326493]",1
9,10,8,0.9,0.5813735723495483,0.8784193396568298,"[0.41703585 0.43705747 0.47298768 0.49701002 0.5516372  0.63040286
 0.766438   0.87841934]",1
10,11,6,0.9,0.6526813507080078,1.2575925588607788,[0.41367376 0.44750813 0.51137936 0.5595073  0.7264269  1.2575926 ],1
0,1,6,0.9,0.4910166263580322,0.6341670751571655,[0.4002678  0.4240285  0.43369502 0.45588383 0.59805745 0.6341671 ],2
1,2,7,0.9,0.609737753868103,0.7616709470748901,"[0.49855757 0.52294195 0.5554844  0.5902243  0.6278872  0.7113978
 0.76167095]",2
2,3,7,0.9,0.6076146364212036,0.805312991142273,"[0.46305326 0.4795668  0.54393846 0.58137304 0.6679153  0.71214265
 0.805313  ]",2
3,4,8,0.9,0.5195743441581726,0.8588439226150513,"[0.37675416 0.410686   0.4512117  0.4598534  0.5166053  0.5303663
 0.552274   0.8588439 ]",2
4,5,8,0.9,0.519501805305481,0.7967805862426758,"[0.41819847 0.42483684 0.44275612 0.47231984 0.5087938  0.5393865
 0.5529421  0.7967806 ]",2
5,6,9,0.9,0.5155547857284546,0.7113541960716248,"[0.40426713 0.4224901  0.43715164 0.47345144 0.5057749  0.5191808
 0.5533654  0.6129576  0.7113542 ]",2
6,7,9,0.9,0.5219873785972595,0.7911914587020874,"[0.39160806 0.41562936 0.44094616 0.45068994 0.4701275  0.47834292
 0.5707914  0.6885599  0.79119146]",2
7,8,10,0.9,0.5846534371376038,0.9281052350997925,"[0.4146948  0.44813666 0.48082292 0.48621455 0.52939445 0.5468956
 0.61465067 0.6370462  0.76057285 0.92810524]",2
8,9,10,0.9,0.6842433214187622,1.0878289937973022,"[0.4555959  0.51129174 0.54781693 0.57085484 0.5801745  0.62582475
 0.6915226  0.77293116 0.9985913  1.087829  ]",2
9,10,10,0.9,0.5936775207519531,1.175849199295044,"[0.40201837 0.43094137 0.43556452 0.47137907 0.5195643  0.559435
 0.593446   0.6028952  0.7456817  1.1758492 ]",2
10,11,7,0.9,0.6400490403175354,1.1698116064071655,"[0.41353583 0.44111958 0.46505615 0.5045583  0.55335057 0.9329114
 1.1698116 ]",2
0,1,6,0.9,0.4909466505050659,0.6402531266212463,[0.39624453 0.42717078 0.43364182 0.4543604  0.5940094  0.6402531 ],3
1,2,7,0.9,0.6090357899665833,0.7572829723358154,"[0.4961981  0.52149224 0.5517634  0.58903426 0.63487667 0.71260285
 0.757283  ]",3
2,3,8,0.9,0.6765084266662598,1.2426799535751343,"[0.4460682  0.4712058  0.53326917 0.577457   0.65426016 0.69523776
 0.7918892  1.24268   ]",3
3,4,9,0.9,0.583601176738739,1.393062710762024,"[0.36307132 0.3993222  0.4386488  0.44582346 0.49758887 0.5150922
 0.5283996  0.6714013  1.3930627 ]",3
4,5,9,0.9,0.4992391765117645,0.7894415855407715,"[0.38542503 0.39306176 0.413283   0.42777032 0.4689122  0.50716114
 0.54480153 0.5632957  0.7894416 ]",3
