layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
0,90,0.2726958096027374,0.18771760165691376,0.15176747739315033,0.1265081763267517,0.09737776964902878,0.07978713512420654,0.04105931147933006,0.015678847208619118,0.00981141161173582,0.0031419626902788877,6,6,7,0
1,90,0.2818223237991333,0.1935889571905136,0.13090305030345917,0.11193336546421051,0.09864196926355362,0.07094120979309082,0.03773632273077965,0.014763996005058289,0.011853699572384357,0.006234266329556704,6,7,9,0
2,90,0.2501397132873535,0.19678129255771637,0.14466507732868195,0.11145690828561783,0.09479373693466187,0.07711183279752731,0.03906027600169182,0.015008888207376003,0.01208693441003561,0.006917252670973539,6,7,11,0
3,90,0.25261855125427246,0.18472284078598022,0.14234453439712524,0.11024900525808334,0.08662404865026474,0.0728379562497139,0.03925823047757149,0.021828792989253998,0.015538904815912247,0.009909437969326973,7,8,13,0
4,90,0.2580522298812866,0.1787395030260086,0.1378680020570755,0.11581491678953171,0.083344466984272,0.07674708217382431,0.03992999717593193,0.018186673521995544,0.016630012542009354,0.009410361759364605,6,8,13,0
5,90,0.27518102526664734,0.1766069233417511,0.12451919168233871,0.11364447325468063,0.0824049562215805,0.0750231072306633,0.038635484874248505,0.017101217061281204,0.015443497337400913,0.010023134760558605,7,8,14,0
6,90,0.27964550256729126,0.16330289840698242,0.12468740344047546,0.10783474147319794,0.09081602841615677,0.07518158853054047,0.03769081085920334,0.01836400479078293,0.014246697537600994,0.010326537303626537,7,9,15,0
7,90,0.29291343688964844,0.1655929535627365,0.12010489404201508,0.1033077985048294,0.08948127180337906,0.06772445142269135,0.03437412157654762,0.017999473959207535,0.014549151994287968,0.011028158478438854,7,9,15,0
8,90,0.282550185918808,0.18257804214954376,0.1124662533402443,0.09705626219511032,0.09346848726272583,0.06488706916570663,0.03421713411808014,0.01882155053317547,0.013772726058959961,0.012500718235969543,7,10,16,0
9,90,0.31835392117500305,0.17325298488140106,0.11133116483688354,0.08585610240697861,0.08303853124380112,0.05359853431582451,0.0336589589715004,0.019722074270248413,0.014309639111161232,0.01213473454117775,7,10,17,0
10,90,0.46562695503234863,0.10654215514659882,0.09919032454490662,0.06584557145833969,0.06135736405849457,0.047016773372888565,0.029329227283596992,0.01804833672940731,0.012491146102547646,0.011550297029316425,7,9,16,0
11,90,0.6545926928520203,0.07444823533296585,0.05845586955547333,0.04237349331378937,0.0365072600543499,0.03151266649365425,0.020176053047180176,0.010990126989781857,0.009378998540341854,0.005967684555798769,5,7,11,0
0,90,0.2721628248691559,0.18984678387641907,0.14999450743198395,0.1259836107492447,0.0975072905421257,0.08014774322509766,0.041426580399274826,0.015745054930448532,0.012855742126703262,0.0030165878124535084,6,6,7,1
