layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,5,,1.1193933486938477,"[[-0.8742658  -0.4685494   0.0376469   0.0391224   0.11477371]
 [-0.4537845   0.86668116 -0.1597817   0.07562922  0.10813631]
 [-0.02971555  0.15455268  0.9845058   0.02690256  0.07249227]
 [-0.03363485  0.03865594  0.00238254 -0.97137916  0.23192953]
 [-0.16650745  0.06280468  0.06160572 -0.2201101  -0.95712435]]",0
1,2,5,,1.3706645965576172,"[[-0.9052317  -0.38079455 -0.08293413 -0.13686123 -0.09970953]
 [-0.39062545  0.88364136 -0.17182969  0.11891283  0.15140663]
 [-0.13458908  0.14787617  0.97534245 -0.08639589 -0.03551419]
 [ 0.09898154  0.21220958 -0.11078754 -0.8651884  -0.42935392]
 [-0.00746725  0.08528261 -0.00545027  0.4594708  -0.8840407 ]]",0
2,3,5,,1.3792508840560913,"[[ 0.98828876  0.08896881  0.07603307 -0.09689722 -0.01413502]
 [ 0.05675113 -0.9415067   0.32035455 -0.04525413  0.07529636]
 [-0.09599914  0.29103196  0.92774934  0.04639836 -0.20787728]
 [ 0.10414151 -0.0652338  -0.0439029   0.9846897  -0.11557563]
 [ 0.00183472  0.12920798  0.17013425  0.12960044  0.9682768 ]]",0
3,4,5,,1.0711426734924316,"[[ 0.946385   -0.26717937  0.15250319  0.09851114 -0.00296786]
 [ 0.29716593  0.9308459  -0.1960544  -0.02434463  0.07866585]
 [-0.08303479  0.23292555  0.96493644 -0.06611027 -0.05812041]
 [-0.09022436  0.06879681  0.03934585  0.99038416 -0.06868515]
 [ 0.03181937  0.05615844 -0.07519971 -0.06686936 -0.9928279 ]]",0
4,5,5,,1.2076646089553833,"[[ 0.98501056 -0.14539057  0.08123869  0.04481646  0.00275698]
 [ 0.15888292  0.9340039  -0.2996145   0.08557215 -0.07281113]
 [-0.02846506  0.31137288  0.9456473  -0.07546522 -0.04788411]
 [-0.06079949 -0.05801491  0.09145351  0.9879764  -0.09206899]
 [-0.00190741 -0.0786097  -0.03191991 -0.09421591 -0.99192816]]",0
5,6,5,,1.214539885520935,"[[ 9.9591762e-01  2.8916961e-04 -7.5113908e-03 -8.9952253e-02
  -5.1876402e-04]
 [ 2.0998002e-03  9.9380618e-01 -9.1131151e-02  3.4361124e-02
  -5.3472150e-02]
 [ 3.7592359e-02  6.9378182e-02  9.3383235e-01  3.3893058e-01
  -8.2805380e-02]
 [ 7.9227507e-02 -7.4755922e-02 -3.4582263e-01  9.0704852e-01
  -2.1401899e-01]
 [ 2.1297622e-02  4.4129353e-02 -1.6084274e-03  2.3047090e-01
   9.7184342e-01]]",0
6,7,5,,1.1650059223175049,"[[ 0.9933379   0.09694435  0.05739663  0.01208347  0.02100489]
 [-0.0819036   0.9712451  -0.16163227 -0.02717835 -0.15202323]
 [-0.06331596  0.12124974  0.9641081   0.04158907 -0.22373083]
 [-0.02133052  0.05604741 -0.00437724  0.97807926  0.19936264]
 [-0.04590966  0.17158642  0.20262532 -0.20185786  0.9416193 ]]",0
7,8,5,,1.2301807403564453,"[[ 0.98637736 -0.15317512 -0.01915577  0.05474327  0.01527335]
 [ 0.15783964  0.97957253 -0.03770571 -0.11849006  0.00791805]
 [ 0.03332984  0.00154761  0.9669368  -0.25192657 -0.02128042]
 [-0.02858086  0.12995514  0.2511027   0.9583273   0.02917158]
 [-0.01478387 -0.00918225  0.01385397 -0.0332415   0.9991998 ]]",0
8,9,5,,1.4371525049209595,"[[ 0.98918    -0.07586163  0.00799238  0.07764453  0.09836347]
 [ 0.06684566  0.93736464 -0.33549234  0.01903061  0.06294398]
 [ 0.01918904 -0.11614987 -0.41930476  0.568945   -0.697586  ]
 [-0.11762649 -0.22650945 -0.50015706  0.44470417  0.6978099 ]
 [ 0.05338877 -0.22537799 -0.6792698  -0.6871309  -0.11312806]]",0
9,10,5,,1.2653629779815674,"[[ 0.8185635   0.25544664  0.504934    0.0982456   0.00949919]
 [-0.39922667  0.89415514  0.1786294   0.08719507 -0.03991476]
 [-0.40892208 -0.3429759   0.8365428  -0.01250869  0.12324765]
 [-0.0433378  -0.0871907  -0.077543    0.9633382   0.23766813]
 [ 0.03842423  0.09999451 -0.08553613 -0.23359747  0.9626217 ]]",0
10,11,5,,1.6381452083587646,"[[-0.88166434  0.44601598  0.08580236 -0.12454405  0.02940164]
 [ 0.08769118  0.01129083  0.97466534  0.04374519 -0.20074007]
 [ 0.33319938  0.8066005  -0.11348493  0.38651994 -0.27585733]
 [ 0.2894553   0.31722492  0.01223601 -0.9029875   0.00691976]
 [ 0.14202823  0.2229489   0.17215356  0.13338333  0.93951786]]",0
0,1,5,,1.0774513483047485,"[[-0.855049   -0.5094907   0.03312774  0.02987017  0.08556089]
 [-0.49484268  0.84787476 -0.11390007  0.10420941  0.11138398]
 [-0.02260059  0.11264659  0.99125093 -0.00916425  0.06432405]
 [-0.04770594  0.05829481 -0.03107932 -0.97171545  0.22165066]
 [-0.1457233   0.07375703  0.04883638 -0.20960265 -0.9628117 ]]",1
1,2,5,,1.3668160438537598,"[[-0.90464956 -0.38270602 -0.02667096 -0.1663119  -0.08230665]
 [-0.39681992  0.87192404 -0.21172975  0.10585354  0.16201201]
 [-0.10362952  0.19969875  0.9731397  -0.03516473 -0.0338217 ]
 [ 0.11410947  0.19946662 -0.07212558 -0.9288834  -0.2813642 ]
 [-0.01957486  0.11669599 -0.04749977  0.31156808 -0.94163054]]",1
2,3,5,,1.3738682270050049,"[[ 0.9886943   0.04877203  0.09520968 -0.10500683  0.00368248]
 [ 0.0161227  -0.94554     0.31717116 -0.00229027 -0.07135329]
 [-0.09845513  0.29597908  0.92972165  0.05997843  0.18634154]
 [ 0.111626   -0.02508391 -0.05781949  0.9893566   0.06885405]
 [-0.00835835  0.12386476  0.1503732   0.08089775 -0.9774616 ]]",1
3,4,5,,1.096876621246338,"[[ 0.9314477  -0.31347695  0.1449164   0.11447971  0.00557027]
 [ 0.3412182   0.92227006 -0.15940933 -0.05243279  0.06947981]
 [-0.07704629  0.19606164  0.97439903 -0.06778366 -0.03969481]
 [-0.09132788  0.10345529  0.03649605  0.98492193 -0.09774053]
 [-0.04121173 -0.04479812  0.0529391   0.09736285  0.9919741 ]]",1
