layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,6,0.9,1.2379590272903442,"[[-0.87376916 -0.46892428  0.03662813  0.03884361  0.1155524  -0.02085005]
 [-0.45298067  0.8660757  -0.16141495  0.07516921  0.10938963 -0.0324056 ]
 [-0.02936847  0.15422271  0.9830417   0.02724682  0.07336725 -0.05344834]
 [-0.03541143  0.0399617   0.00564006 -0.9700941   0.22931312  0.05873865]
 [-0.16605675  0.06241154  0.06009752 -0.2199414  -0.95616126 -0.04795497]
 [-0.04055532  0.02731535  0.05088297  0.0513968  -0.04969815  0.9949415 ]]",0
1,2,7,0.9,1.6193383932113647,"[[-0.9029347  -0.3817715  -0.08552861 -0.13784298 -0.09897804 -0.00657012
   0.05295078]
 [-0.38795826  0.87803304 -0.17941965  0.1141889   0.14991842 -0.10361557
  -0.01020786]
 [-0.12773734  0.14726987  0.9623524  -0.08778723 -0.03745596 -0.10358099
   0.12662543]
 [ 0.09956932  0.21165563 -0.11032164 -0.86506116 -0.42807055  0.03923535
  -0.00153684]
 [-0.00629901  0.07907467 -0.00907043  0.45438188 -0.88422877 -0.06628115
  -0.0301455 ]
 [-0.07042925  0.10031264  0.09727572  0.06329163 -0.02950523  0.98115784
  -0.08926062]
 [ 0.05446523  0.02250812 -0.11249695  0.03813234 -0.01869473  0.09944015
   0.98599166]]",0
2,3,7,0.9,1.6129190921783447,"[[ 0.98573726  0.09102485  0.07249492 -0.10105601 -0.02170989 -0.05219888
  -0.03704844]
 [ 0.05481704 -0.938957    0.31639802 -0.04679707  0.06831368 -0.04327352
  -0.08073256]
 [-0.09306173  0.28910914  0.92969894  0.05110057 -0.20114805  0.01586435
   0.00958057]
 [ 0.10003912 -0.06416171 -0.04897926  0.97319674 -0.12746488 -0.13960478
   0.02505621]
 [-0.00346332  0.13149673  0.16189666  0.11597387  0.95060325 -0.18967722
  -0.05841371]
 [ 0.07333986 -0.02969622  0.02943726  0.15253209  0.17702255  0.96716416
   0.05351085]
 [ 0.0354687  -0.06480813  0.02864541 -0.0340382   0.05630803 -0.06540362
   0.9925294 ]]",0
3,4,8,0.9,1.4089220762252808,"[[ 0.9435932  -0.26299936  0.14937203  0.10024135 -0.00186897 -0.042548
  -0.05189673 -0.0599645 ]
 [ 0.29879794  0.92563874 -0.19429693 -0.02619524  0.07591426  0.08116811
   0.05554082  0.00625671]
 [-0.08345502  0.23166126  0.9642703  -0.06553753 -0.0583033   0.01154726
  -0.0020216  -0.0414644 ]
 [-0.08885227  0.0667519   0.03944771  0.98406965 -0.07475682  0.08307622
  -0.0566229   0.04476465]
 [ 0.03308323  0.05568104 -0.07286506 -0.06317744 -0.9878111  -0.0759936
   0.06895144  0.01429605]
 [ 0.03074658 -0.09562675  0.00592424 -0.07763432 -0.07081261  0.9866969
   0.06321249  0.03559802]
 [ 0.01765921 -0.0575783   0.02254605  0.07545812  0.06244893 -0.05529187
   0.98615795 -0.1034711 ]
 [ 0.05603947 -0.01847546  0.05206444 -0.02940831  0.02367858 -0.04651505
   0.09876375  0.9901839 ]]",0
4,5,8,0.9,1.5140786170959473,"[[ 9.81118083e-01 -1.44048363e-01  7.87640885e-02  4.19572070e-02
   1.63910687e-02 -5.30779660e-02 -3.84492464e-02  6.42566681e-02]
 [ 1.59086153e-01  9.31248546e-01 -2.97555178e-01  8.80364850e-02
  -9.18675438e-02  4.50674109e-02  1.48454885e-04  2.65970826e-02]
 [-2.69608125e-02  3.12544852e-01  9.42089260e-01 -7.87052512e-02
  -3.86827663e-02 -4.10079360e-02 -5.10184951e-02 -4.56204340e-02]
 [-6.15824498e-02 -5.46706468e-02  8.29169378e-02  9.78652596e-01
  -6.42536655e-02 -1.15116596e-01 -9.00951475e-02 -5.55435307e-02]
 [-1.03595797e-02 -5.77269681e-02 -4.80359942e-02 -1.15850732e-01
  -8.32235038e-01 -5.33753633e-01  4.03700806e-02 -4.11530435e-02]
 [ 3.45680602e-02 -8.90840366e-02  4.45165075e-02  4.93173972e-02
  -5.38889706e-01  8.32008421e-01 -5.70425130e-02 -2.36894228e-02]
 [ 2.29635928e-02  1.34153373e-03  7.00771138e-02  9.91631821e-02
  -1.15059717e-02  5.32699376e-02  9.81465220e-01  1.35950610e-01]
 [ 7.58290216e-02  9.09992680e-03 -4.06168774e-02 -2.90998518e-02
   5.01713157e-02  1.57953687e-02  1.40156791e-01 -9.84510064e-01]]",0
5,6,8,0.9,1.501129150390625,"[[ 9.93421614e-01 -5.99365216e-04 -6.63179299e-03 -7.70993158e-02
   2.03143749e-02 -7.32087642e-02  1.19135715e-02  3.47962752e-02]
 [ 2.91767484e-03  9.92100120e-01 -9.33053046e-02  4.15001810e-02
  -4.33134288e-02 -3.54912579e-02  1.10379551e-02 -4.52020019e-02]
 [ 4.03483622e-02  6.98009133e-02  9.30748105e-01  3.23694527e-01
  -1.07631691e-01  8.20860118e-02  5.14579564e-02 -3.81967612e-02]
 [ 7.97728524e-02 -7.21867308e-02 -3.44028324e-01  8.85543346e-01
  -2.46873021e-01  1.43195987e-01 -8.24944675e-03  6.60557151e-02]
 [ 2.82794610e-02  5.08695170e-02 -2.57368805e-03  1.52391702e-01
   8.49404156e-01  4.96244997e-01  3.21547426e-02  6.78398386e-02]
 [ 5.23192212e-02  1.53840361e-02 -3.78919989e-02 -2.73742706e-01
  -4.43922162e-01  8.47727120e-01  1.33688096e-02 -6.90515935e-02]
 [-1.79301873e-02 -1.27624841e-02 -4.46148291e-02 -1.60538554e-02
  -2.42160503e-02 -2.73914132e-02  9.94452715e-01  8.36327523e-02]
 [ 3.54234613e-02 -5.16400784e-02 -5.62998950e-02  7.03713670e-02
   7.77151957e-02 -2.20646504e-02  8.28934535e-02 -9.87197459e-01]]",0
6,7,9,0.9,1.5508376359939575,"[[ 0.99294394  0.09547419  0.05511148  0.01237442  0.0132662  -0.01963389
  -0.0276594  -0.0133219   0.01589536]
 [-0.08150686  0.96804404 -0.16362947 -0.02390347 -0.15913324 -0.05115618
   0.0241504   0.01215085 -0.01517591]
 [-0.0629005   0.11877349  0.9622484   0.04416514 -0.22982545 -0.03421828
   0.00113221 -0.00458985 -0.00712918]
 [-0.02183799  0.05276859 -0.00932577  0.97876203  0.18262625 -0.00607438
  -0.05939304 -0.03068534  0.02860103]
 [-0.04338353  0.13336618  0.16822812 -0.16986479  0.82543176 -0.48119777
  -0.08003871 -0.06041612 -0.0152091 ]
 [-0.00669033  0.13560042  0.12190643 -0.08170823  0.44036585  0.8686547
   0.05118057 -0.08786368 -0.03475164]
 [ 0.02547473 -0.01574463  0.00888914  0.05070143  0.05239259 -0.08691636
   0.98995155 -0.06224111 -0.04770644]
 [ 0.01142107  0.01110313  0.02872296  0.0159524   0.0996931   0.04254847
   0.06023477  0.991524    0.01302199]
 [-0.0167135   0.01840414  0.01064053 -0.03153279  0.0196226   0.01767991
   0.04964706 -0.01866105  0.99737847]]",0
7,8,9,0.9,1.9342591762542725,"[[ 9.8285860e-01 -1.5397424e-01 -2.0462075e-02  5.5931907e-02
   1.9835027e-02 -6.2334407e-02 -4.8320921e-04 -8.0896188e-03
   4.8878234e-02]
 [ 1.4551820e-01  9.6823418e-01 -4.3117080e-02 -1.1341742e-01
   1.9515472e-02 -8.6579055e-02  2.9585764e-02  4.6469338e-02
   1.2535141e-01]
 [ 2.6561802e-02 -4.2887735e-03  9.6378022e-01 -2.4868970e-01
  -1.2405221e-02 -7.1379207e-02  1.1373409e-02  7.8190453e-03
   5.5837020e-02]
 [-2.6888886e-02  1.3156351e-01  2.5138769e-01  9.5729935e-01
   2.9273679e-02  1.0936868e-02 -1.5204307e-02  1.3739782e-02
  -3.0881179e-02]
 [-2.9971830e-03  3.8665778e-03  2.0040045e-02 -3.8926534e-02
   9.7719246e-01  1.8789029e-01 -3.7732977e-02 -6.7594655e-02
  -4.3111205e-02]
 [ 7.0138216e-02  5.8952820e-02  5.3562410e-02 -2.1853028e-02
  -1.7807116e-01  9.6717560e-01  1.4455131e-02  4.7696747e-02
   1.3651703e-01]
 [-8.8282190e-03 -3.5008468e-02 -8.3067324e-03  2.1343643e-02
   4.6455067e-02 -9.2791673e-03  9.9601799e-01  5.5742461e-02
   2.7725153e-02]
 [-8.6762970e-03 -5.9192702e-02 -1.4019853e-02 -3.3317783e-03
   7.6833591e-02 -3.8509369e-02 -6.3466810e-02  9.8997760e-01
   6.8871431e-02]
 [ 7.9392985e-02  1.1518440e-01  4.6021257e-02 -5.7271361e-02
  -5.9489787e-02  1.0537316e-01  3.2424115e-02  8.6708605e-02
  -9.7561222e-01]]",0
8,9,10,0.9,2.2354471683502197,"[[ 9.77733195e-01 -9.25900862e-02 -8.18398222e-03  6.52476177e-02
   9.53015313e-02 -3.47620435e-02  4.94594350e-02 -1.20301902e-01
  -5.80943227e-02 -2.35806629e-02]
 [ 6.39727190e-02  9.23722565e-01 -3.37655127e-01  1.76049136e-02
   6.40557110e-02  1.04245260e-01  4.91598882e-02 -8.94238278e-02
  -5.09550273e-02 -1.85302794e-02]
 [ 2.26349812e-02 -1.16270706e-01 -4.07356352e-01  5.73704004e-01
  -6.84547126e-01  7.08812922e-02  2.11428874e-03  7.52194505e-03
   1.14670992e-01 -6.36684448e-02]
 [-1.15320809e-01 -2.20586404e-01 -4.94709700e-01  4.46465194e-01
   6.96978927e-01 -2.09690910e-02 -2.91416049e-03  4.04618941e-02
   2.09155232e-02  7.53088742e-02]
 [ 6.71225712e-02 -2.07395151e-01 -6.49384499e-01 -6.65149570e-01
  -9.97643322e-02  1.28766596e-01 -1.59973949e-01  1.44203946e-01
   1.23460039e-01  1.39696496e-02]
 [ 1.30580608e-02 -7.33964145e-02  1.33939818e-01  5.73605560e-02
   7.19702691e-02  9.80238974e-01  9.71662812e-04  2.80431239e-03
  -7.99631402e-02 -2.75896080e-02]
 [-6.91719279e-02 -1.01707540e-01 -1.13615721e-01 -1.26581848e-01
  -1.32047096e-02  8.09023902e-03  9.55932915e-01 -1.09505877e-01
  -4.65240926e-02 -1.66540429e-01]
 [ 1.18967190e-01  1.10981151e-01  8.79691616e-02  7.19723552e-02
   1.63004678e-02 -9.12978593e-03  1.49956927e-01  9.65929389e-01
   6.39197603e-02 -2.58853026e-02]
 [ 3.38251777e-02  2.45802030e-02  2.50401571e-02 -2.41787173e-03
  -7.32680336e-02  4.55264337e-02  1.80195108e-01 -2.19145007e-02
   1.85277686e-01  9.60676610e-01]
 [-3.70935090e-02 -6.57370910e-02 -1.19712457e-01 -6.49818080e-03
  -1.07186973e-01 -5.28189205e-02 -2.76834071e-02  9.76891518e-02
  -9.58241761e-01  1.92649364e-01]]",0
9,10,9,0.9,1.9977178573608398,"[[ 7.30922163e-01  2.35729039e-01  4.94143903e-01  9.22504887e-02
  -2.68952567e-02  2.49383822e-02 -4.43288721e-02  2.64063478e-01
   2.90613890e-01]
 [-4.05119032e-01  8.80616307e-01  1.69409856e-01  7.45373592e-02
  -3.07287853e-02  4.61285859e-02 -1.44433036e-01  1.07510602e-02
  -4.57088649e-02]
 [-3.72385859e-01 -3.39688569e-01  8.35827827e-01 -1.31393624e-02
   1.41623914e-01 -4.87012416e-03 -4.07552272e-02 -5.13549745e-02
  -1.50931299e-01]
 [-7.35026449e-02 -9.81071293e-02 -8.17514583e-02  9.54996288e-01
   2.29928926e-01  4.89483401e-02 -5.38559221e-02  2.49190610e-02
   8.65245610e-02]
 [ 2.43925005e-02  1.00796364e-01 -8.40651765e-02 -2.21421778e-01
   9.37815905e-01 -1.82585686e-01  4.30645086e-02  6.71987757e-02
   1.18085697e-01]
 [-7.31426431e-03 -6.46515563e-02 -5.70068173e-02 -1.14735529e-01
   1.60735279e-01  9.43496823e-01 -2.23955259e-01  1.14780068e-01
  -3.53717507e-04]
 [ 6.17533401e-02  1.38174564e-01  8.17755014e-02  7.36646354e-02
   4.75784652e-02  2.50828773e-01  9.20798123e-01 -1.36366278e-01
  -1.82583958e-01]
 [-1.99715018e-01 -6.88926205e-02 -6.82574511e-02 -9.80146602e-03
  -6.63484484e-02 -7.61976838e-02  1.63852528e-01  9.43259060e-01
  -1.54334590e-01]
 [-3.36466044e-01 -7.58630484e-02  1.29474411e-02 -7.76473582e-02
  -1.15790948e-01  5.08485585e-02  2.14208499e-01  2.95489524e-02
   9.01158750e-01]]",0
