layer,level_from,level_to,G,boot_id
0,1,2,0.9619415005048116,0
0,2,3,0.9622943940616789,0
0,3,4,0.9683923891612461,0
0,4,5,0.9579577985264006,0
0,5,6,0.9633418349992662,0
0,6,7,0.9720148926689511,0
0,7,8,0.9874049453508287,0
0,8,9,0.9345116842360723,0
0,9,10,0.9649425177347093,0
1,1,2,0.9462796648343405,0
1,2,3,0.9336610777037484,0
1,3,4,0.9056127951258705,0
1,4,5,0.8959861000378927,0
1,5,6,0.9014513265518915,0
1,6,7,0.9386560037022545,0
1,7,8,0.9678980282374791,0
1,8,9,0.9142339598564875,0
1,9,10,0.9201486337752569,0
2,1,2,0.9290110099883306,0
2,2,3,0.9103911632583255,0
2,3,4,0.8769242224239168,0
2,4,5,0.8699382089433216,0
2,5,6,0.8981988657088507,0
2,6,7,0.9266284760974702,0
2,7,8,0.9537325501441956,0
2,8,9,0.8962584904261998,0
2,9,10,0.919041463306972,0
3,1,2,0.8772771528788975,0
3,2,3,0.8778319160143534,0
3,3,4,0.870934662364778,0
3,4,5,0.8477043452717009,0
3,5,6,0.8698191103481111,0
3,6,7,0.9190099835395813,0
3,7,8,0.9313287280854725,0
3,8,9,0.8545128930182684,0
3,9,10,0.8842324983505976,0
4,1,2,0.8826661847886585,0
4,2,3,0.8969913323720297,0
4,3,4,0.8678096788270133,0
4,4,5,0.8514623102687654,0
4,5,6,0.8554034261476426,0
4,6,7,0.9100242512566703,0
4,7,8,0.9188314250537327,0
4,8,9,0.8494652452923003,0
4,9,10,0.8922679594584874,0
5,1,2,0.8688555870737348,0
5,2,3,0.8928510688600086,0
5,3,4,0.8591619644846235,0
5,4,5,0.8426833209537324,0
5,5,6,0.8434115364438012,0
5,6,7,0.8910154416447594,0
5,7,8,0.8914679374013629,0
5,8,9,0.844610313574473,0
5,9,10,0.8801496227582296,0
6,1,2,0.8515997642562503,0
6,2,3,0.8771338718278068,0
6,3,4,0.8410931087675548,0
6,4,5,0.8241497363362994,0
6,5,6,0.8347450835364205,0
6,6,7,0.8778975095067706,0
6,7,8,0.8777337301345098,0
6,8,9,0.8338830272356669,0
6,9,10,0.8717209810302371,0
7,1,2,0.8548465314365569,0
7,2,3,0.8617270191510519,0
7,3,4,0.8271506400335402,0
7,4,5,0.8192549092429025,0
7,5,6,0.8233884998730251,0
7,6,7,0.8662555586724054,0
7,7,8,0.8710968324116298,0
7,8,9,0.8071996995380947,0
7,9,10,0.8734365077245803,0
8,1,2,0.8188427942139762,0
8,2,3,0.853009907972245,0
8,3,4,0.8200669657616388,0
8,4,5,0.8176400406020028,0
8,5,6,0.7962469430196852,0
8,6,7,0.8424646655718485,0
8,7,8,0.8476043428693499,0
8,8,9,0.8013738223484584,0
8,9,10,0.8454230626424154,0
9,1,2,0.8311959959211803,0
9,2,3,0.8183992278008234,0
9,3,4,0.7907993282590594,0
9,4,5,0.815015747433617,0
9,5,6,0.7722938458124796,0
9,6,7,0.7747260332107544,0
9,7,8,0.7775043022064936,0
9,8,9,0.7351327595256624,0
9,9,10,0.8334774885858808,0
10,1,2,0.8111336827278137,0
10,2,3,0.732509868485587,0
10,3,4,0.7695245203517732,0
10,4,5,0.7894585274514698,0
10,5,6,0.8176887063753038,0
10,6,7,0.73506422269912,0
10,7,8,0.7582492459388006,0
10,8,9,0.7623314800716582,0
10,9,10,0.8476205666859945,0
11,1,2,0.892731941881634,0
11,2,3,0.5074210519946757,0
11,3,4,0.49737689786014105,0
11,4,5,0.646209292113781,0
11,5,6,0.8992322910399664,0
11,6,7,0.7152732894534156,0
11,7,8,0.7642579277356466,0
11,8,9,0.5416444277036048,0
11,9,10,0.9242698096093678,0
0,1,2,0.9566170076529185,1
0,2,3,0.9546602964401245,1
0,3,4,0.9738723337650299,1
0,4,5,0.9510655999183655,1
0,5,6,0.9613884488741556,1
0,6,7,0.9679563144842783,1
0,7,8,0.9801418085892996,1
0,8,9,0.9387644430001577,1
0,9,10,0.9636315703392029,1
1,1,2,0.9506331284840902,1
1,2,3,0.9356668293476105,1
1,3,4,0.9221632381280264,1
1,4,5,0.9067118366559347,1
1,5,6,0.9094114800294241,1
1,6,7,0.9340047836303711,1
1,7,8,0.9626729786396027,1
1,8,9,0.9313730696837107,1
1,9,10,0.9288379450639089,1
2,1,2,0.9326252738634745,1
2,2,3,0.9192123810450236,1
2,3,4,0.8958237568537394,1
2,4,5,0.8682390948136648,1
2,5,6,0.901317318280538,1
2,6,7,0.9297966261704763,1
2,7,8,0.9511744578679403,1
2,8,9,0.915388286113739,1
2,9,10,0.9320350488026937,1
