metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
residual_fro,1.094949892759323,1.022754219174385,0.07219567358493806,0.06621032804250708,0.07794760359823702,0.0,3.3057898936897114,100,100,0,1,0.0
residual_fro,1.360331267118454,1.3377174961566924,0.022613770961761537,0.0196159560382367,0.025763228327035936,0.0,1.8951580315528929,100,100,1,2,0.0
residual_fro,1.37078337430954,1.2934450316429138,0.07733834266662609,0.07347301518917078,0.08107698488235465,0.0,5.610789078002764,100,100,2,3,0.0
residual_fro,1.1080600035190582,1.0722618329524993,0.03579817056655887,0.022740140825510215,0.05167804554104801,0.0,0.6982968077967006,100,100,3,4,0.0
residual_fro,1.2744395959377288,1.1655787575244902,0.10886083841323857,0.08652334427833569,0.13276636162400254,0.0,1.310947689877794,100,100,4,5,0.0
residual_fro,1.161085431575775,1.2415862309932708,-0.08050079941749577,-0.09613834100961695,-0.06324623766541466,0.0,-1.3707309236786658,100,100,5,6,0.0
residual_fro,1.1660076987743377,1.13836669921875,0.027640999555587742,0.01857073929905901,0.03679917261004438,0.0,0.8583709928218813,100,100,6,7,0.0
residual_fro,1.2203140723705292,1.3383166146278382,-0.118002542257309,-0.12475554350018514,-0.11167853128910066,0.0,-4.7571962030574015,100,100,7,8,0.0
residual_fro,1.4464110779762267,1.5767493450641632,-0.1303382670879365,-0.1349469693005084,-0.1253723959922791,0.0,-7.167787392474812,100,100,8,9,0.0
residual_fro,1.2590323531627654,1.3635297369956971,-0.10449738383293172,-0.10935349282622339,-0.0999610350131989,0.0,-5.909285288252118,100,100,9,10,0.0
residual_fro,1.5851772606372834,1.7894403898715974,-0.204263129234314,-0.21279188635945318,-0.19648780164122576,0.0,-6.9862349057375175,100,100,10,11,0.0
