metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,level_from,level_to,q_value
G,0.9598560465342468,0.9668645580283233,-0.0070085114940764415,-0.008456871800100954,-0.00568963074813062,0.0,-1.3275570050965864,100,100,0,1,2,0.0
G,0.9598404905919043,0.9720405465828048,-0.01220005599090046,-0.013304040330246495,-0.01112233729099941,0.0,-2.9296178562483215,100,100,0,2,3,0.0
G,0.9695574755611873,0.9756673734892928,-0.006109897928105457,-0.007070428035905007,-0.0052287920649091435,0.0,-1.795153057928133,100,100,0,3,4,0.0
G,0.9581395532124573,0.9741643246549462,-0.016024771442488928,-0.017512483801988353,-0.014574417913279378,0.0,-3.0952091315796926,100,100,0,4,5,0.0
G,0.9624170562005232,0.9615869759571929,0.0008300802433303112,-0.0005190922425261146,0.002148096424826017,0.238,0.17488918551744168,100,100,0,5,6,0.24480000000000002
G,0.9698675952960576,0.9265857515760829,0.04328184371997468,0.04146800759007795,0.04531940017225519,0.0,6.244055510728659,100,100,0,6,7,0.0
G,0.9817132891004993,0.9440152509307103,0.037698038169789005,0.036351476681646566,0.03894795506082138,0.0,7.799184222365483,100,100,0,7,8,0.0
G,0.9373073188974747,0.9767094749770469,-0.039402156079572204,-0.04072944316407517,-0.03798080273677404,0.0,-7.90215181181811,100,100,0,8,9,0.0
G,0.9648662999977194,0.9648682222565016,-1.9222587821499104e-06,-0.0016627118937197704,0.001621599482768704,0.98,-0.00034143101583064973,100,100,0,9,10,0.98
G,0.9457770052661024,0.8903184098080983,0.055458595458004134,0.05287717425388009,0.057970445977411855,0.0,6.11406003307912,100,100,1,1,2,0.0
G,0.9284638965583983,0.9185587516252012,0.009905144933197163,0.007905196045492727,0.011961587928992542,0.0,1.3764746666291452,100,100,1,2,3,0.0
G,0.9087726584039036,0.9275436656560219,-0.01877100725211822,-0.020429457734596493,-0.016929660466502915,0.0,-3.0166473457695075,100,100,1,3,4,0.0
G,0.9001221998920517,0.9279258533172191,-0.02780365342516744,-0.029890577818914663,-0.02568613239365892,0.0,-3.6533565104009584,100,100,1,4,5,0.0
G,0.9059041839549465,0.9209669012545593,-0.015062717299612727,-0.01762791485214054,-0.01235337890506019,0.0,-1.5978533946751887,100,100,1,5,6,0.0
G,0.9343088883539988,0.9119925707469857,0.022316317607013136,0.019759795074093995,0.024862981636550246,0.0,2.365751277412998,100,100,1,6,7,0.0
G,0.9613430294082277,0.9376960030420434,0.02364702636618432,0.022045129907154886,0.025164099800763853,0.0,4.199893111314321,100,100,1,7,8,0.0
G,0.9211905881568554,0.9183118004065658,0.002878787750289602,0.0007642478120230472,0.005102727884822933,0.008,0.3575089004697885,100,100,1,8,9,0.00864
G,0.9249447406047867,0.9155701365082984,0.00937460409648827,0.0069488211421501744,0.01162432353058982,0.0,1.1813598347764884,100,100,1,9,10,0.0
G,0.9275364723584011,0.8740812771041243,0.05345519525427678,0.05057232366731712,0.05633700431957854,0.0,4.971594589166977,100,100,2,1,2,0.0
G,0.9060905257993277,0.898376794021281,0.007713731778046684,0.0053650353981388454,0.010078841543481515,0.0,0.872406008677219,100,100,2,2,3,0.0
G,0.878278585937288,0.9124837424433422,-0.03420515650605416,-0.036555928985112396,-0.031967513263887706,0.0,-4.034017332671216,100,100,2,3,4,0.0
G,0.8674245738732437,0.9152298761128432,-0.047805302239599556,-0.05045627237544175,-0.04483050320557634,0.0,-4.860982114050955,100,100,2,4,5,0.0
G,0.8957348295383983,0.9116461010471224,-0.015911271508724067,-0.018170539215337143,-0.01332516220799762,0.0,-1.8246682391487308,100,100,2,5,6,0.0
G,0.9247957432359931,0.8939658095538617,0.030829933682131383,0.028044937135527463,0.03355041115509839,0.0,3.324154623499525,100,100,2,6,7,0.0
G,0.9470011299616762,0.9163798321140191,0.030621297847657103,0.028743149937405437,0.03256645529952553,0.0,4.401829390567051,100,100,2,7,8,0.0
G,0.9002862503935422,0.9049314482103265,-0.004645197816784297,-0.007110527368894834,-0.002289403567805762,0.0,-0.5287842468746978,100,100,2,8,9,0.0
G,0.9210675590430932,0.8987483382518329,0.022319220791260364,0.020294892910785324,0.02427962464555377,0.0,2.948789162746609,100,100,2,9,10,0.0
G,0.8669966626285561,0.8557437088044861,0.011252953824069989,0.007515173685515164,0.014786751449640286,0.0,0.869429998119103,100,100,3,1,2,0.0
G,0.8639884681242799,0.8797363040792564,-0.01574783595497653,-0.019081397579657523,-0.012470335701285357,0.0,-1.2894022830839087,100,100,3,2,3,0.0
G,0.8716562767582281,0.8992886737949318,-0.027632397036703726,-0.02993972639731223,-0.025165101494439117,0.0,-3.0678914134123123,100,100,3,3,4,0.0
G,0.8489281379717682,0.9041634848117829,-0.05523534684001463,-0.05808018850399159,-0.05233775616600425,0.0,-5.284675911416814,100,100,3,4,5,0.0
G,0.8647049958729557,0.9065936574041846,-0.04188866153122894,-0.04450828941453757,-0.03916745342803861,0.0,-4.430595301891899,100,100,3,5,6,0.0
G,0.9164683740597869,0.8576285570552425,0.058839817004544326,0.05591228645104508,0.06177101840663049,0.0,5.255284269823716,100,100,3,6,7,0.0
G,0.9224118472025508,0.8727426196048185,0.04966922759773229,0.04686715137199274,0.05271411483600019,0.0,4.663341175568638,100,100,3,7,8,0.0
G,0.8481811022408425,0.8985632324672879,-0.05038213022644533,-0.05325085904035301,-0.04732299904211882,0.0,-4.566424113840492,100,100,3,8,9,0.0
G,0.8791615407646647,0.8638743882605007,0.015287152504164014,0.012301657402491803,0.01829001654827659,0.0,1.3594463637481267,100,100,3,9,10,0.0
G,0.8758570387547924,0.8521025571241266,0.023754481630665736,0.0202493130346731,0.027292082723868925,0.0,1.8748044518495357,100,100,4,1,2,0.0
G,0.886228206754204,0.8706309991459997,0.015597207608204267,0.01279233046399936,0.018348616707017516,0.0,1.467339330134834,100,100,4,2,3,0.0
G,0.8662093814729698,0.8863423193839809,-0.020132937911011117,-0.023173342614964162,-0.01739951450728937,0.0,-1.9599007246305615,100,100,4,3,4,0.0
G,0.8503295965033862,0.9051508497278843,-0.054821253224498045,-0.05713528095820822,-0.05212956891668938,0.0,-5.882096622528217,100,100,4,4,5,0.0
