layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,5,,0.4851255416870117,0.6278406381607056,[0.40868664 0.42921734 0.44919845 0.5106848  0.62784064]
1,2,5,,0.6118580102920532,0.7103323936462402,[0.52074814 0.57106525 0.6085739  0.64857054 0.7103324 ]
2,3,5,,0.6126500368118286,0.8028368949890137,[0.48595387 0.56247103 0.5913566  0.6206318  0.8028369 ]
3,4,5,,0.48455810546875,0.5423985719680786,[0.4434294  0.44769228 0.47829798 0.51097214 0.5423986 ]
4,5,5,,0.5709928274154663,0.9333029985427856,[0.42988154 0.47309273 0.49748397 0.52120286 0.933303  ]
5,6,5,,0.507672131061554,0.659081757068634,[0.42048496 0.46453795 0.47604576 0.5182103  0.65908176]
6,7,5,,0.5084124207496643,0.7337633967399597,[0.4095328  0.44342136 0.46566328 0.48968112 0.7337634 ]
7,8,5,,0.5443097352981567,0.6748233437538147,[0.46555522 0.50590295 0.51178926 0.56347775 0.67482334]
8,9,5,,0.6374268531799316,0.9300150275230408,[0.49913764 0.5508567  0.5770407  0.63008416 0.930015  ]
9,10,5,,0.5571838617324829,0.7160811424255371,[0.43482366 0.455829   0.5392904  0.63989496 0.71608114]
10,11,5,,0.6626623272895813,1.2801339626312256,[0.41875994 0.49632266 0.5324749  0.5856202  1.280134  ]
