layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,1,6,0.9,1.2031023502349854,"[[-0.85459924 -0.5076211   0.042655    0.03573384  0.09162956 -0.02210214]
 [-0.49039692  0.84575665 -0.12945934  0.10681618  0.12330078 -0.02887857]
 [-0.01794608  0.12730995  0.9885221   0.03331004  0.05298854 -0.04875232]
 [-0.05247309  0.06144243  0.01427173 -0.96568364  0.2371188   0.06706295]
 [-0.1566535   0.08144982  0.04268594 -0.2242689  -0.9557972  -0.05620248]
 [-0.03943523  0.01998235  0.0471071   0.05798572 -0.06180263  0.9943061 ]]"
1,2,7,0.9,1.5991631746292114,"[[-0.88134027 -0.42975906 -0.05523894 -0.15556282 -0.08906949 -0.00793043
   0.05743712]
 [-0.43759015  0.8506225  -0.20351623  0.11779177  0.14395417 -0.09313024
  -0.01632628]
 [-0.12005299  0.1762354   0.9595666  -0.07055224 -0.039621   -0.09702347
   0.13341412]
 [ 0.09680765  0.21277548 -0.10414924 -0.89892083 -0.3541346   0.03215007
  -0.00203247]
 [-0.0100466   0.07581316 -0.03280308  0.37662315 -0.9142356  -0.11973419
  -0.03267076]
 [-0.07064269  0.0945046   0.08741912  0.07469323 -0.08852044  0.9779682
  -0.09273394]
 [ 0.05365091  0.02715722 -0.12327435  0.03827357 -0.02645909  0.10029235
   0.9843596 ]]"
2,3,7,0.9,1.5945528745651245,"[[ 0.986819    0.06476395  0.08603038 -0.10122966 -0.00931609 -0.05193874
  -0.03950797]
 [ 0.02623902 -0.9412841   0.31536958 -0.02549168  0.06349648 -0.05489901
  -0.07837216]
 [-0.09837591  0.29426667  0.9304276   0.03184225 -0.19219095  0.00682359
   0.00598374]
 [ 0.09515371 -0.02946227 -0.02830954  0.97560865 -0.07496797 -0.17752974
   0.01808394]
 [-0.01984165  0.13025798  0.15462556  0.05138665  0.9582492  -0.18522833
  -0.05948302]
 [ 0.07126386 -0.03628566  0.04233884  0.18116738  0.17840561  0.96198523
   0.04179085]
 [ 0.03599418 -0.06360121  0.03069338 -0.02853624  0.05703995 -0.0547719
   0.9933022 ]]"
3,4,9,0.9,1.5101398229599,"[[ 9.44556296e-01 -2.52098382e-01  1.47749051e-01  1.08896054e-01
   3.49970534e-04 -5.35564460e-02 -4.28941995e-02 -7.32252821e-02
   2.23956853e-02]
 [ 2.92392433e-01  9.25044298e-01 -1.90849409e-01 -4.67061400e-02
   7.25855753e-02  1.04966186e-01  5.80498613e-02  1.72082130e-02
  -1.55679602e-02]
 [-8.47716033e-02  2.26843372e-01  9.62467015e-01 -7.71227255e-02
  -7.28915632e-02  1.37056261e-02 -5.28822467e-03 -5.81864156e-02
  -1.22719165e-02]
 [-9.18478221e-02  8.99800286e-02  4.09795307e-02  9.81729209e-01
  -1.04584008e-01  6.29773811e-02 -4.30798344e-02  1.74310990e-02
  -3.05370633e-02]
 [ 3.29841003e-02  6.00039884e-02 -8.79341587e-02 -8.62996504e-02
  -9.68511820e-01 -1.90807849e-01  7.50709549e-02  5.95166534e-03
   6.13266183e-03]
 [ 3.69500071e-02 -1.16454370e-01 -2.03784672e-03 -6.58847392e-02
  -1.85183913e-01  9.68904018e-01  7.51971751e-02  8.42997059e-03
  -4.39809039e-02]
 [ 8.63572769e-03 -5.27436472e-02  2.66857538e-02  6.31520674e-02
   7.73526058e-02 -6.07395284e-02  9.86742795e-01 -7.40783960e-02
   6.01789728e-02]
 [ 6.35627583e-02 -2.92091258e-02  7.10553154e-02 -9.78316367e-03
   1.07582556e-02 -2.47599855e-02  7.59724230e-02  9.83094990e-01
  -1.30329207e-01]
 [-1.13998726e-02  1.96979083e-02  1.50719816e-02  1.86518375e-02
  -8.52863397e-03  4.97474223e-02 -4.67226133e-02  1.36318028e-01
   9.87721562e-01]]"
4,5,9,0.9,1.5228290557861328,"[[ 0.98811924 -0.08507338  0.04673024  0.0627283   0.03753429 -0.05076271
  -0.032949    0.07169852  0.0072422 ]
 [ 0.09852552  0.93091166 -0.33031243  0.00825172 -0.11482225  0.01748269
  -0.00309131  0.02750755 -0.01630112]
 [-0.02117173  0.33244416  0.9363287   0.08085293 -0.02563593 -0.03931918
  -0.047118   -0.03257818  0.01730079]
 [-0.06320252 -0.03380559 -0.0831584   0.9861559  -0.03579255 -0.0866651
  -0.05993086 -0.04450298 -0.03285705]
 [-0.00916479 -0.06981611 -0.01709849 -0.09141042 -0.6595368  -0.73962986
   0.03164589 -0.03399751  0.04685174]
 [ 0.04997176 -0.09519784  0.03623931  0.0314803  -0.73777586  0.66219467
  -0.04647427 -0.02175227  0.0262272 ]
 [ 0.01797266  0.01055224  0.04404044  0.07786423 -0.01734318  0.04459646
   0.97889     0.1490043   0.09405059]
 [ 0.08087692  0.0134853  -0.02045607 -0.0330596   0.02815321  0.01707186
   0.1659281  -0.96436226 -0.18208466]
 [ 0.00501259  0.01654959 -0.03345917  0.02129983  0.05543813  0.01503938
  -0.06460433 -0.19296336  0.9764321 ]]"
5,6,9,0.9,1.4858202934265137,"[[ 9.9245244e-01 -1.3335061e-02  2.6040133e-03 -8.0109961e-02
   2.3284219e-02  8.1456639e-02 -7.1436504e-04  1.4651746e-02
  -3.2302335e-02]
 [ 1.6034240e-02  9.9458528e-01 -4.7360439e-02  2.1818463e-02
  -7.5231709e-02  1.8741498e-02  3.8320920e-03  2.9511683e-02
   3.0453838e-02]
 [ 1.3574254e-02  4.0638573e-02  9.8597002e-01  1.4458317e-01
  -4.0568795e-02 -3.4347460e-02  4.7333065e-02  4.2656483e-03
   6.2254160e-03]
 [ 8.9373209e-02 -4.0853232e-02 -1.5127636e-01  9.4899559e-01
  -2.2177935e-01 -1.0569892e-01  7.5653791e-03 -5.7816315e-02
  -5.5749387e-02]
 [ 2.2347257e-02  7.5087294e-02 -3.0486435e-03  1.6508062e-01
   9.0895945e-01 -3.6391994e-01  1.6401198e-02 -7.2246529e-02
  -4.9680326e-02]
 [ 6.8521515e-02 -9.1799917e-03 -2.1904282e-02 -1.8312991e-01
  -3.2857940e-01 -9.1899848e-01  4.3736059e-02  7.2422892e-02
   3.9033160e-02]
 [-1.4994340e-03 -5.6955293e-03 -4.4073950e-02 -1.1807653e-02
  -1.8538590e-04  4.6762854e-02  9.9410808e-01 -7.4106216e-02
   4.4203199e-02]
 [-1.4746640e-02 -2.5232300e-02 -1.3246965e-02  7.7522494e-02
   7.7669404e-02  3.5924956e-02  7.4110471e-02  9.8911446e-01
  -4.2398367e-02]
 [ 3.4567866e-02 -3.0174227e-02 -1.1026267e-02  6.8352759e-02
   5.2554950e-02  1.3718028e-02 -4.1976422e-02  3.5349254e-02
   9.9354881e-01]]"
6,7,11,0.9,1.9773894548416138,"[[ 0.98666453  0.09799951  0.05969638  0.01150109  0.04126522  0.00251298
  -0.01920992  0.04299421  0.03302002  0.09026673  0.00530489]
 [-0.08101922  0.9685506  -0.17409106 -0.02444585 -0.14055477  0.060066
   0.01609564  0.00464041 -0.016768    0.02243911 -0.00338815]
 [-0.06794889  0.13538638  0.9662657  -0.00099454 -0.196572    0.04097186
  -0.00216498  0.01140719 -0.01936577  0.04772579 -0.01662321]
 [-0.04223649  0.04288777  0.01124611  0.96346915  0.12881902 -0.09021936
  -0.04271929  0.06662065 -0.00563488  0.1910279  -0.02137501]
 [-0.0715503   0.10295957  0.12078198 -0.12626104  0.8413412   0.43856296
  -0.06161113  0.10232656 -0.04381883  0.16934606 -0.09323341]
 [ 0.01222152 -0.14065538 -0.12032335  0.08503218 -0.444167    0.8183652
  -0.04116412 -0.023024   -0.0516015   0.2914838  -0.03876008]
 [ 0.02318999 -0.00971624  0.01151494  0.05707704  0.04197884  0.08447184
   0.9897545   0.02317502 -0.04427506 -0.0615515  -0.03435022]
 [-0.04565068 -0.02819556 -0.03256659 -0.07705158 -0.10870595 -0.05846019
   0.00449648  0.97059     0.15138054  0.09689953 -0.02276479]
 [-0.05149839  0.00844583  0.00498193 -0.0506555   0.01641973 -0.03999431
   0.07133511 -0.183167    0.9238621   0.31637114 -0.02378817]
 [ 0.05384647  0.02530086  0.03686956  0.18711169  0.02036538  0.31688735
  -0.08358787  0.07109515  0.33489466 -0.8499376  -0.11255249]
 [ 0.00926607 -0.01230988 -0.02625818 -0.03244222 -0.06248036 -0.10926151
  -0.01849826 -0.03706839 -0.05555991  0.05723073 -0.9869652 ]]"
7,8,11,0.9,2.018388509750366,"[[ 0.98999184 -0.09344344  0.00179011  0.04024795  0.0234008  -0.04365084
   0.00184715  0.01063319  0.00874327 -0.00114765  0.08315144]
 [ 0.09913594  0.96512145 -0.02454416 -0.07839376  0.03129429 -0.09312122
   0.02409616  0.04906156  0.11340084 -0.09088802 -0.13492845]
 [-0.00257156 -0.00399122  0.98641855 -0.11434262  0.05697563 -0.07100938
   0.01977924  0.04387484  0.0315755  -0.04764862 -0.00309773]
 [-0.02993155  0.09285062  0.11277032  0.9737544   0.14573213  0.04403215
  -0.01239836 -0.04872859 -0.05798898  0.01305403 -0.01816478]
 [-0.01506698 -0.01031216 -0.05975165 -0.14722952  0.96905667  0.13229477
  -0.02830485  0.05218477 -0.10230764  0.04534766  0.04241971]
 [-0.06162897 -0.04234711 -0.06191504  0.02825635  0.10981192 -0.9631556
   0.00298974 -0.05477644 -0.12277227  0.08312955  0.15829231]
 [-0.00945767 -0.00941377 -0.01819403  0.01115138  0.02175334  0.02313876
   0.9949347  -0.00876538 -0.02387954 -0.02695045  0.0842    ]
 [-0.01737974 -0.0170366  -0.02694276  0.05788169 -0.05877009 -0.02823814
   0.0067451   0.98274696 -0.08073357  0.12869743  0.04649938]
 [ 0.01808918  0.06927321  0.01202698 -0.04401295 -0.0862625   0.06171242
  -0.03397623 -0.0124063  -0.87805694 -0.45654604  0.02856353]
 [-0.04373489 -0.10151578 -0.06225577  0.05424171  0.07731738 -0.07099541
  -0.03601754  0.12859347  0.42128396 -0.84355396  0.2510947 ]
 [-0.05029036  0.18381777  0.03427368 -0.01156006 -0.07425065  0.16458973
  -0.07529183 -0.06998672 -0.04014705  0.20742081  0.9351836 ]]"
8,9,13,0.9,2.6197288036346436,"[[ 9.33951199e-01 -1.92832649e-01 -8.59834924e-02 -1.95718240e-02
   1.25055388e-01 -8.44581872e-02  1.06766105e-01  1.29645303e-01
   7.81282485e-02 -7.66208321e-02  1.26100779e-01  7.59479776e-03
  -6.21444844e-02]
 [ 7.64314234e-02  8.47347915e-01 -3.54957432e-01 -2.72788182e-02
   7.26652667e-02  4.85988595e-02  1.39111653e-01  5.38053513e-02
  -6.02527447e-02 -1.43761575e-01  8.69663507e-02  1.54381499e-01
  -2.52659947e-01]
 [ 4.55759391e-02 -3.65399756e-02 -1.51080713e-01  9.26579595e-01
  -3.21370065e-01 -2.58652703e-03  1.74854845e-02 -2.47390214e-02
  -8.27697739e-02 -1.44451214e-02 -1.28492555e-02  9.29295493e-05
  -6.15198053e-02]
 [-1.54697642e-01 -1.69147670e-01 -5.03498197e-01  2.01043189e-01
   7.79313207e-01 -5.97176235e-03 -2.44938005e-02 -5.73492646e-02
   2.95162648e-02  3.55371051e-02 -3.52137052e-02 -1.22200482e-01
   1.54816940e-01]
 [ 4.99074534e-02 -1.75099939e-01 -7.14806259e-01 -2.86472589e-01
  -4.64659452e-01  2.17924103e-01 -2.00381577e-01 -3.92755009e-02
  -1.08451642e-01  1.39835119e-01 -1.45404503e-01 -7.66446218e-02
   1.02017708e-01]
 [ 2.87274737e-02 -4.88645919e-02  1.35583580e-01  6.01079240e-02
   8.88402909e-02  9.55362558e-01  7.08473176e-02  3.27587090e-02
   1.50317520e-01 -1.12570211e-01  8.02910253e-02 -4.29832228e-02
  -6.72812164e-02]
 [-9.97435823e-02 -1.62605301e-01 -1.19574174e-01 -8.19958672e-02
  -1.09750770e-01 -4.40448076e-02  9.06798422e-01 -2.59752452e-01
   4.76606451e-02 -1.37524530e-01 -1.30391076e-01 -2.15538945e-02
   1.40905725e-02]
 [-8.19187909e-02  5.80095164e-02 -1.38564017e-02  2.99311448e-02
  -3.96430939e-02 -6.57679839e-03  2.18381032e-01  8.88229907e-01
   4.68013957e-02  5.94047420e-02 -2.22888499e-01 -1.46780461e-01
   2.71359146e-01]
 [ 8.46117213e-02  2.17523232e-01  8.76119435e-02  7.94962398e-04
  -4.70962264e-02  2.47500595e-02  7.31870309e-02 -1.47404641e-01
  -3.44179988e-01  3.99827436e-02  4.05060917e-01 -6.66715026e-01
   4.23427850e-01]
 [-1.10740297e-01 -2.19502747e-01 -4.82798442e-02 -5.95434494e-02
   7.58643867e-03 -2.43636183e-02 -9.44933593e-02  1.65213749e-01
  -4.79096532e-01 -8.03042829e-01  1.06980026e-01  9.14258435e-02
  -5.08767888e-02]
 [ 1.15955777e-01 -8.91005713e-03  1.27476871e-01  6.05321955e-03
   1.50977224e-01  1.58301756e-01  1.31009847e-01 -1.07264007e-02
  -7.44992852e-01  4.11806226e-01 -2.06447512e-01  3.65560144e-01
   6.48239180e-02]
 [-1.93705872e-01 -2.35801086e-01 -1.06363855e-01 -5.19280769e-02
  -4.53740777e-03 -4.40889373e-02  1.32561237e-01  2.57789850e-01
  -1.23670653e-01  3.16093594e-01  5.74066579e-01 -1.04148604e-01
  -5.92675865e-01]
 [ 7.42923021e-02  2.89523304e-02  9.42596793e-02 -1.80745367e-02
   7.72342235e-02 -7.83696584e-03 -6.46223500e-02 -4.19798978e-02
  -1.59443960e-01 -3.66965979e-02 -5.77207148e-01 -5.78010321e-01
  -5.27667463e-01]]"
9,10,14,0.9,2.427030324935913,"[[ 7.04721987e-01  3.31869334e-01  4.91729558e-01  7.55588859e-02
   1.57960169e-02 -2.75368895e-02 -1.55091643e-01  1.96374282e-01
  -1.78479135e-01  1.01619326e-01 -1.82072863e-01  9.13694967e-03
  -6.60394281e-02  4.81864661e-02]
 [-3.66140276e-01 -4.43292648e-01  7.93121397e-01  9.49835703e-02
  -2.33241301e-02 -6.16940185e-02 -1.06058620e-01 -1.08344130e-01
  -7.14490609e-03  1.93311982e-02 -2.65028458e-02 -1.29285967e-02
  -1.71363894e-02  4.94417995e-02]
 [-4.75722373e-01  8.25327992e-01  2.22494975e-01 -3.73410061e-02
   1.00752646e-02 -3.94640537e-03  1.04668578e-02 -1.88256070e-01
  -1.12214545e-02 -5.98295406e-02  2.05591954e-02 -3.97025421e-02
  -1.44249378e-02  6.63389033e-03]
 [-1.88194290e-02  5.16906865e-02 -1.20544732e-01  9.74911094e-01
  -3.37277427e-02 -1.15606308e-01 -2.08537765e-02 -7.36516193e-02
   7.86996707e-02  1.73163563e-02 -3.07385530e-02 -2.70814262e-02
   5.56704365e-02  1.89327970e-02]
 [-4.57470901e-02 -2.33669672e-02  9.09421127e-03  6.41255975e-02
   9.72792089e-01  1.68010741e-01 -5.62285818e-03  3.75604555e-02
  -3.62261757e-02  1.39380554e-02 -3.67218591e-02  6.44670725e-02
  -1.96265262e-02 -9.88723114e-02]
 [-3.58276442e-02 -1.88419672e-05 -1.11117698e-01 -1.22337341e-01
   1.72372207e-01 -9.26375985e-01 -2.60044485e-01 -3.53522063e-03
  -6.56756684e-02  6.58211783e-02 -4.40135045e-04 -6.26919344e-02
  -9.35705379e-03  5.67339770e-02]
 [ 5.41109182e-02  9.49043129e-03  1.63812831e-01  4.08487022e-02
   4.78351228e-02 -2.75533020e-01  8.77760470e-01  2.26366550e-01
  -4.57904749e-02 -1.73034593e-01  1.87096551e-01  7.86770135e-03
  -3.63140330e-02 -1.19702872e-02]
 [ 8.49333256e-02  6.72929138e-02  1.28721267e-01 -2.07645968e-02
   3.87204476e-02 -2.93572973e-02 -2.15834290e-01  3.25932205e-01
   7.44317353e-01 -3.35312247e-01  3.27060908e-01 -7.81956613e-02
   1.54409096e-01 -1.12747841e-01]
 [ 4.76214029e-02 -3.80073152e-02 -9.86853801e-03  6.61300048e-02
  -5.55382110e-03  4.79577109e-02 -2.28235573e-01 -2.58724466e-02
  -5.59099019e-01 -6.62570000e-01  4.17618692e-01 -7.61970878e-02
   5.37685901e-02 -4.50826250e-02]
 [-9.00895372e-02  5.81355626e-03 -2.32312493e-02  7.72953127e-03
   5.68190031e-02  1.20449446e-01 -9.11347754e-03  3.03824753e-01
  -1.27905682e-01  3.17864925e-01  2.39037246e-01 -6.92983389e-01
   1.90067574e-01  4.36157227e-01]
 [ 1.43895388e-01  1.81396194e-02  5.28718233e-02  2.35843733e-02
   2.92420387e-03  7.20861461e-03 -2.25163680e-02 -2.97086507e-01
   1.95572339e-02  4.55087751e-01  7.30790257e-01  8.93171504e-02
  -2.99574018e-01 -2.17994437e-01]
 [ 2.37060949e-01 -4.45101522e-02 -1.57273503e-03 -4.66808006e-02
   9.74692106e-02 -3.14460543e-04  1.05244055e-01 -5.83487749e-01
   2.58338213e-01 -2.94551313e-01 -1.13650039e-01 -4.08024341e-01
  -3.81174475e-01  3.16877782e-01]
 [-1.99479699e-01  3.35275452e-03 -7.65231624e-02  7.00046346e-02
  -4.22903709e-02  4.22174223e-02 -1.25093445e-01  4.69088376e-01
  -1.41605968e-02 -6.66443557e-02 -1.14680231e-02  1.18783332e-01
  -8.04970741e-01  2.08125636e-01]
 [ 4.52142842e-02  2.34918594e-02 -1.02778873e-03 -1.32584032e-02
   5.98906428e-02  1.52441841e-02 -6.69836253e-03 -9.05309096e-02
   6.14050813e-02 -1.32159954e-02  2.06906766e-01  5.55494368e-01
   2.10644260e-01  7.65157759e-01]]"
