layer,level_from,level_to,G
0,1,2,0.9594857295354208
0,2,3,0.9595378637313843
0,3,4,0.969039785861969
0,4,5,0.9584709962209066
0,5,6,0.9622954143418206
0,6,7,0.9697457181082831
0,7,8,0.9815731869803535
0,8,9,0.9368661933475071
0,9,10,0.9646608657307095
1,1,2,0.9449451459778679
1,2,3,0.9272760179307725
1,3,4,0.9075696176952786
1,4,5,0.8993808362219069
1,5,6,0.905030714140998
1,6,7,0.9336702386538188
1,7,8,0.9609104792277018
1,8,9,0.9203760570949978
1,9,10,0.924390607410007
2,1,2,0.926355939441257
2,2,3,0.9042558696534898
2,3,4,0.8762721180915832
2,4,5,0.866380692852868
2,5,6,0.8945891234609816
2,6,7,0.9237159344885084
2,7,8,0.9462546692954169
2,8,9,0.8985283427768284
2,9,10,0.9196853518486023
3,1,2,0.8645118011368645
3,2,3,0.8614599996142918
3,3,4,0.8697014080153571
3,4,5,0.8479249636332195
3,5,6,0.8629672275649176
3,6,7,0.9150627824995253
3,7,8,0.9208375798331366
3,8,9,0.8449853698412577
3,9,10,0.8767717149522569
4,1,2,0.8739454706509908
4,2,3,0.8843489474720425
4,3,4,0.864246650536855
4,4,5,0.8493027196990119
4,5,6,0.8485194285710652
4,6,7,0.9011396845181783
4,7,8,0.9077852461073134
4,8,9,0.8455439342392815
4,9,10,0.8864757683542039
5,1,2,0.8606934163305494
5,2,3,0.8791678455140856
5,3,4,0.8557428691122267
5,4,5,0.8355464882320828
5,5,6,0.8350141220622592
5,6,7,0.8771583596865337
5,7,8,0.8807488984531826
5,8,9,0.8418756829367744
5,9,10,0.8740482754177518
6,1,2,0.8385396493805779
6,2,3,0.8646944059265984
6,3,4,0.8292710489696926
6,4,5,0.8111265871259902
6,5,6,0.8195583979288737
6,6,7,0.8621140493286981
6,7,8,0.8607300798098246
6,8,9,0.8281144168641832
6,9,10,0.863943080107371
7,1,2,0.836666656865014
7,2,3,0.8530141393343608
7,3,4,0.823187263806661
7,4,5,0.803625668419732
7,5,6,0.7999794681866964
7,6,7,0.8528069893519084
7,7,8,0.8502802186542087
7,8,9,0.7904833833376567
7,9,10,0.8595204962624444
8,1,2,0.8024388339784411
8,2,3,0.8448616822560628
8,3,4,0.8110471778445774
8,4,5,0.7925188011593289
8,5,6,0.7770457281006707
8,6,7,0.8294754240247938
8,7,8,0.8237803498903911
8,8,9,0.7742392367786831
8,9,10,0.8312348206837972
9,1,2,0.7931254625320434
9,2,3,0.8151743822627597
9,3,4,0.7760481158892314
9,4,5,0.7690752532747057
9,5,6,0.7380464646551345
9,6,7,0.7634067853291829
9,7,8,0.7661103102895949
9,8,9,0.7107982450061374
9,9,10,0.8078188233905368
10,1,2,0.7549138420157963
10,2,3,0.7393809106614855
10,3,4,0.7427254716555277
10,4,5,0.7278577950265672
10,5,6,0.7713573071691725
10,6,7,0.7273194617695279
10,7,8,0.7252470559544033
10,8,9,0.6767774846818712
10,9,10,0.7801614416970147
11,1,2,0.7892185005876753
11,2,3,0.5761930143667592
11,3,4,0.5600720139013396
11,4,5,0.5923715119974481
11,5,6,0.8416359504063924
11,6,7,0.7362850983937581
11,7,8,0.7625220802095202
11,8,9,0.506563017062015
11,9,10,0.8954363928900825
