layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,5,,1.048857569694519,"[[ 0.9288362  -0.20014223 -0.2932609   0.10250036 -0.02642026]
 [ 0.25027892  0.952842    0.16141322  0.04472294 -0.03739141]
 [ 0.24570762 -0.22568743  0.94229394  0.02710123 -0.00637275]
 [-0.11112962 -0.01409958 -0.00241847  0.9911021   0.07184879]
 [ 0.04360819  0.03002486  0.00448259 -0.06690105  0.9963438 ]]",0
1,2,5,,1.3401793241500854,"[[ 0.95647407  0.12079128 -0.26117447 -0.04524851  0.01752774]
 [-0.14038378  0.9841593  -0.0726741   0.0802177   0.00255121]
 [-0.25070208 -0.10542164 -0.96153647 -0.01756495  0.03426078]
 [ 0.04951247 -0.07547413 -0.01970616  0.9920354   0.08561268]
 [-0.01210982  0.00546955  0.03956809 -0.0841122   0.99558175]]",0
2,3,5,,1.3001480102539062,"[[ 9.7417545e-01 -1.7943712e-01 -1.3489093e-01  8.6167949e-04
  -2.4252340e-02]
 [ 1.7839831e-01  9.7810793e-01 -2.2754209e-02  8.6615548e-02
   5.8812305e-02]
 [ 1.3690087e-01  4.2790119e-03  9.8885471e-01 -4.7259472e-02
  -3.4247726e-02]
 [-6.2223696e-03 -9.5297799e-02  5.4409675e-02  9.7615373e-01
   1.8719825e-01]
 [ 1.9381560e-02 -4.4801604e-02  2.2198893e-02 -1.9335857e-01
   9.7966158e-01]]",0
3,4,5,,1.0722639560699463,"[[-0.91520184  0.3908208  -0.08725337 -0.04054317 -0.0201916 ]
 [ 0.40059245  0.9028529  -0.09917189 -0.11996163 -0.01250853]
 [-0.04012744  0.13183331  0.9895648   0.03831679  0.01741103]
 [ 0.01130947  0.12126281 -0.05554363  0.9865744   0.09355903]
 [ 0.01389502 -0.00557095  0.01510782  0.09575096 -0.99517804]]",0
4,5,5,,1.1601444482803345,"[[ 0.9785426   0.12353056 -0.1227477   0.03386046  0.10478998]
 [ 0.12665752 -0.9911004   0.02381229  0.03321586  0.00276319]
 [ 0.11793745  0.03925131  0.99213433  0.00925392  0.01157816]
 [-0.05890787  0.02567516 -0.00544049  0.97820663  0.19736479]
 [ 0.0950408   0.01613721 -0.00244562  0.20193149 -0.9746407 ]]",0
5,6,5,,1.2497389316558838,"[[ 0.8884721   0.438461    0.07287262  0.10207615  0.05137416]
 [-0.4491405   0.88895005  0.07997044  0.03915107 -0.0106117 ]
 [-0.04846454 -0.11993765  0.9660729   0.21264605  0.06892592]
 [-0.07423569 -0.05552294 -0.23364389  0.9441032   0.21327439]
 [ 0.03209967 -0.00720972  0.02019471  0.22693272 -0.97314507]]",0
6,7,5,,1.1360701322555542,"[[ 0.9373286   0.3479256  -0.00954609  0.01610595  0.00353294]
 [-0.34226957  0.92195874 -0.15791969 -0.08508565 -0.02579683]
 [-0.04920267  0.15655987  0.98345065  0.05191657  0.05654816]
 [-0.03971359  0.0618221  -0.05383478  0.9811782  -0.17027013]
 [-0.01639233  0.02463592 -0.06997849  0.16460544  0.9834289 ]]",0
7,8,5,,1.355173945426941,"[[ 9.9117792e-01 -8.5673518e-02  9.7724549e-02  2.5955738e-02
   1.6138349e-03]
 [-8.8586435e-02 -9.9529111e-01  3.2016408e-02 -2.2869740e-02
  -2.2514386e-04]
 [-9.1550887e-02  4.1688561e-02  9.8711962e-01 -7.6786406e-02
  -9.7873576e-02]
 [-3.5605639e-02 -1.7071327e-02  8.1139483e-02  9.9381751e-01
   6.4682625e-02]
 [-8.3344523e-03  5.1341048e-03  9.1848463e-02 -7.2344840e-02
   9.9309331e-01]]",0
8,9,5,,1.5856010913848877,"[[ 0.955575   -0.03656428 -0.23871331  0.16857491  0.01174414]
 [ 0.01757605  0.91403925  0.18482246  0.3565912   0.05391391]
 [ 0.22603048 -0.20229888  0.94105583 -0.00297041  0.14963442]
 [-0.03170569  0.00942399 -0.14711863 -0.09511168  0.9839795 ]
 [ 0.18566763  0.34954494  0.04033143 -0.91398585 -0.07968109]]",0
9,10,5,,1.3876019716262817,"[[ 0.45391327  0.8689543  -0.01252802 -0.19658303  0.00890597]
 [ 0.8620622  -0.4234805   0.25667575  0.10360635  0.02993834]
 [-0.21903275  0.1045818   0.9609142  -0.10822085 -0.07758529]
 [-0.03867606  0.22544432  0.09534274  0.9155074   0.31691483]
 [ 0.03661033  0.06180756 -0.03891407  0.31741983 -0.94475913]]",0
10,11,5,,1.8073607683181763,"[[ 0.88615316 -0.04270562  0.35774365  0.28884414  0.03869388]
 [ 0.13732557  0.93861884 -0.29603857  0.07275359  0.08487893]
 [-0.26100248  0.34111854  0.86659706 -0.20140274 -0.15479764]
 [-0.3431654  -0.00236946  0.16749531  0.77822214  0.49854547]
 [-0.09994673  0.02834456 -0.07304443  0.51486236 -0.847814  ]]",0
0,1,5,,1.0080511569976807,"[[ 0.94057935 -0.1423291  -0.29190227  0.09220024 -0.03667593]
 [-0.19694868 -0.9606355  -0.18567504 -0.04383914  0.04464904]
 [ 0.24803504 -0.23575094  0.93714356  0.06643428 -0.01576613]
 [-0.10922322 -0.01112658 -0.04286983  0.9903484   0.07292908]
 [ 0.0554136   0.03492184  0.01555544 -0.06613401  0.99553704]]",1
