layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,5,,0.5335882306098938,0.7428168654441833,[0.40597844 0.4722268  0.51249987 0.534419   0.74281687],0
1,2,5,,0.6250906586647034,0.7280018925666809,[0.5176793  0.54927033 0.63803786 0.6924638  0.7280019 ],0
2,3,5,,0.6357063055038452,0.7101820707321167,[0.5454547  0.61354095 0.653663   0.6556909  0.7101821 ],0
3,4,5,,0.5193060636520386,0.6346662044525146,[0.43713376 0.4752993  0.50624686 0.54318416 0.6346662 ],0
4,5,5,,0.5531376600265503,0.7097808718681335,[0.45430225 0.4816536  0.5424109  0.57754064 0.7097809 ],0
5,6,5,,0.5074726343154907,0.5869476795196533,[0.42863876 0.48312208 0.5111693  0.5274853  0.5869477 ],0
6,7,5,,0.5356438755989075,0.8080930113792419,[0.41300792 0.4435618  0.49087417 0.52268255 0.808093  ],0
7,8,5,,0.5756580829620361,0.6947107315063477,[0.47139233 0.50613153 0.56997275 0.6360831  0.69471073],0
8,9,5,,0.6376156806945801,0.8321343660354614,[0.5093711  0.52688086 0.6285212  0.691171   0.83213437],0
9,10,5,,0.5780422687530518,0.6943773627281189,[0.4503283  0.50004965 0.5700142  0.6754417  0.69437736],0
10,11,5,,0.6944306492805481,1.1542292833328247,[0.42450312 0.4572326  0.62239975 0.8137884  1.1542293 ],0
0,1,5,,0.5202000737190247,0.7154637575149536,[0.40001687 0.4532342  0.5143461  0.5179393  0.71546376],1
1,2,5,,0.6275874376296997,0.7291094064712524,[0.5174112  0.55288506 0.64372826 0.6948032  0.7291094 ],1
2,3,5,,0.6273503303527832,0.698072075843811,[0.5386543  0.60747826 0.635112   0.6574351  0.6980721 ],1
3,4,5,,0.5196796655654907,0.6332423090934753,[0.43303216 0.48263094 0.5172036  0.5322891  0.6332423 ],1
4,5,5,,0.5629889965057373,0.7434956431388855,[0.45538563 0.4847996  0.5467166  0.58454746 0.74349564],1
5,6,5,,0.5348979234695435,0.631446123123169,[0.44168812 0.4933641  0.55128384 0.5567075  0.6314461 ],1
6,7,5,,0.5514081716537476,0.8777578473091125,[0.43160483 0.45449686 0.48279133 0.5103901  0.87775785],1
7,8,5,,0.5647462010383606,0.6907179951667786,[0.46375066 0.49204892 0.5620019  0.6152115  0.690718  ],1
8,9,5,,0.6417936086654663,0.8669966459274292,[0.5109402  0.5317883  0.6371794  0.6620639  0.86699665],1
9,10,5,,0.5688073039054871,0.7065803408622742,[0.46898898 0.51111233 0.5625609  0.5947939  0.70658034],1
10,11,5,,0.663330614566803,1.1373984813690186,[0.42873785 0.4492896  0.56791335 0.7333137  1.1373985 ],1
