layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,6,0.9,0.5244330763816833,0.7267954349517822,[0.4023479  0.4334047  0.4684735  0.5249301  0.590647   0.72679543],0
1,2,6,0.9,0.6237438321113586,0.7378004789352417,[0.511323   0.53439724 0.60619336 0.63813174 0.7146172  0.7378005 ],0
2,3,7,0.9,0.6339336037635803,0.7653265595436096,"[0.48157692 0.53108436 0.6118369  0.6518584  0.65947545 0.73637646
 0.76532656]",0
3,4,7,0.9,0.5159845948219299,0.658037006855011,"[0.41279757 0.44125888 0.47185913 0.50604707 0.5341711  0.5877214
 0.658037  ]",0
4,5,7,0.9,0.5381643176078796,0.7071722745895386,"[0.422018   0.43880737 0.5238609  0.53948236 0.55749136 0.57831836
 0.7071723 ]",0
5,6,8,0.9,0.5231053233146667,0.7413237690925598,"[0.41354147 0.43200573 0.45455918 0.5086339  0.5295101  0.5415799
 0.5636885  0.74132377]",0
6,7,9,0.9,0.6013957262039185,1.4530348777770996,"[0.38794154 0.41949064 0.4463795  0.4601618  0.49843988 0.50526386
 0.5845188  0.6573306  1.4530349 ]",0
7,8,10,0.9,0.6160024404525757,0.96565842628479,"[0.45083594 0.46386963 0.4830366  0.50155586 0.5379349  0.61505634
 0.6612838  0.7105694  0.7702239  0.9656584 ]",0
8,9,10,0.9,0.7093150615692139,1.335253119468689,"[0.47520277 0.5056174  0.53779346 0.5787809  0.61963683 0.6366335
 0.69939166 0.7912088  0.913632   1.3352531 ]",0
9,10,10,0.9,0.6355525255203247,1.2435506582260132,"[0.4207893  0.45651582 0.48299286 0.4979685  0.5141611  0.53944826
 0.6240809  0.7199871  0.85603106 1.2435507 ]",0
10,11,3,0.9,0.8289737701416016,1.1703709363937378,[0.49427792 0.8222726  1.1703709 ],0
0,1,6,0.9,0.5099483132362366,0.7046103477478027,[0.39805704 0.41965654 0.45021954 0.51396215 0.57318425 0.70461035],1
1,2,6,0.9,0.6259112358093262,0.7332422137260437,[0.50910383 0.54030246 0.61278445 0.6418433  0.71819115 0.7332422 ],1
2,3,6,0.9,0.6258523464202881,0.7368382811546326,[0.5161663  0.5821546  0.6164446  0.63539857 0.6681117  0.7368383 ],1
3,4,7,0.9,0.5174617767333984,0.6509633660316467,"[0.41906193 0.44142494 0.47210467 0.5142543  0.53187835 0.592545
 0.65096337]",1
4,5,7,0.9,0.5491386651992798,0.7307713627815247,"[0.42299742 0.44797707 0.53256804 0.5501445  0.5623233  0.5971889
 0.73077136]",1
5,6,7,0.9,0.5269919037818909,0.705138087272644,"[0.4236734  0.44203618 0.46388814 0.50141424 0.55072325 0.60206985
 0.7051381 ]",1
6,7,8,0.9,0.5544596314430237,0.9690430760383606,"[0.4020758  0.4178624  0.45821384 0.4877248  0.5208261  0.5543963
 0.62553465 0.9690431 ]",1
7,8,8,0.9,0.5887574553489685,0.8116791248321533,"[0.4471795  0.48593536 0.5108345  0.5191091  0.6314039  0.6367205
 0.6671978  0.8116791 ]",1
8,9,8,0.9,0.6953198909759521,1.220081090927124,"[0.48620856 0.5182997  0.57386106 0.60044783 0.65691876 0.6882517
 0.81849015 1.2200811 ]",1
9,10,8,0.9,0.5735251903533936,0.939470112323761,"[0.4146599  0.45428    0.47647077 0.5016072  0.5428682  0.55287766
 0.70596814 0.9394701 ]",1
10,11,3,0.9,0.8262667655944824,1.1555852890014648,[0.45746946 0.86574566 1.1555853 ],1
