layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
0,90,0.2408265620470047,0.20843444764614105,0.17289406061172485,0.1315620243549347,0.10397656261920929,0.07145833969116211,0.03766267001628876,0.011266903951764107,0.007355569861829281,0.002822745591402054,5,6,7,0
1,90,0.2732512354850769,0.19763419032096863,0.15611661970615387,0.12102862447500229,0.09004975110292435,0.06683836877346039,0.035102952271699905,0.013544403947889805,0.00729947816580534,0.005415513180196285,6,6,8,0
2,90,0.2492404580116272,0.21559320390224457,0.14589408040046692,0.11428872495889664,0.09915590286254883,0.0670163631439209,0.03491387888789177,0.012878724373877048,0.007897882722318172,0.006919334642589092,6,7,10,0
3,90,0.24601472914218903,0.21433965861797333,0.14311528205871582,0.1014193743467331,0.09980785846710205,0.06627478450536728,0.03654318302869797,0.015712467953562737,0.011855868622660637,0.008077984675765038,6,7,12,0
4,90,0.24712862074375153,0.19237159192562103,0.142347052693367,0.10798054933547974,0.10645059496164322,0.07071030139923096,0.036544863134622574,0.01644132286310196,0.009838852100074291,0.008093607611954212,6,7,13,0
5,90,0.251573771238327,0.18521000444889069,0.1538023203611374,0.10779225826263428,0.1010979413986206,0.06458353996276855,0.03168325126171112,0.01534054335206747,0.010250652208924294,0.00951350573450327,6,8,14,0
6,90,0.256418913602829,0.18161040544509888,0.1426251083612442,0.10928350687026978,0.09645726531744003,0.06164289638400078,0.033260878175497055,0.016224512830376625,0.013050874695181847,0.009651519358158112,7,9,15,0
7,90,0.24712717533111572,0.18216165900230408,0.1285710632801056,0.11522884666919708,0.10533435642719269,0.05953405424952507,0.032645486295223236,0.01632004976272583,0.012415667995810509,0.011639141477644444,7,10,17,0
8,90,0.2705302834510803,0.17878873646259308,0.12650270760059357,0.11436642706394196,0.09406204521656036,0.05277984216809273,0.030232487246394157,0.014673714525997639,0.012728778645396233,0.011009572073817253,7,10,17,0
9,90,0.33462652564048767,0.15956351161003113,0.11344999819993973,0.0986621081829071,0.08090469241142273,0.044889211654663086,0.026382818818092346,0.020515816286206245,0.014512060210108757,0.011675320565700531,7,10,17,0
10,90,0.29834043979644775,0.1623893678188324,0.11372628062963486,0.10190050303936005,0.07723161578178406,0.05751797929406166,0.027834970504045486,0.018284935504198074,0.016482677310705185,0.014079319313168526,8,12,18,0
11,90,0.8647575974464417,0.030397791415452957,0.022335363551974297,0.018761366605758667,0.01464074943214655,0.009858926758170128,0.005785080138593912,0.003342199604958296,0.0029907787684351206,0.002836387138813734,1,3,5,0
0,90,0.2416742891073227,0.20781806111335754,0.17277230322360992,0.13160355389118195,0.10468797385692596,0.07112310826778412,0.03733805567026138,0.011245514266192913,0.008686443790793419,0.003330336883664131,5,6,7,1
1,90,0.27733340859413147,0.2016444057226181,0.15559376776218414,0.1215549185872078,0.09274087101221085,0.06736596673727036,0.03500904515385628,0.012959461659193039,0.008673271164298058,0.0055743311531841755,6,6,7,1
2,90,0.25406184792518616,0.21870723366737366,0.1476306915283203,0.1138358861207962,0.10204266756772995,0.06657449156045914,0.03527168557047844,0.012408393435180187,0.00906360149383545,0.00801395159214735,6,6,8,1
