layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,5,,1.2017264366149902,"[[ 0.77925736 -0.615464    0.07888813  0.08760144 -0.00804709]
 [ 0.5757247   0.7745587   0.23879687  0.10670783  0.01376081]
 [-0.18660668 -0.1358859   0.95997584 -0.15752521  0.01857913]
 [-0.16259679 -0.05053678  0.12243737  0.97650015 -0.04964727]
 [-0.00626678 -0.01561955 -0.01443016  0.05072153  0.9984668 ]]",0
1,2,5,,1.384686827659607,"[[ 0.9960938   0.01104986  0.0298919   0.05557996  0.06076502]
 [-0.00813621  0.99450624 -0.08211515  0.04384382 -0.0471814 ]
 [-0.01900636  0.08150017  0.98662275 -0.10447181 -0.09304656]
 [-0.01712263 -0.05833281  0.04657513  0.8547206  -0.5134079 ]
 [ 0.08412209 -0.02811352 -0.12949854 -0.50351465 -0.84960943]]",0
2,3,5,,1.4019734859466553,"[[ 5.0775605e-01  8.4864914e-01 -1.2165577e-01  1.4435049e-02
   8.3485648e-02]
 [-8.4782428e-01  5.1145780e-01  4.5287684e-02  1.3249037e-01
   4.3933425e-04]
 [-1.0508087e-01 -8.9972228e-02 -9.8312354e-01  1.0551053e-02
   1.1924639e-01]
 [ 9.9880308e-02 -8.9610986e-02  2.9582450e-02  9.7437459e-01
   1.7808092e-01]
 [-4.8576534e-02 -4.5610666e-02  1.2546632e-01 -1.8088880e-01
   9.7318929e-01]]",0
3,4,5,,1.1566925048828125,"[[ 9.5778131e-01 -2.8042495e-01  3.6578428e-02  5.1433992e-02
  -5.7801651e-03]
 [-2.8317583e-01 -9.1913658e-01  2.3359375e-01  8.2693353e-02
  -1.1659878e-01]
 [-3.1776093e-02 -2.4891339e-01 -9.6352202e-01 -7.3788300e-02
   5.6682434e-02]
 [-3.9219121e-03  1.1863285e-01 -1.2538409e-01  7.3535925e-01
  -6.5531403e-01]
 [ 3.7965070e-02  2.2765441e-02  1.3846734e-04 -6.6657209e-01
  -7.4412501e-01]]",0
4,5,5,,1.2348467111587524,"[[ 0.9871998  -0.01480481  0.14625034  0.03799573 -0.04883238]
 [-0.01988501  0.9650435   0.2323427  -0.09503625 -0.07266801]
 [ 0.12862465  0.26031497 -0.87605757  0.34669682  0.16738026]
 [ 0.06554343  0.02103355 -0.02166307 -0.5089627   0.85775834]
 [ 0.0648149  -0.01629731 -0.3958301  -0.7812059  -0.47808915]]",0
5,6,5,,1.1278611421585083,"[[ 0.95178175 -0.11998734 -0.25550884 -0.10573297  0.05701152]
 [ 0.09465787  0.9888992  -0.11089763 -0.01522039 -0.02425615]
 [ 0.26513162  0.07696671  0.9500611  -0.06636924 -0.12946168]
 [ 0.0929212  -0.02593487 -0.07934064  0.6564917  -0.7439198 ]
 [-0.07888127 -0.03293875 -0.11621474 -0.7437759  -0.65267473]]",0
6,7,5,,1.2178435325622559,"[[ 9.9585545e-01  5.2247543e-02  4.8576348e-02  8.4810512e-04
   5.6406431e-02]
 [-6.1477199e-02  9.8242158e-01  1.7117617e-01  3.1795394e-02
   2.7500786e-02]
 [-4.2676445e-02 -1.6437437e-01  9.5584571e-01 -2.2391409e-01
   8.5914560e-02]
 [ 1.6792087e-02  7.1340591e-02 -1.9605760e-01 -9.6128017e-01
  -1.7924970e-01]
 [-4.8879161e-02 -3.1231381e-03 -1.2751280e-01 -1.5745257e-01
   9.7803396e-01]]",0
7,8,5,,1.2805109024047852,"[[ 0.9523537  -0.11518324  0.24247694 -0.0375542  -0.1398201 ]
 [ 0.10583851  0.9860549   0.0811368   0.09678808  0.02329957]
 [-0.1625227  -0.08996637  0.86005425  0.281065    0.383147  ]
 [-0.16554537  0.07689012  0.38622728 -0.8559829  -0.2912119 ]
 [ 0.16733654  0.02055629 -0.2139087  -0.42132828  0.86504424]]",0
8,9,5,,1.4211764335632324,"[[ 0.8851959   0.36365393  0.26170507 -0.12468622 -0.01215476]
 [-0.336462    0.92732    -0.15082414  0.00557315 -0.06396757]
 [ 0.27395076 -0.06280692 -0.9278069  -0.16827877 -0.17850173]
 [ 0.15387003  0.02208704 -0.09821213  0.9675552  -0.17328422]
 [ 0.06705574  0.05831591 -0.19568148  0.14121407  0.96636957]]",0
9,10,5,,1.2894644737243652,"[[ 0.95362186 -0.18077588  0.04698255  0.22223805  0.07955065]
 [ 0.14054799  0.90759087 -0.3235157   0.13899377  0.18039782]
 [ 0.19896296 -0.09863701 -0.56625193 -0.7911104  -0.0647113 ]
 [-0.15296353 -0.33109367 -0.756171    0.5432112   0.01031125]
 [-0.08869887 -0.1557133   0.02635325 -0.10176902  0.97817916]]",0
10,11,5,,1.6047576665878296,"[[ 0.93391246  0.22347367 -0.26718834 -0.03347813 -0.07318906]
 [-0.28003183  0.8357452  -0.17091374 -0.37904674 -0.22410747]
 [-0.17339478 -0.38234696 -0.8624223  -0.25922424 -0.11302926]
 [-0.1389865   0.297186   -0.37722057  0.8579062   0.11859517]
 [ 0.00258836  0.13069311 -0.11546124 -0.22804065  0.95790327]]",0
0,1,5,,1.1710374355316162,"[[ 0.8288854  -0.552336    0.0320434   0.0704369  -0.04342635]
 [ 0.5287595   0.8174038   0.21193293  0.08521109 -0.00938247]
 [-0.12661201 -0.15442772  0.96919566 -0.13948761  0.03639213]
 [-0.12515567 -0.05258795  0.11817975  0.98291385 -0.03853078]
 [ 0.04083966 -0.01275352 -0.02740316  0.04691932  0.99760574]]",1
1,2,5,,1.3900164365768433,"[[ 0.989286    0.1156956   0.01597364  0.06060088  0.06324681]
 [-0.11329628  0.9878126  -0.08705282  0.03765648 -0.04892886]
 [-0.01915738  0.08698123  0.9920289  -0.08416504 -0.02936189]
 [ 0.00605314 -0.05692394  0.04566053  0.71906877 -0.6910704 ]
 [ 0.08985297 -0.00589429 -0.07720354 -0.68612385 -0.7177503 ]]",1
2,3,5,,1.384093999862671,"[[ 0.52557427  0.83057934  0.16946341  0.03894498 -0.06062342]
 [-0.8388381   0.5298418  -0.01557748 -0.07053089 -0.10198592]
 [-0.1083358  -0.13795903  0.98016816  0.085501   -0.03450736]
 [ 0.07890698 -0.10010034 -0.00821558 -0.34294614 -0.930631  ]
 [-0.04646972 -0.01878801 -0.10120527  0.9319797  -0.34446895]]",1
3,4,5,,1.1572017669677734,"[[ 0.9734356   0.21626219  0.01702005  0.07323016 -0.0012094 ]
 [-0.21919471  0.94313574  0.21040893  0.07773972 -0.11015083]
 [ 0.03131248 -0.21939535  0.9717114   0.00449381 -0.08149777]
 [ 0.05505888  0.087049    0.02019112 -0.9941027  -0.02725797]
 [-0.01910179  0.08951928  0.10395962 -0.0182584   0.9901921 ]]",1
4,5,5,,1.2592339515686035,"[[ 9.85076904e-01  7.62013718e-03  1.55123234e-01  5.06440774e-02
   5.41978031e-02]
 [ 3.36508080e-02 -9.80375886e-01 -1.49656296e-01  6.44942820e-02
  -1.05708055e-01]
 [ 1.43900275e-01  1.82244509e-01 -9.26106215e-01  2.21965015e-01
  -1.97834328e-01]
 [ 8.77790228e-02 -8.85349058e-04 -1.37198612e-01 -9.27791536e-01
  -3.35668534e-01]
 [ 8.87053274e-03 -7.47741386e-02 -2.77567238e-01 -2.88461328e-01
   9.13277984e-01]]",1
5,6,5,,1.1892825365066528,"[[ 0.87688583  0.32205486 -0.3321391   0.08117049  0.10220983]
 [ 0.20724106 -0.9121167  -0.3348604   0.09286181 -0.06587446]
 [ 0.4060075  -0.19547781  0.86082417  0.14606412 -0.18599318]
 [ 0.11689252  0.01510049 -0.05756932 -0.76630497 -0.628944  ]
 [ 0.0980636  -0.16088572  0.18226261 -0.6133759   0.7450166 ]]",1
6,7,5,,1.2618143558502197,"[[ 0.9598492   0.19168088  0.18265183 -0.05283637 -0.07612222]
 [ 0.25798658 -0.8889603  -0.34775662  0.09989826  0.11080682]
 [-0.10148351 -0.40096757  0.9013255  -0.12143876 -0.04232054]
 [ 0.00193941  0.02419511  0.12664945  0.9534662  -0.27253062]
 [-0.04277603 -0.10792413 -0.13143753 -0.25176075 -0.9517685 ]]",1
7,8,5,,1.2574750185012817,"[[ 0.9379472   0.14840972  0.23800741 -0.17884928 -0.09795408]
 [ 0.11860141 -0.98393285  0.10353306 -0.01098037 -0.08348698]
 [-0.04234679  0.04072791  0.7262697   0.6258536   0.2781863 ]
 [-0.32093477  0.0565169   0.6363684  -0.6541675  -0.24679303]
 [-0.03736831  0.07069416  0.01417304  0.38505137 -0.9193152 ]]",1
8,9,5,,1.4326145648956299,"[[ 0.8803569  -0.38307574 -0.25211975 -0.11555563  0.03615635]
 [ 0.365047    0.91084564 -0.15179406  0.1080448   0.04884575]
 [ 0.28360355  0.06663064  0.93630207 -0.14456213 -0.13255031]
 [ 0.10610529 -0.13483198  0.11831432  0.97560203 -0.06902501]
 [-0.00480883 -0.03152819  0.15077911  0.04770458  0.98690057]]",1
9,10,5,,1.2657265663146973,"[[ 0.9627531  -0.11591472 -0.0037173   0.23997448  0.04548315]
 [-0.05592752 -0.8705812   0.43601623 -0.16060767 -0.15184063]
 [-0.20044732  0.09051204  0.47824344  0.8497345   0.02937616]
 [-0.17226851 -0.46831766 -0.73241895  0.4143017   0.20716797]
 [-0.01109325 -0.03373903  0.2114748  -0.15140292  0.9649322 ]]",1
10,11,5,,1.538707971572876,"[[ 0.9498111   0.15002862 -0.26107645 -0.05354882 -0.06574137]
 [-0.22680226  0.86635447 -0.22040045 -0.3650748  -0.12702219]
 [-0.17355432 -0.43634832 -0.76499647 -0.42417094 -0.11974306]
 [-0.12300374  0.18728821 -0.5437533   0.79183257  0.16470207]
 [ 0.03418533  0.03800847 -0.04873811 -0.23860653  0.9685444 ]]",1
0,1,5,,1.1747972965240479,"[[ 0.80057985 -0.58743817  0.07061464  0.0911669  -0.02627517]
 [ 0.55192363  0.79595053  0.22218737  0.11155478  0.00559611]
 [-0.16445763 -0.13368021  0.9643909  -0.15493724  0.03206124]
 [-0.16470812 -0.05646604  0.12226559  0.97628206 -0.04008951]
 [ 0.01664434 -0.01789704 -0.02544874  0.04595448  0.9983202 ]]",2
