layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,6,0.9,1.2936838865280151,"[[ 0.7684684  -0.6112527   0.08385275  0.09104274 -0.00523488  0.14310482]
 [ 0.5718245   0.7759117   0.24069142  0.10786581  0.01503683  0.03441364]
 [-0.17458363 -0.14000371  0.9540385  -0.16107634  0.01443828 -0.11651576]
 [-0.15718107 -0.05264525  0.11993367  0.9747744  -0.05108334 -0.0731018 ]
 [ 0.00634808 -0.01960216 -0.02090662  0.04716121  0.993513   -0.09922719]
 [-0.16506813  0.03967856  0.10012792  0.04148844  0.09929931  0.9744593 ]]",0
1,2,6,0.9,1.5145964622497559,"[[ 0.99593824  0.01268682  0.02923381  0.05601444  0.0587774  -0.02233928]
 [-0.0076944   0.988152   -0.07937249  0.04202297 -0.03860972  0.11806648]
 [-0.0190569   0.08240464  0.9862154  -0.1042011  -0.09432738 -0.02167959]
 [-0.01718391 -0.05982045  0.04741307  0.8541559  -0.5105308   0.06045064]
 [ 0.08399095 -0.02942821 -0.12866631 -0.50407827 -0.84665835  0.06781715]
 [ 0.0182998  -0.1102703   0.03770388 -0.02369435  0.09319201  0.98835105]]",0
2,3,7,0.9,1.6646621227264404,"[[ 5.07342756e-01  8.48721862e-01 -1.17207721e-01  1.59264784e-02
   8.33722427e-02 -2.58760508e-02 -2.57427488e-02]
 [-8.48007143e-01  5.10665655e-01  4.45987023e-02  1.32249758e-01
   1.12836680e-03  2.03882046e-02 -1.44390315e-02]
 [-1.04776405e-01 -8.98889303e-02 -9.70181167e-01  1.43601093e-02
   1.18871108e-01 -1.38999477e-01 -7.76727274e-02]
 [ 9.99147445e-02 -8.96893665e-02  2.37821341e-02  9.72569406e-01
   1.78363174e-01  5.29291481e-02  3.00191175e-02]
 [-4.81648296e-02 -4.59878668e-02  1.26699969e-01 -1.80582643e-01
   9.73046780e-01 -7.57973408e-03  4.96939430e-03]
 [ 1.15011157e-02  2.66820891e-04 -1.29343376e-01 -5.00873253e-02
   1.64733566e-02  9.80365872e-01 -1.38710201e-01]
 [-8.60418659e-03  2.55461168e-02 -9.83551070e-02 -3.22505087e-02
   3.53904627e-03  1.24970414e-01  9.86371815e-01]]",0
3,4,7,0.9,1.3640389442443848,"[[ 9.5543516e-01 -2.7817744e-01  3.7741024e-02  5.2549660e-02
  -4.8522078e-03 -5.4814823e-02  5.0467305e-02]
 [-2.8342000e-01 -9.1821694e-01  2.3458004e-01  8.4876791e-02
  -1.1192272e-01 -4.0061984e-02 -1.3680236e-02]
 [-3.2274589e-02 -2.4833430e-01 -9.6287876e-01 -7.2787076e-02
   5.8745071e-02 -3.7340224e-02  3.1407007e-03]
 [-2.2689607e-03  1.1688175e-01 -1.2575929e-01  7.3526728e-01
  -6.5407288e-01  1.4305614e-03 -4.5680005e-02]
 [ 3.8048975e-02  2.2200705e-02  1.4135985e-03 -6.6367656e-01
  -7.3736423e-01 -8.9757174e-02 -7.6343536e-02]
 [ 3.9722294e-02 -5.9055269e-02 -2.4390928e-02 -5.8704417e-02
  -7.4723169e-02  9.9014938e-01  7.0101291e-02]
 [-5.2387081e-02  1.3537111e-02  4.0474982e-04 -1.4339568e-02
  -8.3052844e-02 -7.4444093e-02  9.9218291e-01]]",0
4,5,7,0.9,1.4229813814163208,"[[ 0.984948   -0.01362187  0.1490977   0.03885604 -0.04855564 -0.00598296
   0.0596538 ]
 [-0.01874477  0.96330404  0.2294907  -0.09684995 -0.07316426  0.05538781
  -0.03503325]
 [ 0.12632135  0.26116735 -0.8734685   0.34691218  0.16741776 -0.01069851
   0.06630243]
 [ 0.06558395  0.02149726 -0.02114831 -0.50837624  0.8579086  -0.01815058
   0.00252149]
 [ 0.06219771 -0.01270604 -0.38971436 -0.7772487  -0.47687355 -0.09913044
   0.05236421]
 [ 0.01339183 -0.05123156 -0.05799071 -0.07698955 -0.02590788  0.99276036
   0.04075792]
 [-0.07224881  0.02008039  0.08043109  0.01652044  0.01318688 -0.03244078
   0.993181  ]]",0
5,6,8,0.9,1.4842427968978882,"[[ 0.94931704 -0.11701787 -0.2473852  -0.10622013  0.05453436 -0.08270742
  -0.0084102   0.05231282]
 [ 0.09447059  0.9871949  -0.11245348 -0.01515686 -0.02375301  0.02762722
  -0.04750509 -0.00786766]
 [ 0.26696348  0.07323974  0.94101894 -0.06536971 -0.12695557  0.12819178
  -0.01081082 -0.0301487 ]
 [ 0.09378271 -0.02802384 -0.08274891  0.6568212  -0.7421966   0.02205827
  -0.02274419 -0.01727544]
 [-0.07682852 -0.03645889 -0.1230313  -0.7429598  -0.64940846  0.05662464
  -0.02205823 -0.01476275]
 [ 0.04047826 -0.04383178 -0.1271081   0.02827544  0.073522    0.9820251
  -0.02012019  0.09644005]
 [ 0.01811881  0.04379637 -0.00606655 -0.00324268 -0.0305939   0.02639755
   0.99751806 -0.03210962]
 [-0.04402718  0.02085995  0.04960724  0.00102181 -0.03762371 -0.08485285
   0.0332348   0.9926955 ]]",0
6,7,9,0.9,1.9321211576461792,"[[ 0.99414724  0.05195651  0.02968772  0.01204681  0.04563254 -0.03220069
   0.02990676  0.02374006  0.05803513]
 [-0.05827219  0.9776079   0.14822829  0.05373275  0.01135069  0.02940805
   0.01709804 -0.09627645  0.07398015]
 [-0.03963153 -0.17247427  0.86164844 -0.13894604  0.01848785 -0.11822639
   0.10449289 -0.20758377  0.3723022 ]
 [ 0.0194317   0.07031078 -0.20483133 -0.9420215  -0.19145064 -0.07211211
  -0.03004799 -0.1258493   0.08200016]
 [-0.04759193 -0.0047203  -0.16217686 -0.11900948  0.9487716  -0.11607713
   0.01927066 -0.13188961  0.16074942]
 [ 0.02704567 -0.03173003  0.14361273 -0.14460398  0.14248246  0.96002835
  -0.0945604   0.06710499 -0.03642015]
 [-0.01099289 -0.01291799 -0.09544007 -0.00461738 -0.02560369  0.1193159
   0.97108036 -0.14798461 -0.10389411]
 [ 0.05088769 -0.06545901 -0.08566324  0.1359799  -0.07519304  0.07974827
  -0.1854527  -0.93498003 -0.21610796]
 [-0.02490979 -0.03756903 -0.35969463  0.19149874 -0.18443228  0.15230334
   0.01699876 -0.11512211  0.8724463 ]]",0
7,8,10,0.9,1.9666365385055542,"[[ 0.94619745 -0.11412779  0.24056864 -0.04101719 -0.1427391   0.0251257
   0.00694404 -0.09354795 -0.03085337 -0.0370462 ]
 [ 0.10327835  0.98509026  0.0813719   0.08995873  0.02561152  0.00788554
  -0.02225729  0.00197499 -0.02898965 -0.04646347]
 [-0.15723094 -0.08935614  0.85276335  0.29031098  0.37348226  0.10357131
   0.05915403  0.04185126  0.01824211 -0.00292833]
 [-0.16002634  0.07705465  0.38153452 -0.84585917 -0.29281268  0.03236923
   0.07452094  0.045232    0.09876627  0.05715642]
 [ 0.1633696   0.01953736 -0.21129267 -0.4128392   0.8574101   0.10224001
  -0.01958385 -0.06014678  0.03153769  0.08513051]
 [-0.02077007  0.00215713 -0.09197517  0.04760075 -0.11417685  0.98308104
   0.04445791 -0.03890774  0.06964059 -0.03184318]
 [ 0.01157747  0.02129089 -0.07517806  0.03126669  0.0234407  -0.0500039
   0.99095577 -0.0605441  -0.05489415 -0.03257735]
 [ 0.12315099  0.01243089 -0.0485412   0.06122001 -0.00118573  0.02812313
   0.07116151  0.8504499   0.17504787  0.46777347]
 [ 0.01836768 -0.03928856 -0.0245761  -0.09302182  0.06931338  0.01661734
  -0.00608085  0.50083655 -0.18193325 -0.836545  ]
 [-0.03090925 -0.01059156  0.03186547 -0.06622924 -0.01406807  0.08404206
  -0.03081642  0.06743899 -0.95682853  0.2554432 ]]",0
8,9,10,0.9,2.284423828125,"[[ 8.58420551e-01  3.55775416e-01  2.64139384e-01 -1.02664091e-01
  -2.02465733e-03 -9.52723250e-02 -5.57559170e-02  1.37683660e-01
   1.54448390e-01 -3.50394696e-02]
 [-3.43417227e-01  9.22198713e-01 -1.46917045e-01  1.05298264e-02
  -6.51201680e-02  2.49175113e-02 -5.91320246e-02  8.84857960e-03
   2.05546543e-02 -3.25510651e-02]
 [ 2.42090970e-01 -7.70300627e-02 -9.12461340e-01 -1.41484067e-01
  -1.72477126e-01 -4.06572260e-02 -6.00149482e-02  4.83260155e-02
   1.80452436e-01 -1.13812864e-01]
 [ 1.60189375e-01  2.49535106e-02 -1.02648087e-01  9.52950060e-01
  -1.77242830e-01 -5.56413345e-02 -2.21709218e-02 -6.11763224e-02
  -1.17621638e-01  4.98626679e-02]
 [ 6.15589730e-02  5.55302911e-02 -1.97966620e-01  1.39004797e-01
   9.63552594e-01  4.38756309e-03 -6.40550107e-02 -1.69985406e-02
  -2.38722712e-02  3.46277095e-02]
 [ 9.65633988e-02  3.85199115e-03 -4.32213244e-04  5.11213653e-02
  -1.58716869e-02  9.88054276e-01 -9.97280795e-03 -1.53971296e-02
   1.03109829e-01 -2.39977781e-02]
 [ 2.41425931e-02  6.38988242e-02 -5.99909462e-02  3.55766080e-02
   4.46276329e-02  4.73557848e-05  9.78256345e-01  1.34602785e-01
   9.39435959e-02  6.74480274e-02]
 [ 5.66778593e-02  3.55851389e-02  3.03762145e-02 -2.43971664e-02
   1.55140914e-03 -5.48323393e-02  8.82173777e-02 -9.21764612e-01
   3.63398671e-01  3.87751572e-02]
 [ 1.73730746e-01  6.75251335e-02 -7.41845965e-02 -1.33098915e-01
  -1.28330309e-02  6.05037324e-02  1.40917987e-01 -3.11928421e-01
  -8.09163511e-01 -4.07812655e-01]
 [ 1.17551915e-01  5.83905838e-02 -1.27701357e-01 -1.40376776e-01
  -6.12185225e-02  5.11436313e-02 -2.17569284e-02 -9.64038149e-02
  -3.49991798e-01  8.98962855e-01]]",0
9,10,10,0.9,2.076817750930786,"[[ 0.9316557  -0.1789379   0.05408961  0.21984027  0.08070969  0.08679865
   0.03104839 -0.08069501 -0.06571452 -0.15133192]
 [ 0.1242781   0.9037957  -0.32353246  0.13627264  0.18721266  0.05776717
   0.02599554 -0.05255255 -0.0106344  -0.0502853 ]
 [ 0.20385332 -0.09734262 -0.5562294  -0.7819845  -0.07093672 -0.02504403
   0.03561761 -0.11852354 -0.0431897   0.07236229]
 [-0.12901743 -0.31091547 -0.73445886  0.5396586  -0.02403001 -0.23032218
   0.01264547 -0.03479693  0.00588233 -0.03152154]
 [-0.05542569 -0.12978676  0.05670613 -0.10729027  0.92534083 -0.3128467
  -0.0581705  -0.07292592  0.0500923  -0.0040786 ]
 [-0.15589595 -0.15706827 -0.1267567   0.0713938   0.25953183  0.8763341
   0.01208443 -0.29381058 -0.01068145  0.08921218]
 [-0.02471279 -0.00742084  0.05741733  0.01635762  0.02228971 -0.06228008
   0.979759   -0.10718334  0.11153926  0.08681799]
 [ 0.02740901 -0.05419821 -0.14358416 -0.05986214  0.15589066  0.25525603
   0.12661622  0.9091867   0.09500881 -0.17599702]
 [ 0.13637583  0.01515838 -0.01954447  0.03448747 -0.03616073  0.0042926
  -0.13202088  0.01128642  0.87933415  0.43299994]
 [-0.10504804 -0.01591345  0.00144427 -0.09338102 -0.05575951  0.02379442
   0.00361734 -0.21351546  0.44311282 -0.85695004]]",0
