layer,level_from,level_to,G,boot_id
0,1,2,0.9709159958930242,0
0,2,3,0.9636167997405642,0
0,3,4,0.9724029416129703,0
0,4,5,0.9786256125995091,0
0,5,6,0.9736675534929548,0
0,6,7,0.9761269631839934,0
0,7,8,0.9653340237481254,0
0,8,9,0.9572526017824808,0
0,9,10,0.9776139883767991,0
1,1,2,0.952497348898933,0
1,2,3,0.9431830502691723,0
1,3,4,0.9382354418436686,0
1,4,5,0.9386712085633051,0
1,5,6,0.9437618567830041,0
1,6,7,0.9454219114212763,0
1,7,8,0.9357835678827195,0
1,8,9,0.9292155589376178,0
1,9,10,0.9414445190202623,0
2,1,2,0.9387105249223255,0
2,2,3,0.9317414505141122,0
2,3,4,0.9238479421252296,0
2,4,5,0.9188839197158813,0
2,5,6,0.9278150371142796,0
2,6,7,0.9244423338345119,0
2,7,8,0.9060148823828924,0
2,8,9,0.9084550823484149,0
2,9,10,0.92319560334796,0
3,1,2,0.9154269666898818,0
3,2,3,0.9009384229069665,0
3,3,4,0.90533808583305,0
3,4,5,0.9130125045776367,0
3,5,6,0.9201692910421462,0
3,6,7,0.900986339364733,0
3,7,8,0.8718581369944981,0
3,8,9,0.8919614865666344,0
3,9,10,0.8975794741085598,0
4,1,2,0.9017660844893682,0
4,2,3,0.9173166099048796,0
4,3,4,0.9058147810754322,0
4,4,5,0.8975844014258612,0
4,5,6,0.908214100769588,0
4,6,7,0.8747887980370295,0
4,7,8,0.8692187241145543,0
4,8,9,0.8981756709870838,0
4,9,10,0.89290832337879,0
5,1,2,0.8863848873547145,0
5,2,3,0.9114007268633161,0
5,3,4,0.8885515190306164,0
5,4,5,0.8809329668680826,0
5,5,6,0.8931957710356939,0
5,6,7,0.84263904605593,0
5,7,8,0.8443538461412702,0
5,8,9,0.8961381798698789,0
5,9,10,0.8891078205335707,0
6,1,2,0.8572396238644918,0
6,2,3,0.9006047674587795,0
6,3,4,0.872310011159806,0
6,4,5,0.866838276386261,0
6,5,6,0.8612823401178632,0
6,6,7,0.8006029157411485,0
6,7,8,0.8155182202657064,0
6,8,9,0.8764306562287467,0
6,9,10,0.8751760125160217,0
7,1,2,0.8506961720330375,0
7,2,3,0.8749231043316069,0
7,3,4,0.8577660804703122,0
7,4,5,0.8431635215168908,0
7,5,6,0.8556749820709229,0
7,6,7,0.8167225207601275,0
7,7,8,0.8347191924140567,0
7,8,9,0.8578296729496547,0
7,9,10,0.8495223777634757,0
8,1,2,0.8394670202618554,0
8,2,3,0.8735225512867882,0
8,3,4,0.842954348950159,0
8,4,5,0.8310102564947945,0
8,5,6,0.8541375682467506,0
8,6,7,0.802722726549421,0
8,7,8,0.8325356188274565,0
8,8,9,0.8433791512534732,0
8,9,10,0.8348799972307115,0
9,1,2,0.7847293047677903,0
9,2,3,0.8780778788384938,0
9,3,4,0.8461728323073614,0
9,4,5,0.8045730363754999,0
9,5,6,0.8268973231315613,0
9,6,7,0.7760346361568996,0
9,7,8,0.771639366944631,0
9,8,9,0.8152298757008144,0
9,9,10,0.8248758741787502,0
10,1,2,0.7596296724819002,0
10,2,3,0.8540600282805306,0
10,3,4,0.8131503888538906,0
10,4,5,0.7731933962731135,0
10,5,6,0.8184611598650614,0
10,6,7,0.7325322769937062,0
10,7,8,0.7344996673720223,0
10,8,9,0.7800409311339969,0
10,9,10,0.7755404001190549,0
11,1,2,0.6749215338911329,0
11,2,3,0.9881259827386766,0
11,3,4,0.979948083559672,0
