metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,q_value
G,0.9798171021205091,0.9650763239519936,0.01474077816851549,0.013565889594786584,0.015758431595599615,0.0,3.6452446822532787,100,100,0,0.0
G,0.9512956774636865,0.920019953691297,0.03127572377238952,0.029166031896807654,0.033274368466117886,0.0,3.9550587099291907,100,100,1,0.0
G,0.9318577934522476,0.9014602757753835,0.03039751767686416,0.027895070649092107,0.03267066494542215,0.0,3.495942956812516,100,100,2,0.0
G,0.8950804241853102,0.8684632479685639,0.026617176216746308,0.02333540028924996,0.030100226918217732,0.0,2.1801241468492463,100,100,3,0.0
G,0.9062498742337265,0.8632122107238049,0.04303766350992155,0.03975554204740477,0.046164184546624215,0.0,3.717012335886727,100,100,4,0.0
G,0.8932779894830687,0.8540553649176682,0.03922262456540049,0.03567434542836628,0.04302630407094735,0.0,2.9494799083189482,100,100,5,0.0
G,0.8710052733397674,0.831614432955072,0.039390840384695425,0.03506046362191684,0.044052090220780236,0.0,2.4829935975713036,100,100,6,0.0
G,0.8506841788017561,0.8288707903089031,0.02181338849285297,0.015652891806300365,0.02798178009290314,0.0,0.9595841646363031,100,100,7,0.0
G,0.8404135299429061,0.8062965667295079,0.03411696321339819,0.027156479797310826,0.040686743908410726,0.0,1.3812194243526663,100,100,8,0.0
G,0.78073672091275,0.7580490183749842,0.022687702537765864,0.014560176752347808,0.031360939472647696,0.0,0.7026814228083677,100,100,9,0.0
G,0.723542890874876,0.7004718392874513,0.02307105158742473,0.00893704030041308,0.03553615728150182,0.0,0.4749795035753351,100,100,10,0.0
G,0.5317407738172656,0.759735320326118,-0.22799454650885242,-0.25051625285239526,-0.20666890985086184,0.0,-2.8317160247406084,100,100,11,0.0
