metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
mean_angle,0.5230567818880081,0.45462366223335265,0.06843311965465543,0.06592276544868944,0.07084730282425883,0.0,7.373399874942717,100,100,0,1,0.0
mean_angle,0.617559221982956,0.6042952573299408,0.013263964653015159,0.011670759990811384,0.014958561956882504,0.0,2.0395336415723264,100,100,1,2,0.0
mean_angle,0.6302203762531281,0.5788827866315842,0.05133758962154389,0.04941828082501884,0.05315905973315232,0.0,7.365107097682571,100,100,2,3,0.0
mean_angle,0.516681758761406,0.4806574431061745,0.03602431565523151,0.0342808787003159,0.03760469281673429,0.0,6.262470540707554,100,100,3,4,0.0
mean_angle,0.5621016120910645,0.5185680225491524,0.04353358954191211,0.03989444926381114,0.04705477927625171,0.0,3.2732705658883976,100,100,4,5,0.0
mean_angle,0.5171669757366181,0.5411178612709046,-0.02395088553428648,-0.027785038113594056,-0.020009294733405087,0.0,-1.6712747084242678,100,100,5,6,0.0
mean_angle,0.5348245477676392,0.5111216697096824,0.02370287805795679,0.020889961987733893,0.026498805277049554,0.0,2.408234841768035,100,100,6,7,0.0
mean_angle,0.5694098854064942,0.5963697606325149,-0.026959875226020724,-0.02946856394410131,-0.02436751048266891,0.0,-2.8629205128206157,100,100,7,8,0.0
mean_angle,0.6382687693834305,0.7049535518884659,-0.0666847825050354,-0.06870409262180334,-0.06472584769129751,0.0,-8.832814205135243,100,100,8,9,0.0
mean_angle,0.5759771430492401,0.6009051036834717,-0.02492796063423164,-0.026851348191499806,-0.02295200867950916,0.0,-3.529405743398303,100,100,9,10,0.0
mean_angle,0.6825260758399964,0.7723531019687653,-0.08982702612876892,-0.09382201117277149,-0.08584776756167413,0.0,-6.677458748084635,100,100,10,11,0.0
max_angle,0.7216237246990204,0.6099909365177154,0.11163278818130495,0.10831177490949638,0.11492073978483675,0.0,9.191640066858293,100,100,0,1,0.0
max_angle,0.7185137331485748,0.7031123220920563,0.015401411056518488,0.012891660124063481,0.018079759985208502,0.0,1.6371294662752363,100,100,1,2,0.0
max_angle,0.7012176406383515,0.7786660373210907,-0.07744839668273928,-0.07973563474416728,-0.0750586853474378,0.0,-9.555893546401888,100,100,2,3,0.0
max_angle,0.6317976462841034,0.5788875490427017,0.05291009724140172,0.050681899487972276,0.05497971750795841,0.0,6.419398637754478,100,100,3,4,0.0
max_angle,0.7409647941589356,0.7152947127819062,0.02567008137702942,0.01550457796454425,0.0354439042061567,0.0,0.7017158880805152,100,100,4,5,0.0
max_angle,0.5979208606481552,0.8694989287853241,-0.2715780681371689,-0.28607878722250457,-0.25771083635091785,0.0,-5.1718371582889935,100,100,5,6,0.0
max_angle,0.8211189860105514,0.6153707790374756,0.20574820697307583,0.19698689149320117,0.21487502966821195,0.0,6.300734408392495,100,100,6,7,0.0
max_angle,0.6829839521646499,0.8327572339773178,-0.1497732818126679,-0.1560104851722717,-0.14356703710556037,0.0,-6.600210691337736,100,100,7,8,0.0
max_angle,0.8254638558626175,1.0198400700092316,-0.1943762141466141,-0.20026524780690666,-0.18850085198879238,0.0,-8.652825986176303,100,100,8,9,0.0
max_angle,0.7161027073860169,0.8804660367965699,-0.16436332941055298,-0.1716548704802989,-0.15647375577688222,0.0,-5.816489208837244,100,100,9,10,0.0
max_angle,1.1568520164489746,1.3862178993225098,-0.2293658828735352,-0.23257988920807837,-0.2258125603497027,0.0,-17.98256477578974,100,100,10,11,0.0
