metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
mean_angle,0.5140215626358986,0.46018496781587603,0.053836594820022565,0.05145499770343308,0.05617165841162199,0.0,6.120981378460195,100,100,0,1,0.0
mean_angle,0.6158523136377334,0.6064513105154038,0.00940100312232961,0.007722871169447937,0.01113342624902725,0.0,1.416594671581677,100,100,1,2,0.0
mean_angle,0.6306258428096772,0.5992452472448349,0.031380595564842295,0.025487436622381215,0.037032982334494584,0.0,1.5190299435696173,100,100,2,3,0.0
mean_angle,0.5266842395067215,0.5195046022534371,0.00717963725328441,5.275681614292313e-07,0.015077373497188023,0.05,0.26318246703329473,100,100,3,4,0.05500000000000001
mean_angle,0.5675850915908813,0.5818867522478104,-0.01430166065692906,-0.02245328155159951,-0.005687893450260153,0.002,-0.4626544296429091,100,100,4,5,0.0024444444444444444
mean_angle,0.5497095245122909,0.5804019558429718,-0.03069243133068089,-0.03919192247092722,-0.022015146717429237,0.0,-1.0372386945960874,100,100,5,6,0.0
mean_angle,0.5790260297060013,0.557652713060379,0.021373316645622253,0.013920330420136517,0.028672477796673777,0.0,0.8011302474012956,100,100,6,7,0.0
mean_angle,0.6277580982446671,0.6683857464790344,-0.040627648234367264,-0.04769865044951445,-0.032951484993100084,0.0,-1.5194415096923601,100,100,7,8,0.0
mean_angle,0.7024516957998276,0.727816269993782,-0.025364574193954437,-0.03150409401953227,-0.01943997177481649,0.0,-1.1663985363231708,100,100,8,9,0.0
mean_angle,0.6083210349082947,0.6047262322902679,0.0035948026180268045,-0.0032538777887821165,0.010396047517657244,0.28,0.1432550859267056,100,100,9,10,0.28
mean_angle,0.7995761078596115,0.719520400762558,0.08005570709705356,0.06596845881640914,0.09370982283353808,0.0,1.6892523747705175,100,100,10,11,0.0
max_angle,0.7107284778356552,0.6269249665737152,0.08380351126193997,0.08076781024038791,0.08680968865752219,0.0,7.771600529533287,100,100,0,1,0.0
max_angle,0.7305877298116684,0.7434566289186477,-0.012868899106979304,-0.01466959021985525,-0.010928604513406793,0.0,-1.8340359681855847,100,100,1,2,0.0
max_angle,0.7696689367294312,0.8625397664308548,-0.09287082970142368,-0.12887814690172678,-0.06241129577159881,0.0,-0.7362603008807495,100,100,2,3,0.0
max_angle,0.7301045548915863,0.8436759042739869,-0.11357134938240054,-0.16875079588592046,-0.05513697932660575,0.0,-0.5611740040197158,100,100,3,4,0.0
max_angle,0.8850244212150574,1.170024403333664,-0.28499998211860655,-0.35312249220907693,-0.21600187486410152,0.0,-1.2078980427045372,100,100,4,5,0.0
max_angle,0.884053161740303,1.1655637967586516,-0.2815106350183486,-0.34701821191608917,-0.21865837566554547,0.0,-1.2010977701901289,100,100,5,6,0.0
max_angle,1.2132236796617508,0.9624072206020355,0.2508164590597153,0.18908117663860313,0.31104872284829627,0.0,1.1627810382524104,100,100,6,7,0.0
max_angle,1.0241581463813783,1.2677565681934357,-0.2435984218120575,-0.28937691764533535,-0.19452060802280893,0.0,-1.4075233184877622,100,100,7,8,0.0
max_angle,1.2388916355371475,1.3067614090442659,-0.06786977350711831,-0.10634919145703328,-0.03016889441013344,0.0,-0.4708375079012493,100,100,8,9,0.0
max_angle,1.1009257119894027,1.1343630409240724,-0.03343732893466966,-0.08433691169321533,0.017171004056930443,0.22,-0.1800428585988315,100,100,9,10,0.22
max_angle,1.1805759072303772,1.4701592886447907,-0.28958338141441353,-0.3001105542182922,-0.2782928721904755,0.0,-7.4650419982676794,100,100,10,11,0.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,0,1,1.0
k_used,6.07,6.81,-0.7399999999999993,-0.8300000000000001,-0.6499999999999995,0.0,-2.225062720371952,100,100,1,2,0.0
k_used,6.91,7.14,-0.22999999999999954,-0.33000000000000007,-0.1299999999999999,0.0,-0.5886285972814641,100,100,2,3,0.0
k_used,7.44,7.98,-0.54,-0.7000000000000002,-0.3700000000000001,0.0,-0.8797452714435843,100,100,3,4,0.0
k_used,7.58,8.01,-0.4299999999999997,-0.5999999999999996,-0.27000000000000046,0.0,-0.706481821717429,100,100,4,5,0.0
k_used,8.36,8.67,-0.3100000000000005,-0.50025,-0.0797500000000003,0.006,-0.3963077631962626,100,100,5,6,0.00825
k_used,9.14,9.65,-0.5099999999999998,-0.7599999999999998,-0.22000000000000064,0.0,-0.5337225703186927,100,100,6,7,0.0
k_used,10.18,9.77,0.41000000000000014,0.1097499999999995,0.690250000000001,0.01,0.37049934592626976,100,100,7,8,0.012222222222222223
k_used,10.44,10.01,0.4299999999999997,0.07000000000000028,0.7400000000000002,0.016,0.34275312324547613,100,100,8,9,0.017599999999999998
k_used,10.85,8.94,1.9100000000000001,1.5199999999999996,2.290250000000001,0.0,1.3672660285269242,100,100,9,10,0.0
k_used,3.45,7.96,-4.51,-4.739999999999999,-4.29,0.0,-5.511296190577952,100,100,10,11,0.0
