metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,q_value
pc1,0.2407921303808689,0.24346748605370522,-0.002675355672836305,-0.003307296428829422,-0.0020100361853837936,0.0,-1.077712017230337,100,100,0,0.0
pc1,0.28027784943580625,0.290018709897995,-0.00974086046218875,-0.011690553568303591,-0.007775750949978838,0.0,-1.3567625171161597,100,100,1,0.0
pc1,0.2515180805325508,0.2561116747558117,-0.004593594223260888,-0.005600261490792002,-0.0036013300530612067,0.0,-1.327586717699213,100,100,2,0.0
pc1,0.24061769351363183,0.25966471433639526,-0.01904702082276344,-0.02072849261388182,-0.017472805146127927,0.0,-3.3183695104891284,100,100,3,0.0
pc1,0.2456684409081936,0.2521792194247246,-0.006510778516531007,-0.007746070820838223,-0.005371178723871721,0.0,-1.5349199024301385,100,100,4,0.0
pc1,0.24163445428013802,0.24191371843218804,-0.00027926415205001276,-0.002012666083872314,0.0015230716839432753,0.806,-0.04058985201542594,100,100,5,0.806
pc1,0.2460028873383999,0.2477201586961746,-0.001717271357774719,-0.003792543753981589,0.0004142607226967596,0.11,-0.2242235390816068,100,100,6,0.12000000000000001
pc1,0.2368103966116905,0.2822090232372284,-0.0453986266255379,-0.048244210578501256,-0.042500958755612384,0.0,-4.450747728730499,100,100,7,0.0
pc1,0.2567649284005165,0.3414936316013336,-0.0847287032008171,-0.08949579364433885,-0.07961031727120281,0.0,-4.86219112566593,100,100,8,0.0
pc1,0.3129001694917679,0.28736054837703706,0.02553962111473085,0.020784470446407785,0.03010910141468046,0.0,1.4768189164269998,100,100,9,0.0
pc1,0.2749170556664467,0.42847620040178297,-0.15355914473533627,-0.16424520028755066,-0.14292298545688395,0.0,-4.02633274237044,100,100,10,0.0
pc1,0.8379041546583176,0.565515538752079,0.27238861590623853,0.26418944201618433,0.280024532340467,0.0,9.755865012531634,100,100,11,0.0
pc2,0.20799012660980223,0.22326545268297196,-0.015275326073169726,-0.015637986309826355,-0.014916447974741471,0.0,-11.635102917886057,100,100,0,0.0
pc2,0.19624592751264572,0.19922966703772546,-0.0029837395250797427,-0.003961621679365649,-0.0020083818174898766,0.0,-0.836994291723791,100,100,1,0.0
pc2,0.21444120854139329,0.2158548629283905,-0.0014136543869972262,-0.0024549703933298564,-0.0004357162602245676,0.002,-0.3904962079796549,100,100,2,0.002
pc2,0.21546593815088272,0.222051450163126,-0.0065855120122432775,-0.007982106223702453,-0.005332199208438408,0.0,-1.3664569153521802,100,100,3,0.0
pc2,0.19054360061883927,0.22496776059269905,-0.03442415997385978,-0.035550881665200006,-0.033173365201801065,0.0,-7.755294000720964,100,100,4,0.0
pc2,0.18619479045271872,0.21816926181316376,-0.03197447136044504,-0.03339757775887847,-0.030613483544439057,0.0,-6.274992776245397,100,100,5,0.0
