layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,5,,0.5201332569122314,0.7221624851226807,[0.39246437 0.46011052 0.503209   0.5227198  0.7221625 ]
1,2,5,,0.6140564680099487,0.7147027850151062,[0.5049862  0.5407065  0.62915015 0.6807367  0.7147028 ]
2,3,5,,0.6275328397750854,0.6985616087913513,[0.53475696 0.60946614 0.64338446 0.65149504 0.6985616 ]
3,4,5,,0.5128600001335144,0.6292299032211304,[0.43230858 0.4727385  0.49912357 0.53089947 0.6292299 ]
4,5,5,,0.5571569204330444,0.7351431846618652,[0.44687948 0.47618672 0.54722416 0.58035105 0.7351432 ]
5,6,5,,0.5118538737297058,0.5916630029678345,[0.43101785 0.49586898 0.51245207 0.5282675  0.591663  ]
6,7,5,,0.5302740335464478,0.8196674585342407,[0.4119521  0.4399691  0.4761468  0.50363475 0.81966746]
7,8,5,,0.565582275390625,0.6781574487686157,[0.46523157 0.50453377 0.56443024 0.61555845 0.67815745]
8,9,5,,0.6341896057128906,0.8235769271850586,[0.51448    0.5305905  0.62704986 0.67525065 0.8235769 ]
9,10,5,,0.5732202529907227,0.7020993828773499,[0.46026206 0.5066198  0.55800307 0.6391169  0.7020994 ]
10,11,5,,0.6815274357795715,1.1591811180114746,[0.43189967 0.44712353 0.6037134  0.7657194  1.1591811 ]
