layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,6,0.9,0.5110086798667908,0.710921585559845,[0.39012447 0.41701555 0.45663357 0.51752615 0.5738309  0.7109216 ]
1,2,6,0.9,0.6125497817993164,0.7279084920883179,[0.4972716  0.525704   0.59828836 0.6275967  0.6985294  0.7279085 ]
2,3,7,0.9,0.6280305981636047,0.7678641676902771,"[0.47364357 0.52324975 0.6086884  0.6364125  0.6600521  0.7263034
 0.76786417]"
3,4,8,0.9,0.5131572484970093,0.6577922105789185,"[0.40787643 0.4379155  0.4468225  0.47646427 0.5144406  0.53661984
 0.6273265  0.6577922 ]"
4,5,8,0.9,0.5707308053970337,0.9249390363693237,"[0.41444278 0.43193513 0.5055289  0.53359294 0.5548086  0.58399516
 0.61660385 0.92493904]"
5,6,9,0.9,0.541626513004303,0.842176616191864,"[0.41439718 0.43023297 0.4435725  0.49892518 0.52804774 0.54381335
 0.5693864  0.60408664 0.8421766 ]"
6,7,11,0.9,0.5953096151351929,1.3956555128097534,"[0.37326786 0.41034305 0.43981093 0.4479567  0.4678852  0.49297404
 0.50722057 0.56087136 0.6945476  0.7578728  1.3956555 ]"
7,8,12,0.9,0.6595644354820251,1.1876518726348877,"[0.42249545 0.45202392 0.47121078 0.4854558  0.532815   0.60455525
 0.6143321  0.6547728  0.7463643  0.8422193  0.900877   1.1876519 ]"
8,9,13,0.9,0.7309256196022034,1.4485327005386353,"[0.4582606  0.5033782  0.5458724  0.5558264  0.55913985 0.60134435
 0.6227251  0.64640605 0.6803988  0.8149105  0.92897743 1.1362603
 1.4485327 ]"
9,10,14,0.9,0.6342642903327942,1.4218875169754028,"[0.39574403 0.43382677 0.45017284 0.46899873 0.48282972 0.50084764
 0.5206306  0.5413065  0.5865744  0.6514612  0.6736712  0.79435754
 0.9573905  1.4218875 ]"
10,11,4,0.9,0.7411767244338989,1.1598680019378662,[0.44748458 0.59495205 0.7624024  1.159868  ]
