layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95
0,90,0.23964375257492065,0.2075621783733368,0.17044545710086823,0.13172471523284912,0.10388122498989105,0.07076365500688553,0.037273235619068146,0.010960684157907963,0.007258386351168156,0.002738786628469825,5,6,7
1,90,0.279305636882782,0.19475458562374115,0.15153108537197113,0.1199597418308258,0.0901733860373497,0.06546548753976822,0.0343891866505146,0.012809012085199356,0.006984506268054247,0.005007099825888872,6,6,9
2,90,0.24945379793643951,0.2124313861131668,0.14354220032691956,0.11205074936151505,0.10023932158946991,0.06466024369001389,0.03403296694159508,0.012451840564608574,0.007442455738782883,0.006589077413082123,6,7,12
3,90,0.23680272698402405,0.21319584548473358,0.14095114171504974,0.10192706435918808,0.09937018901109695,0.06443651765584946,0.035339441150426865,0.015266184695065022,0.012004787102341652,0.008502465672791004,6,8,15
4,90,0.24253500998020172,0.1881091296672821,0.14031480252742767,0.10989023000001907,0.10406552255153656,0.06837918609380722,0.0350499153137207,0.0161327812820673,0.009152641519904137,0.007874934002757072,6,8,17
5,90,0.23861294984817505,0.18277285993099213,0.15290316939353943,0.1087978184223175,0.09837896376848221,0.06123921647667885,0.029735017567873,0.01638769544661045,0.01243133470416069,0.009132646024227142,7,9,19
6,90,0.24145092070102692,0.18179476261138916,0.1386590600013733,0.10873116552829742,0.09726178646087646,0.05882737785577774,0.03267572447657585,0.01620654948055744,0.014303243719041348,0.009253686293959618,7,11,21
7,90,0.23204319179058075,0.18114762008190155,0.12194281071424484,0.1154337078332901,0.10690347105264664,0.0561043918132782,0.03105861134827137,0.016988607123494148,0.013362392783164978,0.010813575237989426,8,12,24
8,90,0.2505073547363281,0.17628110945224762,0.12537407875061035,0.11391212046146393,0.0960736870765686,0.04855917766690254,0.029274510219693184,0.015822164714336395,0.013533571735024452,0.01000224705785513,8,13,25
9,90,0.30462196469306946,0.15791724622249603,0.11030993610620499,0.1042751595377922,0.0832524299621582,0.04132175073027611,0.02615012601017952,0.01870003156363964,0.016744647175073624,0.011128936894237995,9,14,25
10,90,0.26585882902145386,0.15387852489948273,0.12165067344903946,0.09776196628808975,0.07709772139787674,0.05479040369391441,0.026838228106498718,0.020579511299729347,0.0184724610298872,0.01386050134897232,10,16,28
11,90,0.8357563018798828,0.03491087630391121,0.0254433061927557,0.02126455120742321,0.016851985827088356,0.010212047956883907,0.006171408109366894,0.004785303492099047,0.003625699318945408,0.00344565836712718,2,4,7
