layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,left_out
0,81,0.23977790772914886,0.20746317505836487,0.17006723582744598,0.131796732544899,0.10381772369146347,0.07055635005235672,0.037296704947948456,0.010859068483114243,0.0071023209020495415,0.0027734218165278435,5,6,7,sentence.1
1,81,0.28122422099113464,0.19398458302021027,0.15083415806293488,0.11996419727802277,0.09017002582550049,0.06509549915790558,0.034521572291851044,0.012495125643908978,0.006874414626508951,0.00508910184726119,6,6,9,sentence.1
2,81,0.24992750585079193,0.21211282908916473,0.14344049990177155,0.11175701767206192,0.10059361904859543,0.06428097188472748,0.03393081575632095,0.012358245439827442,0.007407204248011112,0.0065629188902676105,6,7,12,sentence.1
3,81,0.23577812314033508,0.21334253251552582,0.14100143313407898,0.1027773916721344,0.09919391572475433,0.06432027369737625,0.035236671566963196,0.01521063782274723,0.012225658632814884,0.009053279645740986,6,8,15,sentence.1
4,81,0.24230806529521942,0.18723760545253754,0.14051984250545502,0.11115840077400208,0.10380125045776367,0.06804576516151428,0.034874238073825836,0.016070881858468056,0.009324684739112854,0.008077944628894329,6,8,17,sentence.1
5,81,0.23823942244052887,0.18236280977725983,0.153403177857399,0.1091679111123085,0.09792399406433105,0.06083652377128601,0.02962592802941799,0.016736924648284912,0.012351540848612785,0.009352737106382847,7,9,18,sentence.1
6,81,0.23931288719177246,0.18230454623699188,0.13897550106048584,0.10926884412765503,0.09796425700187683,0.05874856561422348,0.032913703471422195,0.016192033886909485,0.014147480949759483,0.009657877497375011,7,11,20,sentence.1
7,81,0.23061487078666687,0.1815800815820694,0.12171551585197449,0.11649436503648758,0.10723928362131119,0.055626124143600464,0.030738158151507378,0.017474979162216187,0.013806057162582874,0.010892016813158989,8,12,23,sentence.1
8,81,0.24963316321372986,0.1765170842409134,0.12600430846214294,0.11385282129049301,0.09615873545408249,0.0472966693341732,0.029138175770640373,0.01605425775051117,0.013950319029390812,0.010610414668917656,8,13,24,sentence.1
9,81,0.30722635984420776,0.1572212427854538,0.1104554682970047,0.1045984998345375,0.08294054120779037,0.03924603387713432,0.0262262225151062,0.018721092492341995,0.017418934032320976,0.011407520622015,9,13,23,sentence.1
10,81,0.2649027705192566,0.15196776390075684,0.12444709986448288,0.09764156490564346,0.07762513309717178,0.052749015390872955,0.027010826393961906,0.02123006246984005,0.018953286111354828,0.014206617139279842,10,15,26,sentence.1
11,81,0.8337655067443848,0.03527254983782768,0.025928564369678497,0.021573800593614578,0.01716226525604725,0.009949710220098495,0.006150946486741304,0.00510160718113184,0.003909491002559662,0.0036531456280499697,2,4,8,sentence.1
0,81,0.23954524099826813,0.2074662744998932,0.17109528183937073,0.13186462223529816,0.10411327332258224,0.0710466206073761,0.0370945930480957,0.011045616120100021,0.006796111352741718,0.0027447303291410208,5,6,7,sentence.10
1,81,0.27702054381370544,0.19554859399795532,0.15252329409122467,0.12047066539525986,0.09059029072523117,0.06590551882982254,0.0342055968940258,0.01304531842470169,0.0067551396787166595,0.004469375126063824,6,6,9,sentence.10
2,81,0.24955134093761444,0.21258854866027832,0.14356517791748047,0.1124652847647667,0.1006077453494072,0.06511513143777847,0.03399799391627312,0.012392690405249596,0.0070573026314377785,0.006102253682911396,6,7,12,sentence.10
3,81,0.2378733903169632,0.21183085441589355,0.14085473120212555,0.10273417085409164,0.10001904517412186,0.06501755863428116,0.03533466160297394,0.015224605798721313,0.011303150095045567,0.008258843794465065,6,8,15,sentence.10
4,81,0.24275624752044678,0.1878398209810257,0.14057374000549316,0.11077627539634705,0.10429958999156952,0.06909999996423721,0.03502868488430977,0.016054967418313026,0.008665421977639198,0.0072409589774906635,6,8,17,sentence.10
5,81,0.2378004789352417,0.18190829455852509,0.15526098012924194,0.10921964794397354,0.09927015751600266,0.061546362936496735,0.029788626357913017,0.016544867306947708,0.012447391636669636,0.008124848827719688,7,9,19,sentence.10
6,81,0.2438838630914688,0.1817983239889145,0.13853247463703156,0.10932961106300354,0.09698544442653656,0.0589255727827549,0.03253790736198425,0.01620616763830185,0.013905861414968967,0.008715052157640457,7,10,21,sentence.10
7,81,0.23408661782741547,0.17910902202129364,0.12335941195487976,0.1168774664402008,0.10603052377700806,0.056245170533657074,0.031511276960372925,0.016470259055495262,0.013413293287158012,0.009719481691718102,8,12,24,sentence.10
8,81,0.2500011622905731,0.17598019540309906,0.12776893377304077,0.11533969640731812,0.09557807445526123,0.04893508180975914,0.02983970381319523,0.015960276126861572,0.012979344464838505,0.009632634930312634,8,13,24,sentence.10
9,81,0.3099294900894165,0.15517476201057434,0.11014529317617416,0.10443147271871567,0.0818965882062912,0.04235342517495155,0.027072014287114143,0.019020432606339455,0.016737964004278183,0.010311431251466274,8,13,24,sentence.10
10,81,0.2685867249965668,0.1511835902929306,0.12062904983758926,0.09860947728157043,0.0765053927898407,0.05617288127541542,0.027759840711951256,0.021386826410889626,0.019590279087424278,0.013161319307982922,10,15,27,sentence.10
11,81,0.8319457173347473,0.03538917005062103,0.02591773308813572,0.02194160968065262,0.01716543175280094,0.010630611330270767,0.0065960269421339035,0.005178896710276604,0.0037869401276111603,0.003432247554883361,2,4,8,sentence.10
0,81,0.23983284831047058,0.2074701189994812,0.17139101028442383,0.13189423084259033,0.10404481738805771,0.0709492638707161,0.037229735404253006,0.011018196120858192,0.006765527185052633,0.002515561645850539,5,6,7,sentence.2
1,81,0.2766088843345642,0.19639822840690613,0.1528620570898056,0.12079133838415146,0.09072250127792358,0.06608976423740387,0.03431355208158493,0.01282911840826273,0.006596047431230545,0.004395605064928532,6,6,8,sentence.2
