layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,1,5,,1.1723005771636963,"[[ 7.8735179e-01 -6.0806203e-01  6.1723594e-02  7.6497607e-02
  -2.6001735e-02]
 [ 5.7800007e-01  7.8196877e-01  2.1326445e-01  9.4652094e-02
   3.0666473e-04]
 [-1.5773028e-01 -1.2755382e-01  9.6570605e-01 -1.5899408e-01
   3.1367697e-02]
 [-1.4394978e-01 -4.8190720e-02  1.3249698e-01  9.7875655e-01
  -3.7898928e-02]
 [ 1.9818062e-02 -1.3897286e-02 -2.3767723e-02  4.4109471e-02
   9.9845058e-01]]"
1,2,5,,1.3612875938415527,"[[ 0.99628794  0.03307864  0.03732726  0.04078269  0.05709298]
 [ 0.03751026 -0.99412304 -0.08451293  0.03209479 -0.046259  ]
 [-0.02487802 -0.08381356  0.98694754 -0.09976532 -0.09131145]
 [-0.0041499   0.04977166  0.03481331  0.8219407  -0.5663101 ]
 [ 0.07326115  0.03351572 -0.12722737 -0.55836105 -0.8158159 ]]"
2,3,5,,1.3846596479415894,"[[ 0.27391836  0.945968   -0.14569744  0.0722306  -0.06056705]
 [ 0.95107335 -0.27955085 -0.05555106  0.03733447  0.11327354]
 [-0.09796251 -0.13250948 -0.9796578   0.11239085 -0.02198822]
 [ 0.09734113 -0.08303279  0.01432556 -0.0815383  -0.98832005]
 [-0.03682583 -0.0504255   0.12550588  0.9869695  -0.07899828]]"
3,4,5,,1.1426624059677124,"[[ 0.9818427   0.18122388 -0.00785341 -0.05418989  0.01202596]
 [-0.17919806  0.9423876  -0.24574673 -0.02941263  0.1361512 ]
 [-0.0373915   0.25501376  0.9633846   0.01993949 -0.07115012]
 [ 0.04801505  0.04012738 -0.03383629  0.99562764 -0.06053904]
 [-0.01301647  0.11145105 -0.10144963 -0.06727772 -0.9862003 ]]"
4,5,5,,1.2469744682312012,"[[ 0.97858083  0.07324217  0.17723969  0.0344814  -0.06642432]
 [ 0.0873616  -0.9873702  -0.07706412  0.09811356  0.04362214]
 [-0.15135904 -0.12424359  0.9088821  -0.3474111  -0.1220363 ]
 [-0.107537    0.04637721  0.30345744  0.9119757  -0.2499978 ]
 [ 0.01654283  0.04635055  0.21093632  0.19180892  0.95723206]]"
5,6,5,,1.1372450590133667,"[[ 0.9144082   0.24417436 -0.30092704 -0.10603499  0.04935606]
 [ 0.23015317 -0.96559244 -0.08140785 -0.04407184 -0.07804504]
 [ 0.30394277  0.00909707  0.9375198  -0.08631662 -0.14540315]
 [ 0.09028108  0.04466164 -0.06088258  0.75263536 -0.6478333 ]
 [-0.10176097  0.07702299 -0.14200561 -0.64257574 -0.74205315]]"
6,7,5,,1.2098175287246704,"[[ 0.9800207   0.13989845  0.10579558 -0.03874798  0.08540287]
 [ 0.16533609 -0.96514755 -0.18702851  0.0176603  -0.07656723]
 [-0.09584303 -0.21116164  0.89816236 -0.32383373  0.18617465]
 [ 0.0069511   0.05655103 -0.26494172 -0.92562366 -0.26415995]
 [-0.05467272 -0.03363441 -0.27737692 -0.19115268  0.93936265]]"
7,8,5,,1.2576230764389038,"[[ 0.93604016  0.18491074  0.26852283 -0.03051776 -0.12884472]
 [ 0.18198882 -0.97999066  0.05027463  0.0627634   0.00560787]
 [-0.13918297  0.04635686  0.723732    0.50805634  0.4433621 ]
 [-0.22100367 -0.05695177  0.61243683 -0.7174661  -0.24099214]
 [ 0.14998111 -0.00580727 -0.16279131 -0.47143447  0.8536512 ]]"
8,9,5,,1.4121123552322388,"[[ 0.87921584  0.3995776   0.23134255 -0.1168157  -0.01232704]
 [ 0.3748848  -0.91242623  0.14241906 -0.02557832  0.07747348]
 [ 0.22768328 -0.05674045 -0.9153983  -0.27451614 -0.17784178]
 [ 0.17394856 -0.00459376 -0.1922848   0.93728817 -0.23289086]
 [ 0.06590246  0.06764104 -0.22642873  0.17841399  0.9528799 ]]"
9,10,5,,1.2769112586975098,"[[ 0.9638363  -0.12964514 -0.06072963 -0.19860902  0.1052525 ]
 [ 0.0723845   0.86803186 -0.44441476  0.03026134  0.20702879]
 [ 0.16165867 -0.16303895 -0.25750637  0.9365134  -0.06259198]
 [-0.17699361 -0.4294781  -0.8377966  -0.267676    0.1032866 ]
 [-0.09121288 -0.13667361  0.17491326  0.10455044  0.96512955]]"
10,11,5,,1.5785596370697021,"[[ 0.91567105  0.2268001  -0.32215345 -0.0293865  -0.07390426]
 [-0.33092034  0.7963169  -0.3082665  -0.36513886 -0.16738091]
 [-0.13437432 -0.54484123 -0.70241845 -0.4247781  -0.10612959]
 [ 0.18433727 -0.09358659  0.5337943  -0.819944   -0.00408048]
 [-0.00125508  0.09397118 -0.1511981  -0.11430365  0.97736466]]"
