layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,1,6,0.9,1.2622674703598022,"[[ 0.7786376  -0.60401696  0.06659851  0.07950282 -0.02426659  0.13244635]
 [ 0.57526815  0.7830632   0.21488577  0.09552527  0.00112894  0.02400836]
 [-0.14763896 -0.13169312  0.9597104  -0.16226919  0.02839166 -0.11259739]
 [-0.13915738 -0.05036249  0.12977481  0.97712225 -0.03895844 -0.07050991]
 [ 0.02909782 -0.01735831 -0.02950318  0.04122768  0.9951012  -0.07781665]
 [-0.14415719  0.04236503  0.10311502  0.04189614  0.08282272  0.9788648 ]]"
1,2,6,0.9,1.4886552095413208,"[[ 0.9962495   0.03147869  0.03657689  0.04113087  0.05539254 -0.01994946]
 [ 0.03741897 -0.9878958  -0.08130039  0.03065434 -0.03863174  0.11670397]
 [-0.0248294  -0.08491527  0.98633724 -0.09949753 -0.09279463 -0.02830722]
 [-0.00434748  0.05126832  0.03580238  0.82153076 -0.56374055  0.05791947]
 [ 0.07300536  0.0343813  -0.12648    -0.5586494  -0.8137353   0.05689181]
 [ 0.01102188  0.10977174  0.04373093 -0.02160605  0.08282465  0.98923695]]"
2,3,7,0.9,1.650618553161621,"[[ 2.73708910e-01  9.46052670e-01 -1.42043352e-01  7.17761293e-02
  -6.19296618e-02 -2.45112162e-02 -1.74214114e-02]
 [ 9.50881779e-01 -2.78978288e-01 -5.45338169e-02  3.66484672e-02
   1.12607516e-01 -2.46544071e-02  1.97385512e-02]
 [-9.75210443e-02 -1.32106438e-01 -9.66512561e-01  1.10971436e-01
  -2.63228379e-02 -1.42925277e-01 -7.38635585e-02]
 [ 9.71398428e-02 -8.32909122e-02  8.34124349e-03 -8.06448162e-02
  -9.86257195e-01  6.26120716e-02  2.07288750e-02]
 [-3.63986641e-02 -5.06104715e-02  1.26796544e-01  9.86771941e-01
  -7.92630911e-02 -5.75946178e-03  1.33009895e-03]
 [ 1.30676664e-02  4.67871752e-04 -1.33218125e-01  2.80970186e-02
   5.68595342e-02  9.78173912e-01 -1.45723715e-01]
 [-2.15668343e-02  1.42925810e-02 -9.38574150e-02  1.33645982e-02
   2.39244066e-02  1.32612959e-01  9.85993981e-01]]"
3,4,8,0.9,1.4525820016860962,"[[ 9.7854042e-01  1.7586629e-01 -8.3728079e-03 -5.6243103e-02
   1.4176403e-02 -5.0726283e-02  4.6048384e-02  5.8322772e-02]
 [-1.8187667e-01  9.3650240e-01 -2.4653110e-01 -3.5709668e-02
   1.3615300e-01 -5.8598109e-02 -3.4900957e-03  7.6470591e-02]
 [-3.9224245e-02  2.5127661e-01  9.6288699e-01  1.6523344e-02
  -7.0631772e-02 -3.8875815e-02  7.0857006e-04  3.7369061e-02]
 [ 4.5535225e-02  3.5345085e-02 -3.4667727e-02  9.8851013e-01
  -6.0963139e-02 -7.6916926e-02 -5.8975223e-02  7.2197892e-02]
 [-1.5238155e-02  1.0776255e-01 -1.0128710e-01 -6.6257961e-02
  -9.8340881e-01  6.9615529e-03  6.5322906e-02  4.5797281e-02]
 [ 3.9714236e-02  7.8171514e-02  2.1215279e-02  7.8867279e-02
   1.1057428e-02  9.9049103e-01  6.4888194e-02 -1.5382262e-02]
 [-4.3746550e-02 -1.2637252e-02  2.2870286e-03  6.1950937e-02
   5.9153747e-02 -6.8311408e-02  9.9261045e-01 -2.5344869e-02]
 [-4.5212559e-02 -9.8801687e-02 -9.2025967e-03 -6.0731728e-02
   4.2915180e-02  2.7895307e-02  2.5215352e-02  9.9053788e-01]]"
4,5,8,0.9,1.636214256286621,"[[ 9.76633370e-01  7.48095959e-02  1.80290580e-01  3.50469761e-02
  -6.60693198e-02  1.55940175e-03  4.95822653e-02 -5.62870922e-03]
 [ 8.28116536e-02 -9.80345309e-01 -6.46997541e-02  1.01839349e-01
   4.21100967e-02 -6.57802150e-02  5.93601726e-02 -8.87926966e-02]
 [-1.44304320e-01 -1.32582679e-01  8.92508268e-01 -3.50818336e-01
  -1.18059903e-01  3.09690908e-02 -9.82329920e-02  1.31934538e-01]
 [-1.01719044e-01  3.70309688e-02  2.86932498e-01  9.06826198e-01
  -2.47441053e-01  7.78071359e-02 -5.57235703e-02  1.15029670e-01]
 [ 1.74110550e-02  4.37611639e-02  2.08116472e-01  1.89553440e-01
   9.53739703e-01  8.13895017e-02 -3.50976698e-02 -3.26091200e-02]
 [ 1.17965424e-02 -6.49751201e-02 -6.63885549e-02 -6.79739416e-02
  -5.27612977e-02  9.90243435e-01  5.07324561e-02 -2.59128585e-02]
 [-7.40502849e-02  4.89765927e-02  1.10624321e-01  1.86385605e-02
   1.16056958e-02 -3.65995653e-02  9.88664210e-01  2.45301723e-02]
 [ 4.72558290e-02 -7.64308870e-02 -1.56366304e-01 -4.57700007e-02
   7.84763619e-02  1.05620371e-02  8.55711580e-04  9.79341149e-01]]"
5,6,9,0.9,1.639404296875,"[[ 0.8982807   0.24891016 -0.29532003 -0.11082146  0.02893839 -0.05118925
  -0.06846683  0.11875504  0.09691282]
 [ 0.22396444 -0.9607961  -0.08336665 -0.04532814 -0.08507413  0.04924207
  -0.06836305  0.0346232   0.04659981]
 [ 0.30943084  0.0101366   0.9300915  -0.08388411 -0.1381894   0.10859876
   0.02072123 -0.02087935 -0.01696345]
 [ 0.0969408   0.04245448 -0.06270922  0.7545599  -0.6391749   0.00138449
   0.03023519 -0.06232297 -0.04649967]
 [-0.08570649  0.072721   -0.14640349 -0.6376061  -0.72077763  0.02405305
   0.05440578 -0.14288196 -0.1261595 ]
 [ 0.02605923  0.04882205 -0.11489167  0.02656476  0.06574606  0.9768849
   0.03402344 -0.01162396 -0.15202725]
 [ 0.03650269 -0.04430194 -0.02488285 -0.0077885   0.01365977 -0.00223112
   0.96719795  0.13165134  0.20743573]
 [-0.14391208  0.03462858  0.03848073 -0.0366791  -0.17586857  0.05697487
  -0.14789473  0.9491567   0.1353397 ]
 [ 0.08785837 -0.04664513 -0.00997114  0.02476504  0.0965656  -0.15819483
   0.16683213  0.20395455 -0.94106936]]"
6,7,11,0.9,2.089246988296509,"[[ 9.81164753e-01  1.29366294e-01  7.79666528e-02 -3.07685323e-02
   7.27609098e-02 -4.78136167e-02  2.94589475e-02  4.46228608e-02
   1.73698850e-02 -5.10545783e-02  1.43833458e-02]
 [ 1.47087112e-01 -9.36577022e-01 -1.42550379e-01  2.46355566e-03
  -5.71389459e-02  2.64604832e-03 -5.32113062e-03  3.84619534e-02
   3.24938111e-02  1.23119339e-01 -2.44680256e-01]
 [-7.48522729e-02 -2.56923079e-01  8.01153898e-01 -2.84004420e-01
   1.38571098e-01 -1.63264796e-01  6.51851520e-02 -3.50732319e-02
   1.85672827e-02 -2.44722381e-01  3.07101279e-01]
 [ 6.38346979e-03  5.75947165e-02 -2.66320407e-01 -9.13415849e-01
  -2.68933177e-01 -5.55334054e-02 -1.83335431e-02 -1.04625277e-01
  -2.26821396e-02 -4.23738286e-02 -4.88398261e-02]
 [-5.10682613e-02 -4.45751995e-02 -3.10758889e-01 -1.68149516e-01
   9.18102980e-01 -1.04464784e-01  3.58974189e-02 -7.34141022e-02
   1.83125287e-02 -8.40200782e-02  5.15824668e-02]
 [ 1.99911240e-02  7.08204228e-03  1.83265567e-01 -1.56947136e-01
   1.59914702e-01  9.42958951e-01 -9.52472612e-02  2.87281778e-02
   2.57763807e-02  7.07361028e-02 -1.04984254e-01]
 [ 3.93760204e-03 -6.09836914e-02 -1.52677014e-01  2.25179382e-02
  -8.02486315e-02  1.77648231e-01  9.07779455e-01  2.17367150e-02
  -1.52842417e-01 -3.31698209e-02  2.92322367e-01]
 [ 4.52781022e-02  2.61539072e-02  1.50872692e-01  3.93136777e-02
   3.70505378e-02 -3.55880447e-02  7.20975772e-02 -8.48262072e-01
  -2.49115139e-01  4.07403201e-01 -1.32424027e-01]
 [-5.56380190e-02  1.50479630e-01  2.28642032e-01 -1.18717328e-01
   1.00184590e-01 -1.51529536e-01  3.39593291e-01  1.97289124e-01
   5.65290868e-01  4.53660071e-01 -4.41908777e-01]
 [ 1.24322511e-02 -3.51334997e-02 -1.24935381e-01  1.20017134e-01
  -1.09656028e-01  1.02199905e-01  5.07493578e-02 -4.67954218e-01
   6.78195417e-01 -5.14414728e-01 -7.78801041e-04]
 [-4.14008833e-02  8.02654624e-02  1.29268333e-01  2.45528314e-02
   3.94231379e-02 -4.06377651e-02  1.92346781e-01  1.45866312e-02
  -3.63127291e-01 -5.20557284e-01 -7.28884935e-01]]"
7,8,12,0.9,2.333954334259033,"[[ 9.29971933e-01  1.85584694e-01  2.69985050e-01 -3.25934291e-02
  -1.27115637e-01  1.01775592e-02  4.86973068e-03 -7.55846649e-02
  -3.74819376e-02  1.85031984e-02 -5.11722714e-02  1.97930653e-02]
 [ 1.77934512e-01 -9.76912081e-01  5.32317720e-02  5.58224916e-02
   7.27800047e-03 -5.52446290e-04 -2.95761209e-02 -2.88783722e-02
   2.00518668e-02 -3.81028317e-02 -5.88125885e-02  3.09476703e-02]
 [-1.38267621e-01  4.13634330e-02  7.15717554e-01  5.09891689e-01
   4.23252404e-01  1.10704720e-01  5.78012764e-02  2.56175529e-02
   1.86262149e-02  3.98085639e-02  5.81386350e-02  7.88850486e-02]
 [-2.10405424e-01 -5.81426285e-02  6.00585938e-01 -7.10865915e-01
  -2.42666140e-01  4.12649289e-02  9.98096839e-02  8.30056220e-02
  -8.82991124e-03 -2.72836350e-02  5.34607247e-02 -7.20641240e-02]
 [ 1.38032243e-01 -7.79122906e-03 -1.58556744e-01 -4.70395386e-01
   8.37534368e-01  1.05550423e-01 -3.52352783e-02 -5.72152138e-02
  -3.51381749e-02  1.08225591e-01  4.77000028e-02  4.61696759e-02]
 [-6.29814249e-03 -3.48081905e-03 -8.89043659e-02  2.45371256e-02
  -1.19451649e-01  9.74082530e-01  1.02691585e-02  5.23612313e-02
  -1.08094171e-01  7.81002734e-03 -1.17171399e-01 -3.87015077e-03]
 [ 2.00846866e-02 -2.00271867e-02 -9.53541324e-02  2.27208063e-02
   3.62438373e-02 -9.41648800e-03  9.78403389e-01 -1.53579399e-01
   2.29442716e-02 -6.42264336e-02 -4.61683795e-02 -2.32747309e-02]
 [ 8.86647478e-02 -3.70548815e-02 -6.94775954e-02  1.92709770e-02
  -2.50133947e-02 -3.39822844e-02  1.58542633e-01  8.17676306e-01
   9.11952481e-02  5.03638089e-01  1.20986581e-01  1.15976334e-01]
 [ 5.49878068e-02  3.18088531e-02 -1.70620084e-02 -2.67994106e-02
   3.89596447e-02  1.12258606e-01 -3.04415599e-02  7.20676556e-02
   9.45944905e-01 -2.69700885e-01  3.83466668e-02 -7.54597932e-02]
 [-3.85536700e-02 -3.83765511e-02  1.44401509e-02  1.95480436e-02
  -1.11704379e-01  6.11991696e-02 -2.03954000e-02 -4.88152504e-01
   2.24894881e-01  7.56561220e-01  2.49845311e-01 -2.36923844e-01]
 [-7.04851449e-02  3.70144174e-02  6.20908178e-02 -3.02271061e-02
   4.54547741e-02 -9.04173106e-02 -2.64507905e-02 -6.40397239e-03
   1.18702218e-01  2.61245519e-01 -9.43693578e-01 -7.08088055e-02]
 [-5.71632050e-02  2.02050358e-02 -8.67366325e-04 -7.56713673e-02
  -1.09660253e-01  1.39267016e-02  5.27030264e-04 -2.10196763e-01
   1.28555208e-01  1.13815039e-01 -2.14491095e-02  9.50923026e-01]]"
8,9,13,0.9,2.6964385509490967,"[[ 8.11249733e-01  3.84678751e-01  2.13546738e-01 -5.78465462e-02
  -5.73320594e-03 -9.20552984e-02 -1.30188704e-01 -2.05937952e-01
   9.91741642e-02  7.86326751e-02  2.11996198e-01  6.11693934e-02
  -1.11258894e-01]
 [ 3.45675021e-01 -9.14123893e-01  1.28906816e-01  3.43878707e-03
   8.31437260e-02 -1.44192455e-02  1.26986287e-03 -1.17789835e-01
   2.96320617e-02  3.41426618e-02  2.30390187e-02  4.64393198e-02
  -5.02921939e-02]
 [ 1.77474335e-01 -6.36925846e-02 -9.10648227e-01 -2.47011587e-01
  -1.73157141e-01 -1.99944191e-02 -4.87438105e-02 -1.97718269e-03
   4.29221876e-02  3.94165963e-02  1.33256450e-01 -5.01429569e-03
  -1.42160505e-01]
 [ 1.84578523e-01  1.02952356e-03 -1.88126147e-01  9.05442417e-01
  -2.36807406e-01 -8.03741738e-02  2.72097290e-02  1.19447082e-01
   1.69803575e-02 -1.20557964e-01 -1.25587568e-01 -5.03182597e-02
   6.31435681e-03]
 [ 7.64491931e-02  6.59534112e-02 -2.18558297e-01  1.52767137e-01
   9.42618668e-01 -6.94326265e-03 -3.16724181e-02  8.09457228e-02
   6.45733774e-02 -1.07572198e-01 -1.87605117e-02 -7.11074844e-02
   3.76413316e-02]
 [ 6.64387494e-02  2.02207062e-02 -7.56664993e-03  7.97709301e-02
  -1.13517623e-02  9.82697308e-01 -4.62378636e-02 -5.34928590e-03
   1.07320271e-01  3.73520665e-02  1.55586880e-02  5.30848131e-02
  -6.92394376e-02]
 [ 1.32082943e-02  5.81398308e-02 -5.08813523e-02  3.34744975e-02
   4.47539985e-02  1.07510341e-02  9.21519220e-01 -3.14950228e-01
   1.51092678e-01  1.04386881e-01  3.15366350e-02  8.62354189e-02
  -8.31964239e-03]
 [ 8.51030275e-02 -4.41058120e-03  1.05767846e-02  3.98067795e-02
   5.48991561e-02  6.18371693e-03  1.61560744e-01  5.67043781e-01
  -4.13542420e-01  3.24912697e-01  2.86541492e-01  5.27805567e-01
   5.54848611e-02]
 [-9.56877843e-02 -2.47061793e-02  4.41556275e-02  1.86109841e-02
  -2.10880209e-02 -1.07575059e-01 -7.67520368e-02  3.17585558e-01
   8.45322967e-01  3.75351846e-01  3.25427689e-02  1.09640300e-01
   2.50757113e-02]
 [ 2.15182137e-02  3.31470929e-02 -4.07138802e-02  5.87293804e-02
   7.08977208e-02 -4.49980330e-03 -6.94376230e-02 -1.39481097e-01
  -2.41048202e-01  7.82092690e-01 -4.53429967e-01 -2.50212461e-01
  -1.61337778e-01]
 [-2.85022687e-02  4.00552116e-02 -1.03355728e-01  8.33864510e-03
   2.81526465e-02 -3.59914005e-02 -1.86185047e-01 -3.54622275e-01
   5.73474132e-02 -6.15441129e-02 -4.62114900e-01  7.57251620e-01
   1.73968181e-01]
 [-9.33447778e-02  1.82588790e-02  8.93928632e-02 -9.37568431e-04
   4.33754474e-02 -5.99392951e-02  3.95119525e-02  1.18001759e-01
   2.85572149e-02 -1.81725502e-01 -1.41249865e-01  1.80109039e-01
  -9.35826480e-01]
 [ 3.46404314e-01  2.31629033e-02  1.73906460e-02 -2.82008976e-01
  -7.19182938e-02  4.56223078e-02  2.33567446e-01  4.92070615e-01
   2.90283095e-02 -2.40336522e-01 -6.30192995e-01 -1.30990520e-01
   1.50960773e-01]]"
9,10,14,0.9,2.4721643924713135,"[[ 9.26850438e-01 -1.42363355e-01 -3.59064564e-02 -2.02412367e-01
   7.63716027e-02  1.08895697e-01 -7.41924345e-02 -1.08377628e-01
  -1.13178641e-01 -2.51821820e-02  2.75224145e-03 -6.43859953e-02
   1.11073859e-01  1.16385408e-01]
 [ 6.64034709e-02  8.56604576e-01 -4.27390873e-01  2.48989761e-02
   1.86214209e-01  1.11921346e-02 -7.54916854e-03 -3.13785933e-02
  -8.72893929e-02 -4.40115593e-02 -4.07157093e-02  4.70593348e-02
   2.90776491e-02  1.68580592e-01]
 [ 1.76358998e-01 -1.48780331e-01 -2.39881977e-01  9.09870207e-01
  -6.53675944e-02 -1.06621265e-01 -5.01435585e-02  5.89701114e-03
  -1.15194857e-01 -1.16052426e-01  1.04963519e-01  1.06420210e-02
  -6.41396269e-02 -3.43810394e-02]
 [-1.41923368e-01 -4.05280918e-01 -8.11589241e-01 -2.75689483e-01
   8.12638253e-02 -2.62585163e-01  5.47741121e-03 -3.86361293e-02
  -3.47240232e-02  4.16051373e-02  1.36987874e-02 -9.98208579e-03
   2.02029701e-02  1.46141108e-02]
 [-6.67719394e-02 -1.25180677e-01  2.04290062e-01  9.48680043e-02
   9.31904554e-01 -1.91880047e-01  7.15316609e-02 -1.93282291e-02
  -7.45009407e-02 -1.71447324e-03 -1.94709301e-02  3.10652386e-02
   6.42503202e-02  8.57719406e-02]
 [-1.54721528e-01 -1.36791259e-01 -1.78002194e-01  1.64485835e-02
   1.92741290e-01  8.95538926e-01 -4.73335125e-02 -1.42152226e-02
  -2.19262093e-01 -8.28760713e-02  1.00585684e-01  4.88341376e-02
  -9.78182852e-02 -8.24452415e-02]
 [-5.68096712e-02  4.26757615e-03  4.86552380e-02 -5.29718362e-02
   4.23581228e-02 -9.32834074e-02 -9.63736236e-01  1.41198710e-01
  -1.07582040e-01  2.02889889e-02 -2.67289151e-02  1.04334630e-01
  -9.35638919e-02  4.54753498e-03]
 [-7.63729066e-02  2.32778210e-02  1.26120031e-01 -9.84649509e-02
  -1.02947406e-01 -1.89443216e-01  5.48551343e-02 -5.94827712e-01
  -6.59415662e-01 -1.29621014e-01  1.32071991e-02  1.11897089e-01
  -3.04754645e-01 -8.66396874e-02]
 [ 6.54217899e-02  9.82128270e-03  2.48410832e-02 -7.77754709e-02
  -4.76918407e-02 -9.60928500e-02  2.04330295e-01  7.55075037e-01
  -5.74685097e-01  8.29239339e-02 -6.22480735e-02  9.84710306e-02
  -7.17085227e-02 -9.85246599e-02]
 [ 2.41667056e-03  1.41831571e-02 -4.28417511e-03  1.14496261e-01
  -1.34548293e-02  6.49885163e-02 -5.53010870e-03 -1.50337145e-01
  -1.08126879e-01  9.66857851e-01  6.93857819e-02  1.27970045e-02
   2.39932705e-02  8.70035440e-02]
 [ 1.03910394e-01 -3.20031196e-02 -6.85294643e-02  6.56002760e-02
   4.66915071e-02  6.10354431e-02  3.99943888e-02 -5.40951230e-02
   1.64360195e-01  8.45500976e-02 -8.31813097e-01  3.29372197e-01
  -2.49406815e-01 -2.68294156e-01]
 [ 7.78743401e-02  2.10018065e-02 -1.77311953e-02 -3.94733511e-02
   8.80730376e-02 -1.70008615e-02  3.18549238e-02  1.12187080e-01
   1.70791969e-01  5.23120873e-02  7.08930194e-02 -4.54606742e-01
  -8.40575635e-01  1.40742704e-01]
 [-1.02303602e-01  1.78677384e-02 -4.78454586e-03  6.47758543e-02
  -7.53652351e-03  3.34710814e-02 -8.78335610e-02 -5.28227650e-02
  -2.32786164e-01 -5.55475053e-05 -4.17212635e-01 -7.97535658e-01
   3.03119004e-01 -1.30819231e-01]
 [-1.27369195e-01 -1.50163010e-01  4.96528223e-02  5.96071258e-02
  -1.34825066e-01  7.55435824e-02  2.50970069e-02  1.91689637e-02
  -1.12864919e-01 -8.10517073e-02 -3.09919089e-01  7.47904330e-02
   2.44719014e-02  8.99320602e-01]]"
