layer,level_from,level_to,G
0,1,2,0.9709943532943726
0,2,3,0.9596238560146756
0,3,4,0.9689213024245368
0,4,5,0.9800405065218608
0,5,6,0.9718206736776563
0,6,7,0.9723518914646573
0,7,8,0.9671261138386197
0,8,9,0.9572848015361362
0,9,10,0.97692199283176
1,1,2,0.9531292690171136
1,2,3,0.9384940425554912
1,3,4,0.9368838879797193
1,4,5,0.9425434430440267
1,5,6,0.9428917090098063
1,6,7,0.9427926235728794
1,7,8,0.9385470787684123
1,8,9,0.9280783904923333
1,9,10,0.9391252279281617
2,1,2,0.935010211997562
2,2,3,0.9242659078703986
2,3,4,0.9187842753198412
2,4,5,0.9177493135134379
2,5,6,0.9245123969184028
2,6,7,0.9195488095283508
2,7,8,0.9052626980675591
2,8,9,0.9087154560618931
2,9,10,0.9198603643311395
3,1,2,0.9056439161300659
3,2,3,0.8847941663530138
3,3,4,0.8968276368247138
3,4,5,0.9133591612180074
3,5,6,0.91702182425393
3,6,7,0.8943053576681349
3,7,8,0.8655016660690308
3,8,9,0.8871606455908881
3,9,10,0.8853839741812812
4,1,2,0.8936897079149883
4,2,3,0.9070478889677259
4,3,4,0.8977957275178697
4,4,5,0.8963722493913439
4,5,6,0.9054182476467556
4,6,7,0.8630687024858262
4,7,8,0.8585844000180562
4,8,9,0.8958504398663839
4,9,10,0.8858461896578471
5,1,2,0.8746513393190172
5,2,3,0.8981168005201552
5,3,4,0.8703146722581652
5,4,5,0.8780165115992228
5,5,6,0.8866118537055121
5,6,7,0.7902541359265646
5,7,8,0.8142778595288594
5,8,9,0.8889807846811083
5,9,10,0.8835858159595066
6,1,2,0.8470701681243049
6,2,3,0.8878900170326233
6,3,4,0.8506260381804572
6,4,5,0.8590727037853665
6,5,6,0.8566976560486688
6,6,7,0.7840032630496555
6,7,8,0.803702257739173
6,8,9,0.8700985272725423
6,9,10,0.8642373932732477
7,1,2,0.8270424776607089
7,2,3,0.8633486297395494
7,3,4,0.8370023979081048
7,4,5,0.8372813767857021
7,5,6,0.8472540100415548
7,6,7,0.8012344479560852
7,7,8,0.8268833425309923
7,8,9,0.848675897386339
7,9,10,0.816756546497345
8,1,2,0.8175560977723864
8,2,3,0.8576835950215658
8,3,4,0.8269257982571919
8,4,5,0.8220490707291497
8,5,6,0.8406771567132738
8,6,7,0.7893527613745795
8,7,8,0.8225717186927796
8,8,9,0.8283384031719632
8,9,10,0.8208107630411784
9,1,2,0.7610540972815619
9,2,3,0.8630505839983622
9,3,4,0.8228827900356717
9,4,5,0.788397553231981
9,5,6,0.8094916264216105
9,6,7,0.7378328575028313
9,7,8,0.7665514959229364
9,8,9,0.8003740509351095
9,9,10,0.7861242956585355
10,1,2,0.7466907368765937
10,2,3,0.8243411819140116
10,3,4,0.780263008011712
10,4,5,0.7517614934179518
10,5,6,0.7950542383723789
10,6,7,0.6934910363621182
10,7,8,0.7198266691631741
10,8,9,0.7513165791829427
10,9,10,0.7268885513146718
11,1,2,0.6634610417816375
11,2,3,0.9793258296118842
11,3,4,0.9678386847178141
11,4,5,0.6641717281606462
11,5,6,0.5367447116722663
11,6,7,0.5826374568872982
11,7,8,0.6046788964006636
11,8,9,0.7595076911979252
11,9,10,0.8209723088476393
