layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,5,,0.47072833776474,0.6154828667640686,[0.39967832 0.40808058 0.44104627 0.4893538  0.61548287],0
1,2,5,,0.5974900126457214,0.6871227025985718,[0.5045805  0.5569225  0.577273   0.66155124 0.6871227 ],0
2,3,5,,0.5876988172531128,0.7931395769119263,[0.48073566 0.5435962  0.55785525 0.56316745 0.7931396 ],0
3,4,5,,0.4773882031440735,0.5559598207473755,[0.3907462  0.4560905  0.4671157  0.51702857 0.5559598 ],0
4,5,5,,0.5019680261611938,0.6315716505050659,[0.43276346 0.45098406 0.48681042 0.5077104  0.63157165],0
5,6,5,,0.5313141942024231,0.7946051359176636,[0.42966527 0.44840237 0.47702745 0.5068707  0.79460514],0
6,7,5,,0.5163480043411255,0.6188643574714661,[0.42221802 0.47658655 0.5212729  0.54279804 0.61886436],0
7,8,5,,0.6124100089073181,0.8720665574073792,[0.45610228 0.52440304 0.56305546 0.6464228  0.87206656],0
8,9,5,,0.7206050157546997,1.032868504524231,[0.55539334 0.59752136 0.66421884 0.753023   1.0328685 ],0
9,10,5,,0.5979822874069214,0.8320252299308777,[0.4403058  0.47386253 0.53333867 0.7103793  0.83202523],0
10,11,5,,0.8414335250854492,1.3402063846588135,[0.4829623  0.57970524 0.82679456 0.977499   1.3402064 ],0
0,1,5,,0.459058940410614,0.6183778047561646,[0.38168824 0.40275383 0.42234585 0.4701292  0.6183778 ],1
1,2,5,,0.5950175523757935,0.6777641177177429,[0.4968336  0.55170965 0.5824627  0.6663176  0.6777641 ],1
2,3,5,,0.5853583216667175,0.7768599987030029,[0.491605  0.5339816 0.5535133 0.5708318 0.77686  ],1
3,4,5,,0.488442987203598,0.5539262294769287,[0.40489492 0.46038267 0.4894687  0.5335424  0.5539262 ],1
4,5,5,,0.5177854895591736,0.6905112266540527,[0.44287938 0.4608327  0.49041677 0.5042875  0.6905112 ],1
5,6,5,,0.552712619304657,0.8884715437889099,[0.44539988 0.4565104  0.48089957 0.49228176 0.88847154],1
6,7,5,,0.508280873298645,0.5761110186576843,[0.44373912 0.4780437  0.49375096 0.5497597  0.576111  ],1
7,8,5,,0.5981024503707886,0.843454897403717,[0.45709443 0.51626503 0.5709777  0.6027205  0.8434549 ],1
8,9,5,,0.7214478254318237,0.9856010675430298,[0.57427686 0.62856054 0.6469555  0.7718452  0.98560107],1
9,10,5,,0.6110826730728149,0.866591215133667,[0.4401675  0.48138604 0.5617901  0.70547855 0.8665912 ],1
10,11,5,,0.8418294787406921,1.3686275482177734,[0.46435046 0.6279055  0.766192   0.98207206 1.3686275 ],1
0,1,5,,0.46835312247276306,0.6166422963142395,[0.3921184  0.40387568 0.44134623 0.4877832  0.6166423 ],2
1,2,5,,0.5981077551841736,0.6882622241973877,[0.5074246  0.55965364 0.57981056 0.6553879  0.6882622 ],2
2,3,5,,0.5848898887634277,0.7850915789604187,[0.4795114  0.5369646  0.55809253 0.56478935 0.7850916 ],2
3,4,5,,0.4757182002067566,0.5582867860794067,[0.39021552 0.45335928 0.46473283 0.51199675 0.5582868 ],2
4,5,5,,0.5109639167785645,0.6527933478355408,[0.43400598 0.45257124 0.5017289  0.51372015 0.65279335],2
5,6,5,,0.5397210717201233,0.8333801627159119,[0.4281733  0.45217606 0.48074532 0.5041304  0.83338016],2
6,7,5,,0.5094995498657227,0.5810022950172424,[0.42626986 0.47731116 0.50899106 0.55392337 0.5810023 ],2
7,8,5,,0.6067574620246887,0.8551429510116577,[0.45058417 0.51138103 0.56857264 0.64810634 0.85514295],2
8,9,5,,0.7197102308273315,1.0199497938156128,[0.54586667 0.6062841  0.6623217  0.76412886 1.0199498 ],2
9,10,5,,0.6038070917129517,0.8628060817718506,[0.43747464 0.47474253 0.5407087  0.7033036  0.8628061 ],2
10,11,5,,0.8225164413452148,1.3579127788543701,[0.46806344 0.58345646 0.75156516 0.9515846  1.3579128 ],2
0,1,5,,0.4791027903556824,0.6072739362716675,[0.40934157 0.41872594 0.4576492  0.50252336 0.60727394],3
1,2,5,,0.6057187914848328,0.6927614808082581,[0.51333976 0.5682094  0.5844234  0.66986006 0.6927615 ],3
2,3,5,,0.5920445919036865,0.7970847487449646,[0.48850113 0.54421633 0.5624521  0.56796855 0.79708475],3
3,4,5,,0.4842044711112976,0.560120165348053,[0.40118963 0.46336606 0.47639266 0.5199539  0.56012017],3
4,5,5,,0.5022323727607727,0.6096848845481873,[0.43443114 0.46584472 0.48330182 0.5178993  0.6096849 ],3
5,6,5,,0.5313007235527039,0.774638831615448,[0.43698958 0.4512806  0.48163456 0.51196015 0.77463883],3
6,7,5,,0.5143789052963257,0.5856403708457947,[0.43131378 0.48040557 0.53019494 0.5443396  0.5856404 ],3
7,8,5,,0.6191719174385071,0.8825559616088867,[0.46699813 0.5331443  0.55594033 0.6572209  0.88255596],3
8,9,5,,0.71327143907547,1.0139728784561157,[0.56031555 0.60806465 0.65270895 0.73129517 1.0139729 ],3
9,10,5,,0.6022597551345825,0.8295212388038635,[0.44205344 0.49708351 0.5502441  0.69239646 0.82952124],3
10,11,5,,0.8820406198501587,1.3403422832489014,[0.5112792  0.58757913 0.9401973  1.0308052  1.3403423 ],3
0,1,5,,0.45390892028808594,0.6167231798171997,[0.3781271  0.3938857  0.41394916 0.46685937 0.6167232 ],4
1,2,5,,0.5913074016571045,0.6746786236763,[0.49298868 0.54726    0.57255626 0.66905355 0.6746786 ],4
2,3,5,,0.5771476626396179,0.7780345678329468,[0.47567675 0.5267208  0.54573244 0.5595736  0.77803457],4
3,4,5,,0.4792127013206482,0.5555354952812195,[0.3950537  0.45266092 0.478647   0.5141663  0.5555355 ],4
4,5,5,,0.49462026357650757,0.6448861956596375,[0.42620915 0.4462048  0.45824525 0.4975559  0.6448862 ],4
5,6,5,,0.5301734805107117,0.8107491731643677,[0.43532783 0.44943202 0.4681925  0.48716575 0.8107492 ],4
6,7,5,,0.5119736790657043,0.5762072801589966,[0.43191248 0.47521135 0.5118015  0.5647356  0.5762073 ],4
7,8,5,,0.6086598038673401,0.8793816566467285,[0.45731547 0.5287351  0.5597807  0.61808604 0.87938166],4
