layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,6,0.9,0.475085973739624,0.6281808018684387,[0.38284478 0.4074147  0.42541462 0.48248863 0.52417237 0.6281808 ],0
1,2,6,0.9,0.6042259335517883,0.7309888601303101,[0.49272677 0.5310062  0.5737749  0.6173846  0.6794744  0.73098886],0
2,3,7,0.9,0.5893707871437073,0.7900741696357727,"[0.4693208  0.4983865  0.51888174 0.5424364  0.6062098  0.7002864
 0.79007417]",0
3,4,7,0.9,0.47522759437561035,0.5754387378692627,"[0.38365772 0.4243992  0.43742302 0.48190624 0.5002588  0.5235095
 0.57543874]",0
4,5,7,0.9,0.5267022848129272,0.7206100821495056,"[0.42615825 0.43525177 0.46772552 0.50152636 0.5245904  0.6110536
 0.7206101 ]",0
5,6,8,0.9,0.5455461740493774,1.0089504718780518,"[0.4236708  0.42741644 0.46407542 0.4750108  0.48022574 0.5084931
 0.5765264  1.0089505 ]",0
6,7,8,0.9,0.517920196056366,0.7258213758468628,"[0.41565946 0.42872137 0.46650288 0.47257602 0.5226681  0.54909104
 0.56232107 0.7258214 ]",0
7,8,8,0.9,0.6168466210365295,0.9941895604133606,"[0.4410816  0.48674542 0.51067114 0.54909426 0.5879542  0.62449694
 0.7405399  0.99418956]",0
8,9,8,0.9,0.7025437355041504,1.0509752035140991,"[0.5199867  0.5386642  0.56553084 0.60241854 0.628052   0.76082724
 0.95389473 1.0509752 ]",0
9,10,7,0.9,0.6327496767044067,1.057334542274475,"[0.3901994  0.45421764 0.46672243 0.5139257  0.73563814 0.8112102
 1.0573345 ]",0
10,11,6,0.9,0.7699725031852722,1.3299075365066528,[0.42038578 0.46446478 0.59026897 0.8497126  0.96509534 1.3299075 ],0
0,1,6,0.9,0.46281877160072327,0.6269161701202393,[0.36367086 0.40215865 0.40769246 0.46163774 0.5148367  0.62691617],1
1,2,6,0.9,0.6037431359291077,0.7347331047058105,[0.49465084 0.5262149  0.58013195 0.61698914 0.6697387  0.7347331 ],1
2,3,6,0.9,0.595643162727356,0.7686260342597961,[0.48466644 0.50852424 0.5400727  0.56851584 0.7034537  0.76862603],1
3,4,7,0.9,0.483013778924942,0.5821717381477356,"[0.39828917 0.43114808 0.4628975  0.4798596  0.504678   0.5220522
 0.58217174]",1
4,5,7,0.9,0.5360627770423889,0.7577364444732666,"[0.42414826 0.44880065 0.4830818  0.49982432 0.53195035 0.6068974
 0.75773644]",1
5,6,7,0.9,0.541398823261261,0.8712093234062195,"[0.4386464  0.4498552  0.46992692 0.484236   0.49742514 0.5784925
 0.8712093 ]",1
6,7,7,0.9,0.5174582600593567,0.6733903288841248,"[0.43022996 0.4413221  0.47541767 0.4895663  0.53159326 0.5806883
 0.6733903 ]",1
7,8,7,0.9,0.5934892296791077,0.8450191020965576,"[0.4501309  0.4893613  0.54216397 0.57624054 0.5879239  0.66358507
 0.8450191 ]",1
8,9,7,0.9,0.7365052103996277,1.0010348558425903,"[0.5599284  0.5814484  0.64275247 0.71349436 0.76686925 0.8900091
 1.0010349 ]",1
9,10,6,0.9,0.5954818725585938,0.9327152967453003,[0.41470647 0.45935234 0.48553488 0.52275145 0.75783086 0.9327153 ],1
10,11,6,0.9,0.7756557464599609,1.3625980615615845,[0.4090349  0.47090334 0.62841344 0.8361347  0.9468501  1.3625981 ],1
0,1,6,0.9,0.4729181230068207,0.6252752542495728,[0.37360263 0.40364614 0.4254649  0.48288414 0.52663565 0.62527525],2
1,2,6,0.9,0.6056568026542664,0.7350753545761108,[0.49531674 0.534497   0.57821697 0.6119058  0.67892855 0.73507535],2
2,3,6,0.9,0.5932633876800537,0.7798933982849121,[0.47133037 0.5105859  0.5351166  0.5638941  0.6987601  0.7798934 ],2
3,4,7,0.9,0.4755539894104004,0.5819348096847534,"[0.38354543 0.42575592 0.43874604 0.47563967 0.4998625  0.5233935
 0.5819348 ]",2
4,5,7,0.9,0.5370262265205383,0.7882413268089294,"[0.42209262 0.4383721  0.47867352 0.50418174 0.5245266  0.60309553
 0.7882413 ]",2
5,6,7,0.9,0.5285018086433411,0.8298088908195496,"[0.42102882 0.4387355  0.4698453  0.47784117 0.49306044 0.56919247
 0.8298089 ]",2
6,7,8,0.9,0.5147221684455872,0.7008934617042542,"[0.4205251  0.43379954 0.46483853 0.47660837 0.51048976 0.5435056
 0.5671169  0.70089346]",2
7,8,8,0.9,0.6037566661834717,0.9282299280166626,"[0.43992317 0.4802717  0.5076658  0.5366396  0.59118813 0.6239757
 0.72215956 0.9282299 ]",2
8,9,8,0.9,0.6976420879364014,1.0202549695968628,"[0.5182809  0.53398246 0.5644938  0.59119266 0.633847   0.7466679
 0.9724173  1.020255  ]",2
9,10,7,0.9,0.6112031936645508,0.9879179000854492,"[0.38504815 0.44930714 0.46934834 0.5153199  0.7077418  0.7637394
 0.9879179 ]",2
10,11,7,0.9,0.7487653493881226,1.4425252676010132,"[0.41638878 0.4449629  0.52051747 0.6297285  0.7860739  1.0011603
 1.4425253 ]",2
0,1,6,0.9,0.48336711525917053,0.6186731457710266,[0.39527652 0.41512004 0.44002157 0.4921848  0.5389268  0.61867315],3
1,2,6,0.9,0.6139007210731506,0.7387058138847351,[0.5026044  0.54355633 0.58028096 0.6280279  0.6902288  0.7387058 ],3
2,3,6,0.9,0.600192129611969,0.7912185192108154,[0.4801833  0.52010256 0.545948   0.5671252  0.6965751  0.7912185 ],3
3,4,7,0.9,0.48386144638061523,0.5778528451919556,"[0.39548233 0.43193683 0.4470935  0.49527648 0.50594056 0.5334475
 0.57785285]",3
4,5,7,0.9,0.5241662859916687,0.6615812182426453,"[0.43208432 0.4421759  0.4722889  0.51208156 0.5318832  0.617069
 0.6615812 ]",3
5,6,7,0.9,0.5234651565551758,0.7491207122802734,"[0.43166068 0.43910146 0.47876513 0.4884314  0.4973121  0.57986486
 0.7491207 ]",3
6,7,8,0.9,0.5212535262107849,0.6804163455963135,"[0.42149237 0.4361765  0.46741408 0.4925739  0.5400322  0.56237906
 0.5695437  0.68041635]",3
7,8,8,0.9,0.6189319491386414,0.9364867210388184,"[0.44905746 0.4934497  0.52066666 0.5516257  0.59897    0.6279523
 0.77324706 0.9364867 ]",3
8,9,8,0.9,0.7069392204284668,1.0568772554397583,"[0.5231232  0.54597604 0.5789279  0.61356354 0.64250463 0.77672064
 0.9178209  1.0568773 ]",3
9,10,6,0.9,0.5932358503341675,0.8887994289398193,[0.40579715 0.4821923  0.49391735 0.51942134 0.76928747 0.8887994 ],3
10,11,6,0.9,0.7884812355041504,1.2963210344314575,[0.4147763  0.48852134 0.5886008  0.81555897 1.1271089  1.296321  ],3
0,1,6,0.9,0.45830821990966797,0.6315535306930542,[0.35862753 0.39068878 0.40657932 0.46000904 0.50239104 0.63155353],4
1,2,7,0.9,0.5965100526809692,0.7347239851951599,"[0.4856461  0.517972   0.5676017  0.58603024 0.6007639  0.6828329
 0.734724  ]",4
2,3,7,0.9,0.5821523666381836,0.781019389629364,"[0.4640991  0.49381587 0.5139772  0.5274871  0.60131127 0.69335705
 0.7810194 ]",4
3,4,7,0.9,0.4785534739494324,0.5720586180686951,"[0.38369083 0.4307841  0.455552   0.4812838  0.50511533 0.52138954
 0.5720586 ]",4
4,5,7,0.9,0.5235033631324768,0.733737051486969,"[0.42056832 0.4338961  0.44749698 0.4904012  0.5321441  0.6062798
 0.73373705]",4
5,6,8,0.9,0.5539044737815857,1.0256249904632568,"[0.4305254  0.4321354  0.46301535 0.46996772 0.49285603 0.52200717
 0.5951036  1.025625  ]",4
6,7,9,0.9,0.5479282140731812,0.8727715611457825,"[0.41915217 0.42172468 0.4390577  0.45952535 0.48633814 0.53921574
 0.56851083 0.72505766 0.87277156]",4
7,8,9,0.9,0.6592535972595215,1.098813533782959,"[0.44169885 0.48629043 0.5068976  0.54931563 0.6015012  0.6254673
 0.69572717 0.92757076 1.0988135 ]",4
8,9,9,0.9,0.7580839991569519,1.37754225730896,"[0.5088554  0.55166095 0.58247054 0.6027104  0.65430814 0.7528179
 0.81814224 0.97424775 1.3775423 ]",4
9,10,7,0.9,0.6171197891235352,0.9222298860549927,"[0.3819255  0.46355098 0.47376627 0.5298305  0.7458824  0.8026532
 0.9222299 ]",4
10,11,6,0.9,0.7755720019340515,1.3449150323867798,[0.39529726 0.47011524 0.6288791  0.78979516 1.0244304  1.344915  ],4
0,1,6,0.9,0.46042391657829285,0.6190325617790222,[0.36872447 0.39508933 0.4110425  0.46351022 0.5051444  0.61903256],5
1,2,6,0.9,0.609624445438385,0.7375892996788025,[0.5008301  0.53783756 0.5817013  0.619446   0.68034226 0.7375893 ],5
2,3,6,0.9,0.5946462154388428,0.7711591124534607,[0.48183307 0.5125266  0.53494465 0.56765825 0.69975555 0.7711591 ],5
3,4,7,0.9,0.4753181040287018,0.5719350576400757,"[0.38911074 0.4288005  0.44449973 0.47674918 0.49840894 0.51772225
 0.57193506]",5
4,5,7,0.9,0.536347508430481,0.7825764417648315,"[0.41703454 0.4491165  0.4877598  0.498441   0.5243061  0.59519845
 0.78257644]",5
5,6,7,0.9,0.5314187407493591,0.8159375190734863,"[0.43420947 0.44121966 0.47654313 0.48002663 0.500784   0.5712109
 0.8159375 ]",5
6,7,8,0.9,0.6401551365852356,1.5690088272094727,"[0.421712   0.42725867 0.4649563  0.4741314  0.5129747  0.5526298
 0.6985693  1.5690088 ]",5
