layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
0,90,0.2433793991804123,0.22613856196403503,0.19961117208003998,0.11813221126794815,0.08087612688541412,0.05438599735498428,0.034630682319402695,0.01890624314546585,0.008378636091947556,0.0026606181636452675,5,6,7,0
1,90,0.28803491592407227,0.20615634322166443,0.17965026199817657,0.10711254924535751,0.07220127433538437,0.05237332358956337,0.02841779962182045,0.015811432152986526,0.009710906073451042,0.004282103385776281,5,6,9,0
2,90,0.26115769147872925,0.22205473482608795,0.17491291463375092,0.10982128232717514,0.07433145493268967,0.05645596235990524,0.026921091601252556,0.01599263772368431,0.007104204036295414,0.005951638799160719,6,7,10,0
3,90,0.26281407475471497,0.2221885621547699,0.16291315853595734,0.10751041769981384,0.07041241973638535,0.058602720499038696,0.023317353799939156,0.015893371775746346,0.011701827868819237,0.007146171759814024,6,7,12,0
4,90,0.25648269057273865,0.22059762477874756,0.17270028591156006,0.10586081445217133,0.0736398994922638,0.05853893235325813,0.02425215393304825,0.016487786546349525,0.007806028239428997,0.006733854301273823,6,7,12,0
5,90,0.2439332902431488,0.21917931735515594,0.16474613547325134,0.11015637964010239,0.07780848443508148,0.05972732603549957,0.02370920591056347,0.017797503620386124,0.010972188785672188,0.007069213781505823,6,8,13,0
6,90,0.25174033641815186,0.20883172750473022,0.1577465981245041,0.1067127212882042,0.08036478608846664,0.060413140803575516,0.02346888929605484,0.01636379584670067,0.009845379739999771,0.009027577005326748,6,8,15,0
7,90,0.2833215892314911,0.20341435074806213,0.14812178909778595,0.10624107718467712,0.07030877470970154,0.051242195069789886,0.02322874404489994,0.015379791148006916,0.011520647443830967,0.011069264262914658,6,8,15,0
8,90,0.31416502594947815,0.20894935727119446,0.13085204362869263,0.08934200555086136,0.0700569674372673,0.047285258769989014,0.019662460312247276,0.016589410603046417,0.011160246096551418,0.00972834788262844,6,9,16,0
9,90,0.3080117106437683,0.27716100215911865,0.10981535166501999,0.07279814034700394,0.05881905183196068,0.04092668741941452,0.01830385811626911,0.015257474966347218,0.010630769655108452,0.00930175930261612,6,8,15,0
