layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,5,,1.0559303760528564,"[[ 0.8887622  -0.3365274  -0.29697382  0.08398484 -0.04005157]
 [-0.32666215 -0.9403378   0.07617401 -0.01552902  0.0548929 ]
 [ 0.30269206 -0.03006075  0.9517996   0.02948042 -0.02611997]
 [-0.08353568  0.0176642  -0.00120321  0.99246114  0.0879162 ]
 [ 0.06923068  0.03603679  0.00894959 -0.08280844  0.99346423]]",0
1,2,5,,1.3233810663223267,"[[ 0.9635847   0.09393313  0.24092132 -0.04752722  0.04877598]
 [-0.13611782  0.9714689   0.17681678  0.07768299  0.02052291]
 [-0.22210275 -0.20051052  0.95250976 -0.05405233  0.0164128 ]
 [ 0.04210049 -0.08342013  0.04752563  0.9925938   0.06137944]
 [-0.04329324 -0.01616316 -0.03404699 -0.05951763  0.99657565]]",0
2,3,5,,1.312949538230896,"[[ 9.82399523e-01  8.91571108e-04  1.83401957e-01  3.38793769e-02
  -1.03077265e-02]
 [-1.28478231e-02 -9.87756789e-01  5.88199385e-02  1.08790569e-01
   9.42141339e-02]
 [-1.83337390e-01  6.99494705e-02  9.78285491e-01  3.57061289e-02
   5.63651659e-02]
 [-2.10743137e-02  1.20770246e-01 -5.81680946e-02  9.75494385e-01
   1.73198134e-01]
 [ 2.58718431e-02  6.96948096e-02 -4.97783646e-02 -1.84804156e-01
   9.78694439e-01]]",0
3,4,5,,1.0639899969100952,"[[ 0.9773745   0.19831914 -0.06545909 -0.01441528 -0.03026405]
 [ 0.20593506 -0.9571023   0.13915858  0.1487701   0.00694391]
 [-0.03590442 -0.15070009 -0.98783374  0.00478892 -0.01272464]
 [-0.01323977  0.14790222 -0.0187959   0.9820836   0.11449072]
 [-0.02941843  0.0062477   0.01346136  0.11466684 -0.9928574 ]]",0
4,5,5,,1.120162010192871,"[[-0.9890526   0.04716881  0.08814603 -0.08892403  0.06223411]
 [ 0.04025155  0.9976581  -0.01800139  0.04488644 -0.0268223 ]
 [ 0.09046446  0.01461042  0.9935447   0.02868921  0.06040244]
 [-0.08865803 -0.039534   -0.02446232  0.99226356  0.07342659]
 [ 0.06411657  0.02602232 -0.06462689 -0.06832065  0.9931604 ]]",0
5,6,5,,1.205450415611267,"[[ 0.84369934  0.5319033   0.05711304  0.04249346  0.01351658]
 [ 0.5342583  -0.8419139  -0.01966569 -0.05721423  0.04570351]
 [-0.03927572 -0.05448121  0.98984116  0.12093888  0.0328248 ]
 [-0.00200994 -0.06336308 -0.12577103  0.9892032   0.04049349]
 [-0.03453706  0.03573229 -0.02733994 -0.04209068  0.9975025 ]]",0
6,7,5,,1.150007963180542,"[[ 0.944128    0.31398785 -0.06832881  0.06263135 -0.03798037]
 [-0.32190758  0.9335514  -0.15760396 -0.0018746  -0.00386231]
 [ 0.01544583  0.1707916   0.97658783  0.04924336  0.12017933]
 [-0.06403515 -0.02565225 -0.03007551  0.9903123  -0.11669783]
 [ 0.02566765 -0.00810866 -0.12595221  0.11371166  0.98513   ]]",0
7,8,5,,1.378029465675354,"[[ 0.97400314 -0.19572389  0.10882001  0.02711803  0.02080628]
 [-0.19378504 -0.9705493   0.0323751  -0.10051427 -0.09659296]
 [-0.09184495  0.06838421  0.984473   -0.12648311 -0.04127   ]
 [-0.06457103 -0.09783169  0.13189594  0.97380555  0.14340755]
 [-0.03406415 -0.07401907  0.0229479  -0.15769036  0.9838537 ]]",0
8,9,5,,1.6088457107543945,"[[-0.16086656  0.9677164  -0.15938656 -0.03835967 -0.10378547]
 [ 0.9253652   0.17550755  0.26039064  0.03270276 -0.2098177 ]
 [-0.25614327  0.13042946  0.88232666  0.34965476  0.12891905]
 [ 0.09699672  0.0082207  -0.357017    0.9191714   0.1348586 ]
 [ 0.20688963  0.12507084 -0.02883132 -0.17413954  0.9541479 ]]",0
9,10,5,,1.3512636423110962,"[[ 0.83298695 -0.48156446  0.19714871  0.14301278  0.12209943]
 [ 0.52285075  0.8353427  -0.006875   -0.12798697 -0.11136281]
 [-0.16259128  0.09882896  0.979785   -0.02135946 -0.05798361]
 [-0.04115289  0.13436885 -0.01603645  0.9504925  -0.27669188]
 [ 0.06804718 -0.2060973  -0.02914381 -0.24346365 -0.9448648 ]]",0
10,11,5,,1.9041353464126587,"[[ 0.63916314  0.14782612 -0.749271    0.07347659  0.05302977]
 [ 0.26569298  0.81513524  0.37663308  0.1258736  -0.3275136 ]
 [-0.5698745   0.55246866 -0.38347313 -0.31715402  0.34983295]
 [-0.3992892   0.03196908 -0.26729408  0.84668493 -0.22632875]
 [-0.19154358 -0.08636161 -0.27971908 -0.4016156  -0.84635395]]",0
0,1,5,,1.0329750776290894,"[[ 0.92401797 -0.17395039 -0.32582408  0.09276212 -0.03414518]
 [ 0.21019891  0.97165984  0.08983491  0.02338812 -0.05546413]
 [ 0.29591617 -0.15409799  0.9405469   0.05546802 -0.03134215]
 [-0.10128217  0.00665107 -0.02149616  0.9879933   0.11447654]
 [ 0.0646738   0.04275519  0.02603658 -0.10789236  0.9907929 ]]",1
1,2,5,,1.3183963298797607,"[[ 0.96515155  0.00849738 -0.25550318 -0.04361393  0.03501653]
 [-0.0251647   0.99196357 -0.07712939  0.09653594  0.01034202]
 [-0.25784317 -0.07561561 -0.9603745  -0.06188253  0.04062611]
 [ 0.02677867 -0.10107986 -0.0593568   0.9890779   0.08524973]
 [-0.02547459  0.00113837  0.05409891 -0.08169555  0.9948612 ]]",1
2,3,5,,1.3056676387786865,"[[ 9.87538218e-01 -2.12574881e-02  1.53295606e-01  2.77333353e-02
  -6.90769125e-03]
 [ 1.91887692e-02  9.93279934e-01  6.02399989e-04  9.16697457e-02
   6.79921508e-02]
 [ 1.54214114e-01  6.36277767e-03 -9.85028625e-01 -5.50364219e-02
  -5.35449460e-02]
 [-1.83860864e-02 -1.00291364e-01 -6.63888380e-02  9.81541574e-01
   1.47554502e-01]
 [ 1.67343281e-02 -5.33303097e-02 -4.25577052e-02 -1.56124085e-01
   9.85235989e-01]]",1
3,4,5,,1.0871206521987915,"[[ 0.97541916  0.20328192 -0.07718249 -0.02863284  0.02137748]
 [-0.21275525  0.96182233 -0.10014051 -0.13938382  0.01330751]
 [-0.05471911 -0.11812564 -0.9911742  -0.01781953  0.01755918]
 [-0.0012827   0.14002518 -0.03578766  0.9861493  -0.08136425]
 [-0.01722957 -0.00369183  0.01754147  0.08333281  0.9962115 ]]",1
4,5,5,,1.159501314163208,"[[ 0.98950106 -0.01228714  0.09002407 -0.02698104 -0.10910732]
 [ 0.02303612  0.99694586 -0.04994037  0.0258629   0.04904388]
 [-0.09412961  0.05407821  0.9933205  -0.01220688 -0.03715312]
 [ 0.03232538 -0.02887632  0.01934875  0.99669623  0.06590547]
 [ 0.10223364 -0.04679353  0.04838847 -0.07106899  0.98993254]]",1
5,6,5,,1.2661209106445312,"[[-0.7913546  -0.5995966  -0.03488123 -0.10613287 -0.0419617 ]
 [ 0.60411644 -0.7932836  -0.01176127 -0.04313461  0.06120097]
 [-0.03647198 -0.0462587   0.9786598   0.18144564  0.0763704 ]
 [-0.06833934 -0.08200461 -0.2001131   0.9442396   0.23868625]
 [ 0.05292156 -0.04817018  0.02871846  0.24972805 -0.965241  ]]",1
6,7,5,,1.1288501024246216,"[[ 0.9022072   0.42448488 -0.01213157  0.07380234 -0.01551673]
 [-0.4201585   0.9011469  -0.05475678 -0.06857918 -0.06082429]
 [-0.01176938  0.06042185  0.99249476 -0.01863564  0.10400737]
 [-0.09261116  0.02113579  0.03500319  0.9781634  -0.1815143 ]
 [-0.02781424  0.06040888 -0.10287582  0.18082877  0.9758559 ]]",1
7,8,5,,1.3438279628753662,"[[ 0.98399186 -0.15202251  0.08352412  0.02689751  0.0308143 ]
 [-0.14267413 -0.98426473 -0.0759904  -0.03940678 -0.05949415]
 [-0.0894626  -0.05766039  0.9904046  -0.07440884 -0.04726489]
 [-0.03397006 -0.0327394   0.06395815  0.99024016 -0.11448987]
 [-0.04739934 -0.06095457  0.04751266  0.10775602  0.9900349 ]]",1
8,9,5,,1.6028913259506226,"[[ 0.8088538  -0.5404881  -0.16933098  0.04196698 -0.15229544]
 [-0.48279944 -0.7620033   0.35212806  0.12159576 -0.21788983]
 [ 0.33047032  0.18931209  0.88625777  0.21222815  0.15638617]
 [-0.05836755 -0.08251461 -0.24572833  0.8328458   0.48556146]
 [-0.00654329 -0.29081923  0.03869808 -0.4947527   0.8179875 ]]",1
9,10,5,,1.381256103515625,"[[ 0.11490477  0.9523849  -0.14175543 -0.15477039 -0.18897453]
 [ 0.9723954  -0.15025039 -0.17629881 -0.00840531 -0.02683499]
 [ 0.18892989  0.10021423  0.97201765 -0.01638096 -0.09579078]
 [ 0.0227242   0.13026905 -0.01357182  0.98324233 -0.12475529]
 [-0.07094514 -0.20826636 -0.06181862 -0.09456015 -0.96893173]]",1
10,11,5,,1.9078669548034668,"[[-0.7600565  -0.17980509  0.60791755 -0.09890258  0.10314435]
 [ 0.1705429   0.82218087  0.5011672   0.06930318 -0.1973885 ]
 [-0.50272095  0.5331638  -0.56116784 -0.28095037  0.26299348]
 [-0.30768773  0.0667048  -0.1903497   0.9178418  -0.14903714]
 [-0.21407735 -0.054549   -0.16770607 -0.25307825 -0.92683405]]",1
0,1,5,,1.0516414642333984,"[[ 0.91676015 -0.2616896  -0.28593925  0.08619367 -0.04334553]
 [ 0.2752455   0.95928663  0.01987378  0.02291038 -0.05558084]
 [ 0.26692516 -0.09870733  0.9578947   0.02431272 -0.02923052]
 [-0.08639026  0.00635652  0.00234592  0.9920148   0.09163663]
 [ 0.07126319  0.03878386  0.01661375 -0.08579692  0.9928647 ]]",2
1,2,5,,1.3242597579956055,"[[ 0.9675245   0.06448141  0.23587954 -0.04517983  0.0453654 ]
 [-0.09426652  0.98321486  0.13091567  0.08377353  0.01566396]
 [-0.22841728 -0.14532657  0.96057993 -0.05744107  0.02631593]
 [ 0.03666737 -0.08900184  0.05303079  0.99230695  0.05699852]
 [-0.03861531 -0.00945851 -0.04118143 -0.0544814   0.9968727 ]]",2
2,3,5,,1.3063092231750488,"[[ 0.9860496   0.02195798  0.16304561  0.02400205 -0.00800281]
 [ 0.01192624 -0.9893215   0.04941164  0.10754376  0.08422364]
 [-0.16448082  0.05607803  0.98260236  0.0464773   0.0461925 ]
 [-0.01455717  0.11716475 -0.06323454  0.97656775  0.16845593]
 [ 0.01726505  0.06235826 -0.03832211 -0.17892344  0.9809848 ]]",2
3,4,5,,1.0604878664016724,"[[ 9.65594471e-01  2.46474043e-01 -7.63386190e-02 -1.96416359e-02
  -2.57766657e-02]
 [ 2.55387604e-01 -9.45661187e-01  1.35155797e-01  1.48713887e-01
   1.09170405e-02]
 [-3.96515690e-02 -1.51565284e-01 -9.87575948e-01  2.71587423e-03
  -1.19253937e-02]
 [-1.66716240e-02  1.48333058e-01 -2.06740592e-02  9.82869029e-01
   1.06114984e-01]
 [-2.35418659e-02  8.76070990e-04  1.31067671e-02  1.07048780e-01
  -9.93888199e-01]]",2
4,5,5,,1.1413320302963257,"[[-0.9800417  -0.12081546  0.11100677 -0.07740551  0.08128796]
 [ 0.11387503 -0.9920308  -0.02816522  0.03547003 -0.02925752]
 [ 0.11473692 -0.01501646  0.9927773   0.02014468  0.02444492]
 [-0.07694121  0.02490813 -0.01270212  0.993951    0.07320888]
 [ 0.0864071  -0.02079996 -0.03341097 -0.0663755   0.99326694]]",2
5,6,5,,1.229758620262146,"[[ 0.8736598   0.47540691  0.08341265  0.037998    0.04801308]
 [-0.47751147  0.87612045  0.00901506  0.05065253 -0.04181772]
 [-0.07305826 -0.05431053  0.98676443  0.12170757  0.05653469]
 [-0.00284559 -0.05552414 -0.12760803  0.98944926  0.04019071]
 [-0.0579282   0.0191989  -0.05452791 -0.04656043  0.9955574 ]]",2
6,7,5,,1.1328153610229492,"[[ 9.4674379e-01  3.0923134e-01 -4.8208784e-02  6.7013368e-02
  -3.5175577e-02]
 [-3.1210229e-01  9.4217938e-01 -1.1912501e-01 -2.6148465e-02
  -3.9495523e-03]
 [ 8.5103251e-03  1.2910312e-01  9.8440826e-01  4.9175605e-02
   1.0854528e-01]
 [-7.4752808e-02 -2.4856841e-03 -3.8641334e-02  9.9234855e-01
  -9.0316147e-02]
 [ 2.4657140e-02  3.6442321e-04 -1.1372052e-01  8.7473176e-02
   9.8934722e-01]]",2
7,8,5,,1.3650864362716675,"[[ 0.9841116  -0.13730977  0.10506862  0.02761282  0.02946896]
 [-0.1313951  -0.9835904  -0.00730074 -0.0869451  -0.08759256]
 [-0.09738387  0.02113717  0.9866495  -0.11357475 -0.06077073]
 [-0.05558683 -0.08960912  0.11595441  0.9820235   0.10518961]
 [-0.04106206 -0.07224492  0.0445485  -0.12003675  0.9882819 ]]",2
8,9,5,,1.605984091758728,"[[ 0.5853373   0.78267    -0.16082367 -0.06799009 -0.11967077]
 [-0.74146307  0.575198    0.26339257  0.00832811 -0.2234611 ]
 [ 0.2902961   0.01212283  0.87471455  0.37111315  0.11283027]
 [-0.08202606  0.07383146 -0.3716406   0.919939    0.05844868]
 [-0.12889041  0.22578081 -0.03895928 -0.1062795   0.95895624]]",2
9,10,5,,1.3670434951782227,"[[-0.48370928  0.81681925 -0.18996847 -0.18175332  0.17236412]
 [ 0.8527745   0.5051054   0.10366112 -0.03768916  0.07401409]
 [-0.18573503  0.10420025  0.9746342   0.00863407  0.06825367]
 [-0.04429036  0.11441394 -0.04882636  0.9503417   0.28180546]
 [ 0.04839236 -0.2317901  -0.02950686 -0.24964218  0.93847734]]",2
