layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,6,0.9,1.1685045957565308,"[[ 8.8592225e-01 -3.3747652e-01 -2.9797691e-01  8.4322117e-02
  -3.8851738e-02  6.1978441e-02]
 [-3.2432541e-01 -9.3955159e-01  7.7009410e-02 -1.5787289e-02
   5.3945735e-02 -5.4460246e-02]
 [ 3.0052766e-01 -3.0789014e-02  9.5102340e-01  2.9718528e-02
  -2.5240399e-02  5.2626390e-02]
 [-8.1317402e-02  1.8382076e-02 -4.6241813e-04  9.9210978e-01
   8.6790055e-02 -3.5145205e-02]
 [ 7.3071986e-02  3.7268348e-02  1.0214069e-02 -8.3460286e-02
   9.9141461e-01 -5.7433445e-02]
 [-8.7668471e-02 -2.6029468e-02 -2.7007690e-02  2.2584476e-02
   6.7140177e-02  9.9291968e-01]]",0
1,2,6,0.9,1.4690032005310059,"[[ 0.9633116   0.09355418  0.23942955 -0.04786047  0.05390439 -0.02748998]
 [-0.13585709  0.9714251   0.17698607  0.07783537  0.02042004 -0.00875533]
 [-0.22186297 -0.2008403   0.9517653  -0.05402969  0.01975897 -0.0356818 ]
 [ 0.04189283 -0.08361601  0.04667828  0.99237794  0.0641821  -0.01188142]
 [-0.04485942 -0.01507998 -0.03251142 -0.06010071  0.9874337   0.13440926]
 [ 0.02414928  0.00499503  0.04750155  0.01748542 -0.13092862  0.98979163]]",0
2,3,7,0.9,1.5586388111114502,"[[ 9.8034871e-01  2.2747626e-03  1.8493095e-01  3.5735119e-02
  -8.0580311e-03 -1.5996879e-02 -5.5802207e-02]
 [-1.3101041e-02 -9.8676252e-01  6.0007673e-02  1.1044513e-01
   9.5730066e-02 -3.3771895e-02 -4.9354448e-03]
 [-1.8398319e-01  6.9583029e-02  9.7712761e-01  3.5045426e-02
   5.5774383e-02  4.5707442e-02  1.0097629e-02]
 [-2.0319251e-02  1.1458783e-01 -6.3298792e-02  9.6400946e-01
   1.6251566e-01  1.6279809e-01 -1.4874549e-02]
 [ 2.6045559e-02  6.4795509e-02 -5.3444523e-02 -1.9424523e-01
   9.6978164e-01  1.1761303e-01 -1.5048826e-02]
 [ 2.7631782e-02 -6.4209580e-02 -2.3624301e-02 -1.3335115e-01
  -1.4193334e-01  9.7624552e-01  5.9771150e-02]
 [ 5.5137403e-02  1.0755272e-03  4.1679415e-04  2.1650637e-02
   2.5045678e-02 -5.5883940e-02  9.9636310e-01]]",0
3,4,7,0.9,1.2545686960220337,"[[ 0.9748924   0.19933908 -0.06581359 -0.01248637 -0.03751192 -0.04315901
   0.0457342 ]
 [ 0.20546986 -0.95578843  0.13924709  0.14889508  0.0019509  -0.04883241
  -0.01740001]
 [-0.0357891  -0.1500526  -0.9876052   0.0044035  -0.01442596 -0.00872275
  -0.02314588]
 [-0.01281162  0.14778799 -0.01870855  0.98156506  0.11544123  0.00763438
  -0.02810046]
 [-0.02514483  0.00155284  0.01387946  0.11170944 -0.9704529   0.21125467
  -0.01691858]
 [ 0.05589085 -0.04333352 -0.00871503 -0.02285737  0.20644553  0.9733202
   0.06654261]
 [-0.04654032 -0.02225179 -0.01720987  0.03440256 -0.02560472 -0.06031121
   0.9957741 ]]",0
4,5,7,0.9,1.3980369567871094,"[[-0.9872308   0.04596173  0.089015   -0.08762429  0.06082181  0.02301337
   0.05858633]
 [ 0.04270587  0.9953062  -0.0162652   0.04593479 -0.02281184 -0.02197317
   0.06452958]
 [ 0.0895313   0.01551033  0.9926807   0.02842066  0.05712694  0.02694522
  -0.03913215]
 [-0.08904214 -0.03930006 -0.02475621  0.9919852   0.07312697 -0.00384729
  -0.02274128]
 [ 0.06322098  0.02775924 -0.06645589 -0.06723206  0.9786532   0.16486529
  -0.03678896]
 [ 0.01590523  0.00984411 -0.01561478  0.0194439  -0.16273773  0.98144156
   0.09652551]
 [ 0.05794322 -0.06782769  0.03352195  0.02171209  0.05407124 -0.08853628
   0.98979014]]",0
5,6,8,0.9,1.5895724296569824,"[[ 8.40615928e-01  5.23637593e-01  5.47541007e-02  3.71943414e-02
  -1.34097068e-02 -1.05238236e-01  3.62979695e-02 -4.70596403e-02]
 [ 5.35825670e-01 -8.37155104e-01 -1.83490831e-02 -5.45774698e-02
   5.98422661e-02  6.47094250e-02  1.63200498e-03  3.12368888e-02]
 [-4.14926559e-02 -6.14537969e-02  9.86987293e-01  1.18541650e-01
   1.22564547e-02 -7.76365846e-02  2.20090896e-03 -1.11000268e-02]
 [-9.83188162e-04 -5.95482364e-02 -1.23366520e-01  9.88085449e-01
   4.70731333e-02 -8.67914932e-04  4.94532399e-02 -1.60791855e-02]
 [-4.21365052e-02  1.18171331e-02 -3.62516716e-02 -5.33935055e-02
   9.18312490e-01 -3.72035295e-01  8.69523957e-02 -6.81978539e-02]
 [ 4.01463397e-02  1.20755710e-01  7.62952417e-02  5.22610964e-04
   3.74530733e-01  9.14857924e-01 -2.03064494e-02 -1.82889421e-02]
 [-2.86677592e-02 -1.78973731e-02  5.68864727e-03 -4.73926626e-02
  -8.05504546e-02  5.64896949e-02  9.90055323e-01 -8.17954913e-02]
 [ 1.79986618e-02  5.10941967e-02  1.15989912e-02  1.32517945e-02
   6.17533065e-02 -1.19607178e-02  8.97039250e-02  9.92346704e-01]]",0
6,7,8,0.9,1.468768835067749,"[[ 9.39925134e-01  3.18436921e-01 -6.51113987e-02  6.40672073e-02
  -4.10907306e-02 -1.96373276e-02  5.33648692e-02  4.32741717e-02]
 [-3.18021595e-01  9.28054214e-01 -1.59036562e-01 -3.10983778e-05
  -1.30974583e-03 -5.25024114e-03 -1.05015367e-01 -3.50359827e-02]
 [ 1.99292041e-02  1.64415628e-01  9.70209062e-01  4.52421829e-02
   1.24560066e-01  7.94047192e-02 -8.54523927e-02  9.77180712e-03]
 [-5.93466721e-02 -3.10621448e-02 -3.51374894e-02  9.86449718e-01
  -1.12185791e-01  8.25161636e-02 -3.90365310e-02 -1.66470483e-02]
 [ 2.60390304e-02 -7.97992200e-03 -1.27910182e-01  1.11520082e-01
   9.84064102e-01 -1.68517996e-02  2.05017719e-02  3.70689444e-02]
 [ 2.52241734e-02 -4.83175227e-03 -8.30666795e-02 -8.44115466e-02
   1.56505760e-02  9.91391182e-01 -4.61233817e-02  9.28894617e-03]
 [-7.07218871e-02  8.83930698e-02  6.78442791e-02  3.02201360e-02
  -2.74656084e-03  5.74547872e-02  9.63851154e-01 -2.22151339e-01]
 [ 7.18883052e-02 -3.76242362e-02 -7.98455533e-03 -1.70383584e-02
   3.96782048e-02 -5.59697300e-03 -2.13871792e-01 -9.72479045e-01]]",0
7,8,8,0.9,1.7662466764450073,"[[ 0.9702552  -0.19808817  0.11024413  0.02525012  0.02293454 -0.00691992
   0.01479038  0.07603974]
 [-0.17972769 -0.93491375  0.01610779 -0.09718705 -0.0895585   0.06898168
   0.22471642 -0.14371099]
 [-0.08392585  0.08299693  0.9765235  -0.12409747 -0.04106643  0.06640708
   0.0654543  -0.08178612]
 [-0.05719455 -0.08681826  0.12468009  0.9750626   0.13882077  0.03447018
   0.02241706 -0.04401479]
 [-0.01137405 -0.04892535  0.01405569 -0.14729784  0.9454201  -0.14045216
  -0.01639697 -0.24853124]
 [ 0.02101368  0.05289945 -0.06623872 -0.04057902  0.15004563  0.9836816
  -0.0027392   0.02398052]
 [-0.02010888  0.13361566 -0.02830855 -0.00358948  0.13017854 -0.03677217
   0.8803997   0.43304256]
 [-0.12252676 -0.22187006  0.11426704 -0.02033987  0.19291504 -0.0297818
  -0.41123822  0.8456182 ]]",0
8,9,8,0.9,1.9984148740768433,"[[-0.18321967  0.934301   -0.13554975 -0.02906649 -0.117369    0.08641572
   0.21251284 -0.08881855]
 [ 0.8755256   0.14458723  0.27666828  0.04878985 -0.23613994 -0.10611431
   0.24670582  0.07574694]
 [-0.2570446   0.1373066   0.86859417  0.34924582  0.1361367  -0.00250159
  -0.10974735  0.08979147]
 [ 0.10921304  0.02124953 -0.36229995  0.9140585   0.13706145 -0.00503624
  -0.03790158 -0.02467843]
 [ 0.18596789  0.1284334  -0.02937087 -0.17043857  0.93433475 -0.14870507
   0.14836298  0.04362107]
 [ 0.12616286 -0.05630156  0.03661199 -0.00826307  0.12444016  0.97805476
   0.0703456   0.04979326]
 [-0.2669221  -0.22182953  0.00694304  0.09331951 -0.06062326 -0.04888321
   0.87743044  0.30795875]
 [ 0.01172629  0.13415724 -0.13081507 -0.03837884 -0.03164778 -0.01210573
  -0.28922188  0.9372734 ]]",0
9,10,7,0.9,1.727120280265808,"[[ 0.82812613 -0.4764361   0.1951634   0.14556846  0.11974211 -0.01130211
  -0.11606413]
 [ 0.5262134   0.8242921  -0.00144028 -0.11955508 -0.09273626 -0.06390665
   0.12908308]
 [-0.16110128  0.09574629  0.9793328  -0.02643112 -0.06318414  0.03298715
   0.00271077]
 [-0.03760892  0.1269354  -0.01521637  0.941615   -0.2838117   0.10532644
   0.06292753]
 [ 0.06598181 -0.19265595 -0.02988373 -0.229282   -0.9307057  -0.19635546
  -0.01726941]
 [ 0.0577645   0.03331966 -0.03928242 -0.14221856 -0.1619141   0.9462951
  -0.22823982]
 [-0.04741432  0.17333432 -0.01219771  0.06620124  0.00955108 -0.2226582
  -0.95577604]]",0
