layer,level_from,level_to,G,boot_id
0,1,2,0.9780323817616418,0
0,2,3,0.9720119720413571,0
0,3,4,0.9747900593848455,0
0,4,5,0.9737841855911982,0
0,5,6,0.9671848983991713,0
0,6,7,0.937377046971094,0
0,7,8,0.9527299035163153,0
0,8,9,0.9774478532019115,0
0,9,10,0.9754943705740429,0
1,1,2,0.9105713963508606,0
1,2,3,0.9160111943880717,0
1,3,4,0.9336980836732047,0
1,4,5,0.9336512230691456,0
1,5,6,0.9350891936393011,0
1,6,7,0.9247383361770993,0
1,7,8,0.9459040079798017,0
1,8,9,0.9287437314078921,0
1,9,10,0.9347101478349595,0
2,1,2,0.8951467871665955,0
2,2,3,0.9039641845793951,0
2,3,4,0.9253124225707281,0
2,4,5,0.9228799286342803,0
2,5,6,0.9321536279859997,0
2,6,7,0.9160167518116179,0
2,7,8,0.9277079105377197,0
2,8,9,0.9218985608645848,0
2,9,10,0.9209789151237124,0
3,1,2,0.8760945314452762,0
3,2,3,0.8921177841368175,0
3,3,4,0.9080064750853039,0
3,4,5,0.9058538845607212,0
3,5,6,0.9206554549080985,0
3,6,7,0.8730312415531704,0
3,7,8,0.883131966704414,0
3,8,9,0.912762184937795,0
3,9,10,0.8905185971941266,0
4,1,2,0.8765955936341059,0
4,2,3,0.8905517714364188,0
4,3,4,0.9026690182231721,0
4,4,5,0.9106168832097735,0
4,5,6,0.9271353511583238,0
4,6,7,0.8927524089813232,0
4,7,8,0.906334828762781,0
4,8,9,0.9129311953272138,0
4,9,10,0.8863664099148342,0
5,1,2,0.8631664173943656,0
5,2,3,0.8640195812497821,0
5,3,4,0.8835603055499849,0
5,4,5,0.8967935953821454,0
5,5,6,0.9063855182556879,0
5,6,7,0.8794225653012594,0
5,7,8,0.8815586027644929,0
5,8,9,0.8676563472974868,0
5,9,10,0.8722255002884638,0
6,1,2,0.8472771020162673,0
6,2,3,0.8402726905686515,0
6,3,4,0.8635737271535964,0
6,4,5,0.8868527440797715,0
6,5,6,0.8758793189412072,0
6,6,7,0.8534250259399414,0
6,7,8,0.8825445572535197,0
6,8,9,0.8803023270198277,0
6,9,10,0.849947072210766,0
7,1,2,0.8487609965460641,0
7,2,3,0.8278807855787731,0
7,3,4,0.8545611926487514,0
7,4,5,0.8668275958015805,0
7,5,6,0.8425084806623913,0
7,6,7,0.8309125900268555,0
7,7,8,0.8773355398859296,0
7,8,9,0.8784888159661066,0
7,9,10,0.8325629177547637,0
8,1,2,0.8469398617744446,0
8,2,3,0.7999002082007272,0
8,3,4,0.8320556396529788,0
8,4,5,0.8385820729391915,0
8,5,6,0.8320429637318566,0
8,6,7,0.8257689050265721,0
8,7,8,0.876996948605492,0
8,8,9,0.8829008028620765,0
8,9,10,0.8347032779739016,0
9,1,2,0.7995625535647074,0
9,2,3,0.7421243275914874,0
9,3,4,0.7704185616402399,0
9,4,5,0.7821169609115237,0
9,5,6,0.8316210281281244,0
9,6,7,0.8477608277684167,0
9,7,8,0.8827887432915824,0
9,8,9,0.8842546230270749,0
