layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,5,,0.4718096852302551,0.5839696526527405,[0.37769127 0.43106323 0.4566798  0.50964445 0.58396965],0
1,2,5,,0.6158062219619751,0.7697231769561768,[0.5005463  0.5414512  0.5674367  0.69987375 0.7697232 ],0
2,3,5,,0.6101366281509399,0.8406111598014832,[0.49378607 0.5251745  0.549062   0.6420492  0.84061116],0
3,4,5,,0.5101692080497742,0.6404181718826294,[0.4242809  0.47652286 0.4827845  0.52683973 0.6404182 ],0
4,5,5,,0.5045663714408875,0.6625838279724121,[0.4256575  0.44816074 0.46515077 0.5212792  0.6625838 ],0
5,6,5,,0.4951419234275818,0.5647299289703369,[0.43368948 0.45455918 0.48787564 0.5348553  0.5647299 ],0
6,7,5,,0.5342468619346619,0.6965975761413574,[0.4455938  0.47664928 0.50990194 0.5424916  0.6965976 ],0
7,8,5,,0.5763410329818726,0.6836470365524292,[0.51471794 0.52720505 0.5627064  0.59342885 0.68364704],0
8,9,5,,0.6808937788009644,0.8632060289382935,[0.5596441  0.6025066  0.66405076 0.7150615  0.863206  ],0
9,10,5,,0.5732421278953552,0.7691124081611633,[0.4555806  0.48190072 0.55982995 0.59978724 0.7691124 ],0
10,11,5,,0.7864745855331421,1.316542387008667,[0.4658564  0.5356059  0.62781453 0.98655343 1.3165424 ],0
0,1,5,,0.46068963408470154,0.5865311622619629,[0.36745548 0.42622602 0.43625918 0.4869764  0.58653116],1
1,2,5,,0.6067010164260864,0.7643423080444336,[0.4935463 0.5519487 0.556661  0.6670066 0.7643423],1
2,3,5,,0.6068135499954224,0.8131729960441589,[0.50614005 0.52257234 0.54670244 0.6454796  0.813173  ],1
3,4,5,,0.5089797973632812,0.6399388909339905,[0.4219215  0.4718965  0.48148027 0.52966183 0.6399389 ],1
4,5,5,,0.5022508502006531,0.6492908000946045,[0.41941613 0.45116904 0.46341234 0.52796596 0.6492908 ],1
5,6,5,,0.518538773059845,0.5903720855712891,[0.45103958 0.46398112 0.5075118  0.57978916 0.5903721 ],1
6,7,5,,0.5430219173431396,0.7349119782447815,[0.44928575 0.48548225 0.4952953  0.5501344  0.734912  ],1
