layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,6,0.9,0.4715493619441986,0.5839787125587463,[0.3757968  0.40771064 0.43768635 0.4978669  0.5262567  0.5839787 ],0
1,2,7,0.9,0.6025768518447876,0.8127678632736206,"[0.47603846 0.5061538  0.53722274 0.56426966 0.64136857 0.6802169
 0.81276786]",0
2,3,7,0.9,0.6368159651756287,0.8872070908546448,"[0.4867495  0.4972435  0.53381026 0.58725554 0.6229181  0.84252775
 0.8872071 ]",0
3,4,8,0.9,0.5160661935806274,0.6577433943748474,"[0.40386933 0.43907565 0.46818802 0.47525135 0.49310943 0.55671406
 0.6345784  0.6577434 ]",0
4,5,8,0.9,0.527413547039032,0.6853122115135193,"[0.4201474  0.42384982 0.45282415 0.48352224 0.5175624  0.5866533
 0.649437   0.6853122 ]",0
5,6,8,0.9,0.5005443692207336,0.6189653873443604,"[0.42643112 0.4354878  0.46324337 0.46860877 0.50809073 0.5263537
 0.5571741  0.6189654 ]",0
6,7,8,0.9,0.5381499528884888,0.7643663883209229,"[0.4346987  0.46365884 0.48926046 0.49665812 0.50367194 0.54457724
 0.6083075  0.7643664 ]",0
7,8,10,0.9,0.6418318152427673,0.9782114624977112,"[0.48419133 0.50675863 0.52067995 0.5297741  0.5554556  0.6168487
 0.63495606 0.70900077 0.88244134 0.97821146]",0
8,9,11,0.9,0.6952820420265198,1.098373532295227,"[0.4982935  0.50913846 0.5420732  0.5795618  0.5862357  0.6024659
 0.6762304  0.7259497  0.8484739  0.98130655 1.0983735 ]",0
9,10,12,0.9,0.6278379559516907,1.2629824876785278,"[0.39471626 0.42714763 0.44908383 0.47635013 0.49566275 0.51457494
 0.54227304 0.5807669  0.66529965 0.7828434  0.9423543  1.2629825 ]",0
10,11,6,0.9,0.7146247029304504,1.231119990348816,[0.42432883 0.4662994  0.5067155  0.5966467  1.0626377  1.23112   ],0
0,1,6,0.9,0.45886698365211487,0.5875879526138306,[0.3657467  0.39527652 0.43424517 0.47554448 0.49480134 0.58758795],1
1,2,7,0.9,0.601419985294342,0.828068196773529,"[0.47097492 0.5106632  0.5378394  0.568677   0.63227224 0.6614448
 0.8280682 ]",1
2,3,7,0.9,0.636210024356842,0.8925352096557617,"[0.49299634 0.5098293  0.53031605 0.59208643 0.61906135 0.8166456
 0.8925352 ]",1
3,4,7,0.9,0.5327644944190979,0.6894351840019226,"[0.41693076 0.46778885 0.47845387 0.4877841  0.5554718  0.63348705
 0.6894352 ]",1
4,5,7,0.9,0.5313665270805359,0.6829538941383362,"[0.41823956 0.43938556 0.45750147 0.50482816 0.5715256  0.6451317
 0.6829539 ]",1
5,6,8,0.9,0.5209841728210449,0.6471776366233826,"[0.44075856 0.45072442 0.4794579  0.49726647 0.52061945 0.55293566
 0.578933   0.64717764]",1
6,7,8,0.9,0.5447838306427002,0.8275538682937622,"[0.42980102 0.4649122  0.47876385 0.50071007 0.50456226 0.55216306
 0.59980416 0.82755387]",1
7,8,9,0.9,0.615548312664032,0.8857082724571228,"[0.4898784  0.49835944 0.51469374 0.5345009  0.561121   0.5771615
 0.6830407  0.7954705  0.8857083 ]",1
8,9,9,0.9,0.7500581741333008,1.2965798377990723,"[0.52680415 0.5359237  0.5775115  0.6579413  0.6757759  0.7104874
 0.7831288  0.9863709  1.2965798 ]",1
9,10,9,0.9,0.5881407260894775,0.8370435237884521,"[0.43235865 0.43837196 0.4943483  0.5264058  0.5332939  0.60541326
 0.6549831  0.7710475  0.8370435 ]",1
10,11,6,0.9,0.703313410282135,1.1649856567382812,[0.42224565 0.48663864 0.5272127  0.5522566  1.0665414  1.1649857 ],1
0,1,6,0.9,0.4667992889881134,0.5807859301567078,[0.37360182 0.40616632 0.4327497  0.4916626  0.5158293  0.58078593],2
1,2,7,0.9,0.6039747595787048,0.8221230506896973,"[0.4766723  0.5094123  0.53577083 0.5632759  0.64359695 0.6769723
 0.82212305]",2
2,3,7,0.9,0.635786235332489,0.883024275302887,[0.4861232 0.4982825 0.531605  0.5834016 0.6261302 0.841937  0.8830243],2
3,4,8,0.9,0.5147222280502319,0.6607297658920288,"[0.40431863 0.4328412  0.46601787 0.47196454 0.49256027 0.55366975
 0.63567585 0.66072977]",2
4,5,8,0.9,0.5263936519622803,0.6853213310241699,"[0.41889754 0.42185527 0.45260203 0.48003826 0.51865184 0.5826904
 0.6510925  0.68532133]",2
5,6,8,0.9,0.5061842203140259,0.6278422474861145,"[0.43033385 0.44466534 0.46277577 0.4718329  0.51244795 0.540305
 0.55927044 0.62784225]",2
6,7,8,0.9,0.5396289825439453,0.7764434218406677,"[0.44004688 0.46208313 0.49012777 0.49864256 0.4997134  0.55796814
 0.59200674 0.7764434 ]",2
7,8,9,0.9,0.6180152297019958,0.9407515525817871,"[0.4901574  0.5068812  0.5238369  0.5273715  0.56440985 0.6119109
 0.6716893  0.7251284  0.94075155]",2
8,9,11,0.9,0.7223077416419983,1.384996771812439,"[0.49393028 0.5113377  0.5408296  0.5805453  0.5901728  0.6045013
 0.65665865 0.7451356  0.8517303  0.9855473  1.3849968 ]",2
9,10,12,0.9,0.5971933007240295,0.9891840219497681,"[0.3935016  0.4196605  0.43943068 0.4851835  0.49095887 0.50935996
 0.54480684 0.58234763 0.66157866 0.78696626 0.8633411  0.989184  ]",2
10,11,6,0.9,0.6881000995635986,1.1711323261260986,[0.41700774 0.4674916  0.5068216  0.6133663  0.952781   1.1711323 ],2
0,1,6,0.9,0.4778064489364624,0.5797467231750488,[0.37933806 0.41069373 0.44619268 0.510302   0.54056555 0.5797467 ],3
1,2,6,0.9,0.6056056022644043,0.7782190442085266,[0.4952904  0.5395631  0.54127455 0.6280827  0.65120393 0.77821904],3
2,3,7,0.9,0.639377236366272,0.8839468359947205,"[0.49151573 0.50362796 0.5379482  0.58734405 0.62952757 0.8417305
 0.88394684]",3
3,4,7,0.9,0.5374171137809753,0.6867298483848572,"[0.4153095  0.4724465  0.4843072  0.49808443 0.5631176  0.64192486
 0.68672985]",3
4,5,7,0.9,0.5398939251899719,0.6638115644454956,"[0.43129513 0.45168567 0.4698935  0.51415503 0.5976667  0.6507498
 0.66381156]",3
