layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
0,90,0.2779257595539093,0.20949067175388336,0.15580274164676666,0.12537391483783722,0.08298712223768234,0.061081960797309875,0.03180605173110962,0.027722368016839027,0.010548409074544907,0.0033566660713404417,5,6,8,0
1,90,0.2610430121421814,0.23632149398326874,0.14892315864562988,0.11281706392765045,0.07513804733753204,0.057590581476688385,0.02914947271347046,0.02552707865834236,0.011664360761642456,0.0049120462499558926,6,7,9,0
2,90,0.3073594868183136,0.17345812916755676,0.1553405076265335,0.10799214243888855,0.07844997197389603,0.0546649768948555,0.031115056946873665,0.027446754276752472,0.010856191627681255,0.005797070451080799,6,7,10,0
3,90,0.3570740818977356,0.15083545446395874,0.1419602334499359,0.09237737208604813,0.06775080412626266,0.04742153733968735,0.03139166906476021,0.024073073640465736,0.01860143430531025,0.008481348864734173,6,8,12,0
4,90,0.3353090286254883,0.15990959107875824,0.1470227688550949,0.09351890534162521,0.07505473494529724,0.051340166479349136,0.03260113298892975,0.02701718732714653,0.011794334277510643,0.006030079908668995,6,8,13,0
5,90,0.3667105734348297,0.15355844795703888,0.13167104125022888,0.08819768577814102,0.07014315575361252,0.054752107709646225,0.02748968079686165,0.025269819423556328,0.009050305932760239,0.007332940585911274,6,8,13,0
6,90,0.38667920231819153,0.14769379794597626,0.12205185741186142,0.09344438463449478,0.05903119966387749,0.04925744608044624,0.02400366961956024,0.022699685767292976,0.009573684073984623,0.009015931747853756,6,8,15,0
7,90,0.32406291365623474,0.1711624711751938,0.12879349291324615,0.0922604352235794,0.06397829204797745,0.05265868455171585,0.026752417907118797,0.02588428184390068,0.012538168579339981,0.008929201401770115,7,10,18,0
8,90,0.29881584644317627,0.18322820961475372,0.13172949850559235,0.09546985477209091,0.05803001672029495,0.05095955729484558,0.026443950831890106,0.021310577169060707,0.01678442396223545,0.010964171029627323,8,11,19,0
9,90,0.28911808133125305,0.16070237755775452,0.13468967378139496,0.09411250799894333,0.06168611720204353,0.05414056405425072,0.027914421632885933,0.02145599201321602,0.017647305503487587,0.013260375708341599,9,13,21,0
10,90,0.34105250239372253,0.14917075634002686,0.13727551698684692,0.06498062610626221,0.06138564646244049,0.043459370732307434,0.02602282166481018,0.021983647719025612,0.017709456384181976,0.0154120409861207,9,12,20,0
11,90,0.7509332895278931,0.057518426328897476,0.0379054881632328,0.025112386792898178,0.019801152870059013,0.01930348388850689,0.01556041557341814,0.00886632315814495,0.006992118898779154,0.0059989020228385925,4,6,11,0
0,90,0.2762434780597687,0.20844930410385132,0.15539585053920746,0.12494378536939621,0.08216972649097443,0.060710057616233826,0.03174646571278572,0.027574801817536354,0.01751248724758625,0.0045928191393613815,6,6,8,1
1,90,0.26235705614089966,0.23495343327522278,0.1485101580619812,0.11534246802330017,0.07294009625911713,0.05632886290550232,0.029527928680181503,0.025537602603435516,0.017282024025917053,0.00926591083407402,6,7,9,1
2,90,0.31197965145111084,0.17237168550491333,0.1537463515996933,0.10890372842550278,0.07860977947711945,0.05322951823472977,0.031946346163749695,0.027399644255638123,0.015413323417305946,0.009737744927406311,6,7,9,1
3,90,0.35907965898513794,0.14914533495903015,0.14498013257980347,0.0952942743897438,0.06815557181835175,0.04670669883489609,0.03258707746863365,0.02528315596282482,0.023441307246685028,0.00968935340642929,6,8,10,1
4,90,0.34114396572113037,0.15857486426830292,0.1493755280971527,0.09504072368144989,0.07332555949687958,0.05076272040605545,0.03340551629662514,0.027061210945248604,0.01609330251812935,0.00990545004606247,6,7,10,1
5,90,0.3638078272342682,0.15560822188854218,0.13646896183490753,0.08932987600564957,0.06984353065490723,0.05432400107383728,0.028724659234285355,0.025650931522250175,0.013958354480564594,0.011578045785427094,6,8,11,1
6,90,0.38417965173721313,0.1485949605703354,0.13085754215717316,0.09536263346672058,0.06016749516129494,0.04856331646442413,0.025099923834204674,0.023519594222307205,0.01396032702177763,0.011719983071088791,6,8,11,1
7,90,0.3262907564640045,0.16937966644763947,0.13388516008853912,0.09483905136585236,0.06610405445098877,0.05289258807897568,0.02827771194279194,0.025222085416316986,0.017008798196911812,0.014616100117564201,7,9,13,1
8,90,0.3048248589038849,0.1870524138212204,0.12897123396396637,0.10032773017883301,0.058042217046022415,0.05413537472486496,0.027248196303844452,0.02257787063717842,0.01855280250310898,0.016184041276574135,7,9,13,1
9,90,0.29271599650382996,0.1611107736825943,0.13398708403110504,0.10753704607486725,0.05953669548034668,0.0555160827934742,0.030596494674682617,0.02598181553184986,0.020716121420264244,0.020068490877747536,8,10,14,1
10,90,0.38478633761405945,0.13628971576690674,0.12774373590946198,0.07366149127483368,0.058691248297691345,0.04597830772399902,0.029754238203167915,0.023467760533094406,0.019777152687311172,0.015346748754382133,7,9,14,1
11,90,0.6855810880661011,0.07681567221879959,0.05174805223941803,0.0351468026638031,0.027357766404747963,0.024745069444179535,0.01833174377679825,0.014686942100524902,0.010592184960842133,0.008282256312668324,5,6,10,1
0,90,0.27788180112838745,0.21084283292293549,0.15534348785877228,0.1249314472079277,0.08312558382749557,0.060748741030693054,0.031715136021375656,0.027643514797091484,0.010266768746078014,0.0032038125209510326,5,6,8,2
1,90,0.26300039887428284,0.236938938498497,0.14881762862205505,0.11211759597063065,0.07517030090093613,0.056622568517923355,0.029085302725434303,0.025397131219506264,0.011381343938410282,0.004784665070474148,6,7,9,2
2,90,0.30948540568351746,0.17428340017795563,0.15305235981941223,0.10775551944971085,0.079036645591259,0.05429890751838684,0.03118281066417694,0.0273883119225502,0.010727087035775185,0.005892629269510508,6,7,10,2
3,90,0.3609216809272766,0.14813093841075897,0.14291326701641083,0.09245956689119339,0.06760941445827484,0.04739377275109291,0.03132644295692444,0.0238895732909441,0.01788443885743618,0.007753395475447178,6,8,12,2
4,90,0.33630937337875366,0.15828849375247955,0.14834636449813843,0.09410662204027176,0.07505262643098831,0.051418647170066833,0.032482169568538666,0.02664833888411522,0.011504566296935081,0.005831908900290728,6,8,12,2
