layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,5,,1.0556883811950684,"[[ 0.9123847   0.3963871  -0.09539703  0.00440306  0.03621383]
 [-0.38723812  0.8992954   0.00814089  0.18302408 -0.08803621]
 [ 0.09296905  0.02671008  0.9950994   0.0139853  -0.01499679]
 [ 0.0495047  -0.14939483 -0.01037973  0.9567807   0.24432275]
 [-0.08066467  0.1054178   0.0224177  -0.2255173   0.96489364]]",0
1,2,5,,1.370699167251587,"[[-9.5509386e-01  1.9800726e-01 -9.0221606e-02  1.6590212e-01
  -1.1368969e-01]
 [-2.4890226e-01 -9.3323088e-01  1.0682347e-01 -2.3229720e-01
   4.1887302e-02]
 [-5.9409749e-02  1.2614895e-01  9.8800391e-01 -7.6124736e-04
  -6.6367492e-02]
 [ 1.0730460e-01 -2.6206475e-01  4.1164514e-02  9.5815176e-01
   7.6417597e-03]
 [-1.0392085e-01  7.2675690e-02  5.1015612e-02  2.1425232e-02
   9.9038225e-01]]",0
2,3,5,,1.3662543296813965,"[[ 0.9801436  -0.12720998  0.12228364  0.08658522  0.02618852]
 [-0.16918562 -0.6096708   0.76721686 -0.03397962 -0.09950577]
 [ 0.02951339  0.78146046  0.61994016 -0.04894624 -0.04155716]
 [-0.09379514  0.02578217  0.05686668  0.9883343   0.10246657]
 [-0.0320336  -0.02782002  0.0941563  -0.11021849  0.9885274 ]]",0
3,4,5,,1.1385207176208496,"[[ 9.7850758e-01  6.3348144e-02 -1.5892693e-01 -8.9528538e-02
   7.2365306e-02]
 [-1.5960476e-01  7.7353060e-01 -5.9280515e-01 -1.5665898e-01
  -1.4722354e-02]
 [ 9.3390957e-02  6.2581277e-01  7.6959252e-01  8.4261976e-02
  -1.6237196e-02]
 [ 6.2023330e-02  7.3868163e-02 -1.7621332e-01  9.7611827e-01
  -8.2695872e-02]
 [-6.6935800e-02  2.3220232e-02  7.0163567e-04  8.6808205e-02
   9.9370223e-01]]",0
4,5,5,,1.130171298980713,"[[ 0.9825897   0.02724217 -0.18088678 -0.02558564  0.02001795]
 [-0.04721655  0.99241555 -0.10469595 -0.03600058 -0.02499076]
 [ 0.17890511  0.11260115  0.9738265   0.0694961  -0.0463264 ]
 [ 0.01375873  0.02075657 -0.08526811  0.9672306  -0.237853  ]
 [-0.00957935  0.03548568  0.02664536  0.24017592  0.96966726]]",0
5,6,5,,1.1006534099578857,"[[ 0.9956962  -0.07338816  0.03152792 -0.02709415  0.03840949]
 [ 0.07146715  0.99351937  0.06804395  0.05039546  0.0253367 ]
 [-0.03878691 -0.054051    0.97979254 -0.18571122 -0.03304528]
 [-0.01517287  0.06404787 -0.18374838 -0.9804465  -0.02507864]
 [-0.04179745 -0.02257696  0.02488216 -0.0310209   0.99807906]]",0
6,7,5,,1.1940356492996216,"[[ 9.87597108e-01 -1.02057181e-01  9.63363722e-02 -5.46123423e-02
   4.44197766e-02]
 [ 1.11187927e-01  9.88267481e-01 -1.02595828e-01 -7.57832240e-05
   2.09477078e-02]
 [-8.30550939e-02  1.12369463e-01  9.89821374e-01  2.38969978e-02
  -1.25542665e-02]
 [-5.67095987e-02  7.98385963e-03  1.85813755e-02 -9.98116791e-01
   1.17408233e-02]
 [-4.66380380e-02 -1.48717379e-02  1.00918971e-02  1.44657530e-02
   9.98645425e-01]]",0
7,8,5,,1.2768992185592651,"[[ 0.9987433  -0.04013862  0.0023194   0.02851461  0.00906783]
 [ 0.0415006   0.99585813 -0.05561756 -0.03146442 -0.0496088 ]
 [ 0.00422326  0.04857599  0.987036   -0.14925039 -0.03326763]
 [ 0.02684465 -0.04004448 -0.14717974 -0.9878818   0.01016634]
 [-0.00714345  0.0518879   0.0316118   0.00326458  0.9981215 ]]",0
8,9,5,,1.5073689222335815,"[[ 0.91842955 -0.3769741  -0.09238286 -0.01156363  0.07556001]
 [ 0.37981814  0.90298045  0.16951598 -0.06562863  0.08556729]
 [ 0.01206832 -0.1995971   0.9577031  -0.206905   -0.00322982]
 [ 0.04447355  0.016611    0.21330933  0.9746622  -0.04773837]
 [-0.10050736 -0.04900992  0.00579627  0.05275558  0.99231017]]",0
9,10,5,,1.2841731309890747,"[[ 9.41500425e-01  3.18969190e-01 -8.75519291e-02  6.11937344e-02
  -2.06309725e-02]
 [ 7.49507844e-02 -4.75657344e-01 -8.73069823e-01  6.16863929e-02
  -4.55669463e-02]
 [-3.00129831e-01  7.72455513e-01 -4.60326165e-01  3.91863436e-02
   3.15909445e-01]
 [-5.97205013e-02 -2.41465328e-04  6.92366958e-02  9.92720127e-01
  -7.83990026e-02]
 [-1.19644865e-01  2.74447054e-01 -1.15714543e-01 -7.36292675e-02
  -9.44220722e-01]]",0
