layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,6,0.9,1.1562412977218628,"[[ 0.9124131   0.3963279  -0.0952201   0.00435286  0.03618572  0.00558581]
 [-0.38573018  0.8975213   0.00976342  0.18242054 -0.09046943 -0.06411274]
 [ 0.0905477   0.02962736  0.99208295  0.0150628  -0.01114498  0.07964713]
 [ 0.05030576 -0.15034854 -0.00945012  0.95644206  0.24303925 -0.03042641]
 [-0.07945116  0.10402453  0.02351524 -0.22594835  0.96290696 -0.06380509]
 [-0.04089521  0.05546276 -0.07724622  0.02535294  0.06421747  0.99222875]]",0
1,2,7,0.9,1.5913825035095215,"[[-0.95574975  0.19700684 -0.08831514  0.16351092 -0.10021943 -0.03319851
   0.04526824]
 [-0.24951419 -0.92981464  0.10548389 -0.22852959  0.03385463  0.04923796
  -0.07914701]
 [-0.05769466  0.12343482  0.98764646 -0.00223927 -0.07061226  0.00938225
   0.03017251]
 [ 0.10724223 -0.26464424  0.04175711  0.9549297   0.01510285 -0.05219305
   0.04331246]
 [-0.0922727   0.07786828  0.04709202  0.03912683  0.9058046   0.39968348
  -0.03801293]
 [ 0.02438272  0.01268899 -0.03579233  0.06101449 -0.40334523  0.9101669
  -0.05611986]
 [ 0.01862021 -0.07166468 -0.019635   -0.06236195  0.02065199  0.07423382
   0.9921219 ]]",0
2,3,7,0.9,1.6938502788543701,"[[ 0.9758906  -0.12743759  0.12225232  0.08556504  0.02853975 -0.08578064
   0.0309417 ]
 [-0.1655321  -0.60479045  0.7652203  -0.03116457 -0.10037083  0.00497085
  -0.10097191]
 [ 0.0303465   0.7808996   0.6196658  -0.04992163 -0.04276236  0.01421177
   0.02768491]
 [-0.08614742  0.02714879  0.05456498  0.987223    0.09481861  0.07248478
  -0.00324878]
 [-0.01598831 -0.03070813  0.09265301 -0.11351018  0.96755487  0.20285447
  -0.00445572]
 [ 0.08498666 -0.03019559 -0.01400757 -0.04098203 -0.20219381  0.95430195
   0.195998  ]
 [ 0.06645332  0.07478068 -0.06122493 -0.00648717 -0.03531575  0.18793297
  -0.9744923 ]]",0
3,4,8,0.9,1.460946798324585,"[[ 0.97474545  0.06397969 -0.15889192 -0.08805704  0.07783294  0.00197925
  -0.02470675  0.07813375]
 [-0.15887854  0.7741149  -0.5901737  -0.15610291 -0.01709459 -0.0236641
   0.04432309  0.00372615]
 [ 0.09192983  0.6241029   0.76266325  0.08308393 -0.01130441  0.06583299
  -0.0894417  -0.03201173]
 [ 0.06295761  0.07301094 -0.17828071  0.97489893 -0.0831461  -0.00486227
  -0.02170205 -0.03295048]
 [-0.05795257  0.02386264  0.00727786  0.08631247  0.9760631  -0.01163691
   0.15564603 -0.10728052]
 [-0.00925831 -0.02183953 -0.06233744 -0.00335328  0.0045002   0.9967994
   0.04148232 -0.0137804 ]
 [ 0.06452038  0.01888877  0.08237441  0.01066193 -0.17060043 -0.03546368
   0.96489805 -0.16489601]
 [-0.06787521  0.02036012  0.04779827  0.05451635  0.06917331  0.00872893
   0.17882822  0.9761563 ]]",0
4,5,8,0.9,1.4955980777740479,"[[ 9.82448220e-01  2.73746606e-02 -1.80923387e-01 -2.52445228e-02
   2.04168074e-02 -7.79377238e-04  1.48587544e-02 -6.10959576e-03]
 [-4.74512987e-02  9.92331326e-01 -1.04815587e-01 -3.59209999e-02
  -2.52484307e-02 -8.11550301e-03  3.91673017e-03 -5.61903510e-03]
 [ 1.78769529e-01  1.12863846e-01  9.73540485e-01  6.99424893e-02
  -4.50025313e-02  2.14704312e-02  3.03479098e-03 -1.16112996e-02]
 [ 1.39893768e-02  2.08483115e-02 -8.53027105e-02  9.67063844e-01
  -2.36283660e-01  4.18913271e-03 -3.14883515e-02  6.44755643e-03]
 [-1.11936573e-02  3.43372077e-02  2.64474358e-02  2.39824504e-01
   9.63738918e-01 -7.90123567e-02  6.07110597e-02 -4.19398844e-02]
 [-4.78042150e-03  8.24213307e-03 -1.94153935e-02  1.38127655e-02
   7.64775500e-02  9.95685160e-01  4.23433706e-02  1.76289119e-02]
 [-1.49284294e-02 -8.03157594e-03 -5.72132552e-03  1.44607564e-02
  -7.64313787e-02 -3.21682580e-02  9.74086404e-01 -2.09164798e-01]
 [ 4.31406358e-03  6.69003325e-03  1.06630046e-02  7.22869951e-03
   2.46421322e-02 -2.80774757e-02  2.10808083e-01  9.76696014e-01]]",0
5,6,8,0.9,1.4103423357009888,"[[ 9.9191737e-01 -7.1727224e-02  2.9237468e-02 -2.7209599e-02
   4.0403917e-02 -8.7044552e-02 -7.8555662e-03  9.4339000e-03]
 [ 7.3235892e-02  9.9163657e-01  6.9384880e-02  5.0161500e-02
   2.3474870e-02  3.7919067e-02 -4.1359201e-02 -1.6230997e-02]
 [-4.0454086e-02 -5.3017776e-02  9.7862548e-01 -1.8548165e-01
  -3.2246809e-02 -4.4072393e-02  7.4029095e-03  2.0107327e-02]
 [-1.1582806e-02  6.4203314e-02 -1.8189768e-01 -9.7846937e-01
  -2.5183592e-02  4.5289740e-02  4.8736729e-02  1.3930040e-02]
 [-4.0550191e-02 -2.3962533e-02  2.5940796e-02 -3.1380806e-02
   9.9626333e-01  4.3374732e-02 -3.9842397e-02  1.0700946e-02]
 [ 8.4323220e-02 -4.7607843e-02  4.9768098e-02  3.4275513e-02
  -4.1539758e-02  9.9159533e-01  9.8291552e-04  4.4536497e-02]
 [ 5.5183768e-03  4.1430768e-02 -1.4897314e-03  5.2673433e-02
   3.6890622e-02 -1.5820691e-02  9.2922729e-01  3.6111182e-01]
 [-1.3437176e-02  4.6828301e-03 -1.9604351e-02 -1.9134145e-03
  -2.2702552e-02 -3.9984848e-02 -3.6158797e-01  9.3088633e-01]]",0
6,7,8,0.9,1.5252019166946411,"[[ 0.97977644 -0.09916778  0.09058905 -0.05267242  0.05465886  0.07790876
  -0.0643862  -0.07758995]
 [ 0.11340407  0.98720145 -0.10127182 -0.0013173   0.01880516 -0.03712353
   0.0214433   0.0111136 ]
 [-0.08610312  0.11373661  0.9863426   0.02429916 -0.00687945  0.05561027
   0.00944889 -0.05439829]
 [-0.06176325  0.00863304  0.01692395 -0.99446416  0.01275853 -0.01499294
  -0.06345855 -0.04950627]
 [-0.04055901 -0.01904746  0.01689428  0.0148498   0.9845276  -0.16018999
   0.00545137  0.05001118]
 [-0.08580578  0.03783866 -0.07080244 -0.00153553  0.16213492  0.9744024
  -0.02685906 -0.09859495]
 [ 0.06542795 -0.00949969  0.05520068 -0.05850692 -0.02902529  0.11634886
   0.06471318  0.985186  ]
 [ 0.05158242 -0.02652766 -0.00584765 -0.06347099  0.0048903   0.0240155
   0.99314624 -0.07505131]]",0
7,8,10,0.9,2.0430240631103516,"[[ 9.92857397e-01 -3.97195891e-02  8.33691563e-03  2.73378100e-02
   1.64149739e-02 -8.32504500e-03  4.93281074e-02 -3.49797346e-02
   7.36932456e-02  4.91259620e-02]
 [ 4.42274697e-02  9.91971493e-01 -6.52785525e-02 -3.03188767e-02
  -5.52651249e-02 -1.19158402e-02  3.44495028e-02  2.95796338e-02
  -6.50102796e-04 -5.99788949e-02]
 [ 1.35973599e-02  4.48025391e-02  9.65610325e-01 -1.49612829e-01
  -4.75221276e-02  3.16479355e-02 -3.94201688e-02  1.30350158e-01
  -1.36971623e-02 -1.45009771e-01]
 [ 2.62344275e-02 -3.55342515e-02 -1.39224529e-01 -9.83881414e-01
   1.53557919e-02 -3.58313918e-02 -4.64579500e-02 -8.24127197e-02
  -1.15510505e-02  6.29374944e-03]
 [-3.09292274e-03  4.80472632e-02  1.50858164e-02  8.07189848e-04
   9.83536124e-01  1.02297261e-01 -8.56299012e-04  7.79262185e-02
  -2.92202942e-02 -1.12776458e-01]
 [ 1.13933841e-02  1.87097955e-02 -1.40186679e-02 -2.07230859e-02
  -8.26601461e-02  9.76537466e-01 -1.00588024e-01 -9.83661264e-02
  -6.48648813e-02  1.20145373e-01]
 [-4.88527045e-02 -1.18956261e-03  1.04728393e-01 -8.23380984e-03
   3.48196216e-02  2.37529576e-02  8.19120586e-01 -5.36021590e-01
  -1.62760437e-01  5.56671200e-03]
 [ 1.18553424e-02  5.50775304e-02  1.01679027e-01  8.39608908e-02
   6.88399822e-02 -1.45954818e-01 -5.57791114e-01 -7.69986570e-01
  -2.19552681e-01  3.43874656e-02]
 [-8.19009840e-02  2.07005274e-02  5.52124791e-02 -9.15029814e-05
   4.68006022e-02  3.83398645e-02  7.37051596e-05 -2.66939640e-01
   9.56056833e-01  2.92169172e-02]
 [-4.50631008e-02  7.08714873e-02  1.38214275e-01 -1.94786433e-02
   1.08924121e-01 -1.00380644e-01  2.14389339e-02  8.31554011e-02
  -2.11562309e-02  9.71442819e-01]]",0
8,9,11,0.9,2.3230175971984863,"[[ 0.8886482  -0.35507506 -0.10367873 -0.01135227  0.07276241  0.04998038
  -0.1211559   0.15549807 -0.09013301 -0.06878468 -0.11765152]
 [ 0.35242674  0.8907146   0.17440721 -0.05591134  0.08290782 -0.09343483
  -0.05386456  0.01216674 -0.0361642  -0.16667134  0.03374201]
 [ 0.03791064 -0.19627368  0.95055485 -0.21666938  0.0018464   0.00677877
   0.05644699  0.01024632 -0.00776988  0.07640675 -0.01733298]
 [ 0.09816986  0.02427189  0.18940032  0.932097   -0.07403814 -0.11206211
   0.18223406 -0.03461481  0.01847114  0.17671251 -0.03287184]
 [-0.08846262 -0.05140275 -0.01153534  0.03253937  0.95635474 -0.22595912
   0.06916918  0.04748072  0.04376811  0.07030483 -0.09365383]
 [ 0.0145506   0.1104544   0.01230638  0.0715766   0.21694131  0.94126564
   0.10485685 -0.03216824 -0.03839496  0.17617723  0.06874965]
 [ 0.02173113  0.00201754  0.05039474  0.07881822  0.05286803  0.01173375
  -0.8101269  -0.40628305  0.28855866  0.2832876   0.0543093 ]
 [-0.11344786  0.04572698  0.03931262  0.07822126 -0.0356683   0.06463896
  -0.26380453  0.85573345  0.40930077  0.0321366   0.03862353]
 [ 0.11867196 -0.06324448  0.00341188 -0.01141085  0.01207286  0.06280655
   0.29707703 -0.26989943  0.8134792  -0.3887511   0.06089865]
 [ 0.04124881 -0.11042538  0.02640939  0.07602071  0.09873138 -0.05188771
  -0.04832264  0.02799689 -0.14205325 -0.1808439   0.95456034]
 [-0.19457851 -0.091135    0.11969653  0.23784901  0.08190224  0.16785878
  -0.3372783  -0.01023678 -0.2324998  -0.79330087 -0.2254013 ]]",0
9,10,12,0.9,2.257425546646118,"[[ 0.9285608   0.30453643 -0.08886191  0.06314944 -0.0103469  -0.04614835
   0.08382482 -0.052777    0.1007475  -0.06809792  0.07794082 -0.01540463]
 [ 0.07791542 -0.46664116 -0.8696396   0.04980855 -0.05085763 -0.0230359
  -0.04662614 -0.0103725  -0.02855143 -0.02493022 -0.10184497 -0.01461576]
 [-0.29344797  0.7642239  -0.45553717  0.04443535  0.32452446 -0.06624956
  -0.04774239 -0.01762465 -0.02680423  0.01403052  0.05713284  0.06234694]
 [-0.05635545 -0.00336856  0.07875562  0.9630693  -0.06577452 -0.14817339
   0.01200701 -0.05254092  0.03476454  0.01454064 -0.17914864  0.02017835]
 [-0.09022027  0.23034059 -0.09491291 -0.06977464 -0.87488616 -0.28750595
   0.00539686  0.00238268 -0.1654768   0.09665079  0.15579842  0.12573424]
 [ 0.01303778  0.07907639 -0.06076027  0.16429298 -0.1808363   0.8880966
   0.03576408  0.08897738 -0.21096462 -0.04194405  0.14352706  0.2557621 ]
 [ 0.01618018  0.01560401  0.00941491  0.04185918 -0.0991763   0.11542424
  -0.8650075  -0.03739262  0.410988    0.07056262  0.18935387 -0.12293843]
 [-0.00849037 -0.0113837  -0.01795868  0.05752988  0.00679202 -0.1142751
   0.03323211  0.92342573  0.17895898 -0.2683008   0.14732532  0.05937628]
 [ 0.0267319  -0.03277942  0.06565857  0.02607327  0.06973968 -0.14528063
  -0.31814036 -0.13302895 -0.5473006  -0.7323605   0.10996661  0.01890883]
 [-0.01321855 -0.11345775 -0.02607484  0.15971148  0.12512629 -0.04272446
   0.12105857  0.00822794 -0.24834396  0.26398996  0.7710279  -0.45023394]
 [-0.18119745  0.02668106 -0.06064604  0.01222778 -0.17218198  0.11887845
   0.3468794  -0.28445554  0.5618883  -0.54743046  0.20401882 -0.24614418]
 [-0.00714559 -0.17638688  0.01827041  0.02818866  0.17171912 -0.19019648
   0.03913507 -0.18253967  0.19326288  0.02334853  0.4444786   0.79481876]]",0
