layer,level_from,level_to,G,boot_id
0,1,2,0.937551770891462,0
0,2,3,0.9757110533260164,0
0,3,4,0.9434419614928109,0
0,4,5,0.9448150651795524,0
0,5,6,0.981700116679782,0
0,6,7,0.970720941112155,0
0,7,8,0.977376830010187,0
0,8,9,0.9809824568884713,0
0,9,10,0.9679751821926662,0
1,1,2,0.9376763502756754,0
1,2,3,0.9313392781075978,0
1,3,4,0.9161332306407747,0
1,4,5,0.9113963700476146,0
1,5,6,0.9355420839218866,0
1,6,7,0.9268750122615269,0
1,7,8,0.9364295772143773,0
1,8,9,0.9258678016208467,0
1,9,10,0.9073334165981838,0
2,1,2,0.9148424579983666,0
2,2,3,0.9090249112674168,0
2,3,4,0.9034753129595802,0
2,4,5,0.9141416265850976,0
2,5,6,0.9115651675633022,0
2,6,7,0.9202899450347537,0
2,7,8,0.9220713064784095,0
2,8,9,0.9034870153381711,0
2,9,10,0.8849547164780753,0
3,1,2,0.8481170449938092,0
3,2,3,0.9089069934118361,0
3,3,4,0.8557505323773339,0
3,4,5,0.8772081079937163,0
3,5,6,0.9035115838050842,0
3,6,7,0.9079669004394895,0
3,7,8,0.9138979145458767,0
3,8,9,0.8750324362800235,0
3,9,10,0.8590180930637178,0
4,1,2,0.8546592139062428,0
4,2,3,0.9090004989079067,0
4,3,4,0.8809245030085245,0
4,4,5,0.9075860239210582,0
4,5,6,0.8889915091650826,0
4,6,7,0.8958035281726292,0
4,7,8,0.9046903110685802,0
4,8,9,0.8681210847128005,0
4,9,10,0.868195150579725,0
5,1,2,0.8283357137725467,0
5,2,3,0.8932567437489828,0
5,3,4,0.893959070955004,0
5,4,5,0.9056368271509806,0
5,5,6,0.866066799277351,0
5,6,7,0.8789407639276414,0
5,7,8,0.889191000234513,0
5,8,9,0.845351273105258,0
5,9,10,0.8571664208457583,0
6,1,2,0.8043100606827509,0
6,2,3,0.8573394729977563,0
6,3,4,0.8851267695426941,0
6,4,5,0.8964115721838815,0
6,5,6,0.8461844069617135,0
6,6,7,0.8483216649010068,0
6,7,8,0.8650018941788447,0
6,8,9,0.8089236390023005,0
6,9,10,0.8213152629988534,0
7,1,2,0.7849530009996324,0
7,2,3,0.8471399744351705,0
7,3,4,0.8526568242481777,0
7,4,5,0.8636298264775958,0
7,5,6,0.8211766992296491,0
7,6,7,0.8418779089337304,0
7,7,8,0.8556169243085952,0
