metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
mean_angle,0.46690151661634444,0.46792708098888397,-0.0010255643725395336,-0.003876808241009733,0.0018340335637331464,0.498,-0.09415588603319433,100,100,0,1,0.498
mean_angle,0.6158002400398255,0.6021384823322297,0.013661757707595812,0.012073366820812257,0.015344819769263269,0.0,2.3012012439054375,100,100,1,2,0.0
mean_angle,0.6103366231918335,0.587461918592453,0.022874704599380458,0.021083901345729832,0.02447996433079249,0.0,3.766165024091678,100,100,2,3,0.0
mean_angle,0.5111710959672928,0.4794750639796257,0.03169603198766713,0.030372416354715874,0.03306118615716698,0.0,6.509031350380563,100,100,3,4,0.0
mean_angle,0.5057413879036904,0.5096477374434472,-0.0039063495397567705,-0.005894701756536924,-0.001830102659761909,0.0,-0.542618504440525,100,100,4,5,0.0
mean_angle,0.5013093233108521,0.5400663578510284,-0.038757034540176316,-0.04147775604575876,-0.03604795031249518,0.0,-4.020793900944082,100,100,5,6,0.0
mean_angle,0.5343075305223465,0.5094589903950691,0.02484854012727733,0.02238742185384032,0.027541011624038183,0.0,2.6758805716817244,100,100,6,7,0.0
mean_angle,0.5821123987436294,0.606308541893959,-0.024196143150329585,-0.02885730236768719,-0.018755614727735497,0.0,-1.2579104074616283,100,100,7,8,0.0
mean_angle,0.7006984162330627,0.7162493032217025,-0.015550886988639823,-0.02276109309494493,-0.008160455182194732,0.0,-0.5779060812534296,100,100,8,9,0.0
mean_angle,0.5990613460540771,0.608330944776535,-0.009269598722457917,-0.016075854569673552,-0.0020297739803790595,0.014,-0.34476346417939946,100,100,9,10,0.0154
mean_angle,0.7721651983261109,0.8367907428741455,-0.0646255445480346,-0.0738107834905386,-0.055853119418024996,0.0,-1.8629350054622924,100,100,10,11,0.0
max_angle,0.5799691855907441,0.610949210524559,-0.03098002493381491,-0.033840791389346175,-0.02818662166595455,0.0,-2.9867808849530633,100,100,0,1,0.0
max_angle,0.7735427409410477,0.6912284469604493,0.08231429398059842,0.0799366494417191,0.0845483755767346,0.0,10.129916909534831,100,100,1,2,0.0
max_angle,0.8376224541664123,0.7866808295249939,0.05094162464141849,0.048605614945292544,0.05387658004462713,0.0,5.414721419900836,100,100,2,3,0.0
max_angle,0.6395863652229309,0.5565427762269973,0.08304358899593356,0.08165361271798605,0.08436215434968468,0.0,17.168757185705214,100,100,3,4,0.0
max_angle,0.6565758538246155,0.6529774260520935,0.0035984277725219505,-0.0011425169408321723,0.008152632847428284,0.124,0.21706524225916532,100,100,4,5,0.1364
max_angle,0.5703552275896072,0.8262882733345032,-0.25593304574489595,-0.2643402091115713,-0.24701641316711903,0.0,-8.04599402551006,100,100,5,6,0.0
max_angle,0.6829182058572769,0.5877409875392914,0.09517721831798553,0.08809551563858985,0.10272849991917611,0.0,3.579731866161532,100,100,6,7,0.0
max_angle,0.6984664028882981,0.8545157301425934,-0.15604932725429532,-0.17164576351642608,-0.13245385979115956,0.0,-2.1481278196887716,100,100,7,8,0.0
max_angle,0.904869122505188,1.0083487331867218,-0.10347961068153377,-0.12682761505246176,-0.07718621462583544,0.0,-1.1470768627985033,100,100,8,9,0.0
max_angle,0.8787479305267334,0.8667285740375519,0.01201935648918151,-0.012840030163526625,0.04345267851650721,0.38,0.11581049227503314,100,100,9,10,0.37999999999999995
max_angle,1.2698005878925323,1.3539009118080139,-0.08410032391548161,-0.10288628074526793,-0.06500681111216544,0.0,-1.200158802361268,100,100,10,11,0.0
