metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
mean_angle,0.46639240950345995,0.47245591282844546,-0.006063503324985509,-0.008899982787668712,-0.003223498545587024,0.0,-0.5577530517742131,100,100,0,1,0.0
mean_angle,0.605227735042572,0.6098749053478241,-0.00464717030525208,-0.00618258908390997,-0.003193188846111286,0.0,-0.8631918334856764,100,100,1,2,0.0
mean_angle,0.6437727832794189,0.5953485888242721,0.048424194455146785,0.04289873731136318,0.05407867524027824,0.0,2.376651354391235,100,100,2,3,0.0
mean_angle,0.5469287073612213,0.4809807786345482,0.06594792872667316,0.0584976749271154,0.07355119755119083,0.0,2.346584151109218,100,100,3,4,0.0
mean_angle,0.5299335080385208,0.5355103826522827,-0.005576874613761884,-0.008403271272778515,-0.003113575294613874,0.0,-0.5887582293521615,100,100,4,5,0.0
mean_angle,0.5104719066619873,0.5448758000135422,-0.034403893351554915,-0.03956482559442516,-0.02961337520927191,0.0,-1.9312214443295799,100,100,5,6,0.0
mean_angle,0.5547306489944458,0.5432268625497818,0.011503786444663988,0.0022240904271602162,0.020176525190472597,0.01,0.3598182419775996,100,100,6,7,0.012222222222222223
mean_angle,0.6188710689544678,0.6199762505292893,-0.0011051815748215343,-0.006798839375376616,0.004877388551831246,0.694,-0.052900530342218505,100,100,7,8,0.694
mean_angle,0.7015136992931366,0.7114508479833603,-0.009937148690223774,-0.015798292934894622,-0.004502160102128997,0.002,-0.46971623650879746,100,100,8,9,0.00275
mean_angle,0.6043084037303924,0.6077508097887039,-0.0034424060583114757,-0.009927971303462985,0.002570783481001852,0.316,-0.1472671508178822,100,100,9,10,0.3476
mean_angle,0.7051662337779999,0.7638305425643921,-0.05866430878639217,-0.06842787995934488,-0.048964267328381515,0.0,-1.7073039388880917,100,100,10,11,0.0
max_angle,0.5802910739183426,0.6208155924081802,-0.040524518489837624,-0.04324626186490063,-0.037776149705052296,0.0,-4.10999104952843,100,100,0,1,0.0
max_angle,0.8107327324151993,0.7395662808418274,0.07116645157337187,0.0666067540049553,0.07572902578115469,0.0,4.170633305941533,100,100,1,2,0.0
max_angle,0.9492484372854233,0.7859754079580307,0.16327302932739263,0.12962937310338024,0.20361293792724602,0.0,1.2699792129580716,100,100,2,3,0.0
max_angle,0.8001547008752823,0.5952722591161728,0.20488244175910952,0.1525596622675658,0.25752534370124336,0.0,1.1033929130882771,100,100,3,4,0.0
max_angle,0.6745169073343277,0.7684022033214569,-0.09388529598712925,-0.11532017000019558,-0.0751634439826011,0.0,-1.3694007567720936,100,100,4,5,0.0
max_angle,0.6403971880674362,0.9295285665988922,-0.289131378531456,-0.3323542180806398,-0.2506056867539883,0.0,-2.019411519812895,100,100,5,6,0.0
max_angle,0.8480040138959885,0.8712087279558182,-0.023204714059829712,-0.08030232386291027,0.031259279862046234,0.378,-0.11266279396148154,100,100,6,7,0.37800000000000006
max_angle,0.9256989365816116,0.9927821445465088,-0.0670832079648972,-0.10575532087683676,-0.0323298008143902,0.0,-0.5015874066131242,100,100,7,8,0.0
max_angle,1.1575219136476518,1.0878114134073258,0.06971050024032599,0.029667720422148575,0.1121020069867372,0.002,0.4570513319921508,100,100,8,9,0.0021999999999999997
max_angle,1.1241310721635818,1.0088506215810775,0.11528045058250425,0.06952240546047692,0.1601854697018862,0.0,0.7152263314699557,100,100,9,10,0.0
max_angle,1.1911185324192046,1.3562787556648255,-0.16516022324562085,-0.17579603999853124,-0.15441932651400558,0.0,-4.148060663504707,100,100,10,11,0.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,0,1,1.0
k_used,6.61,6.15,0.45999999999999996,0.33999999999999986,0.5800000000000001,0.0,1.0707945578969267,100,100,1,2,0.0
k_used,7.1,6.47,0.6299999999999999,0.49975,0.7599999999999998,0.0,1.2548140120227311,100,100,2,3,0.0
k_used,7.51,6.78,0.7299999999999995,0.5999999999999996,0.8600000000000003,0.0,1.5120620118326162,100,100,3,4,0.0
k_used,7.51,6.78,0.7299999999999995,0.6000000000000005,0.8600000000000003,0.0,1.5120620118326162,100,100,4,5,0.0
k_used,7.63,7.27,0.3600000000000003,0.20999999999999996,0.5099999999999998,0.0,0.6708439221390646,100,100,5,6,0.0
k_used,8.06,7.81,0.2500000000000009,0.07974999999999922,0.4299999999999997,0.012,0.3860602475698639,100,100,6,7,0.0132
k_used,9.08,7.88,1.2000000000000002,0.9800000000000004,1.41025,0.0,1.5047573858742398,100,100,7,8,0.0
k_used,10.23,7.83,2.4000000000000004,2.120000000000001,2.6500000000000004,0.0,2.6547751172647476,100,100,8,9,0.0
k_used,11.19,6.68,4.51,4.23,4.76025,0.0,4.7150897938142915,100,100,9,10,0.0
k_used,5.87,6.24,-0.3700000000000001,-0.5099999999999998,-0.21999999999999975,0.0,-0.6985416208355835,100,100,10,11,0.0
