metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,q_value
pc1,0.2790298703312874,0.24458033844828606,0.034449531883001344,0.033434022307395936,0.035348436426371366,0.0,9.560714006951729,100,100,0,0.0
pc1,0.26330739945173265,0.28733232587575913,-0.024024926424026483,-0.025227157510817052,-0.022744365580380007,0.0,-5.201777796845376,100,100,1,0.0
pc1,0.31156831234693527,0.2600304126739502,0.051537899672985055,0.05028788360953333,0.052819748863577834,0.0,11.262205536535168,100,100,2,0.0
pc1,0.36061081260442734,0.2630164620280266,0.09759435057640076,0.09599665410816667,0.0992464431747794,0.0,16.536554752324903,100,100,3,0.0
pc1,0.3369364878535271,0.2576226705312729,0.07931381732225418,0.07773210592567921,0.08099255706369878,0.0,13.951324096565187,100,100,4,0.0
pc1,0.36110043078660964,0.24585367634892463,0.115246754437685,0.11326910754665732,0.11739626692980529,0.0,14.59826289066667,100,100,5,0.0
pc1,0.37523995339870453,0.25655234068632127,0.11868761271238326,0.11583574003726242,0.12196060470491649,0.0,11.212432206061669,100,100,6,0.0
pc1,0.3185044723749161,0.29430504858493806,0.024199423789978025,0.0215546040832996,0.026874499499797828,0.0,2.570942183508621,100,100,7,0.0
pc1,0.29197265148162843,0.3206459251046181,-0.02867327362298966,-0.031151541575789442,-0.026046857781708233,0.0,-3.0873423963321267,100,100,8,0.0
pc1,0.2853690156340599,0.3090408045053482,-0.02367178887128829,-0.02587033515423534,-0.021737083524465548,0.0,-3.0427069231631845,100,100,9,0.0
pc1,0.3434249532222748,0.4776746928691864,-0.13424973964691161,-0.13962284081429244,-0.12833948686718938,0.0,-6.264660815082932,100,100,10,0.0
pc1,0.7379152590036392,0.6473917502164841,0.0905235087871551,0.08392766807973386,0.09657284212112421,0.0,3.733630446906706,100,100,11,0.0
pc2,0.2106350666284561,0.22681920871138572,-0.01618414208292962,-0.016707865808159087,-0.015604597091674818,0.0,-8.045274026041026,100,100,0,0.0
pc2,0.23898738116025925,0.20838866293430328,0.030598718225955973,0.029488672204315673,0.03174639891460536,0.0,7.316514249329343,100,100,1,0.0
pc2,0.17425815865397454,0.2248349429666996,-0.050576784312725054,-0.051522209204733355,-0.04977571447193624,0.0,-16.15623722551269,100,100,2,0.0
