metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
residual_fro,1.0451241368055344,1.0496961534023286,-0.004572016596794182,-0.010578965991735545,0.0014939230978488016,0.154,-0.19723272970789218,100,100,0,1,0.154
residual_fro,1.3703069853782655,1.333022323846817,0.03728466153144838,0.03387791633605948,0.040946542710065724,0.0,2.9169892091279235,100,100,1,2,0.0
residual_fro,1.3661255824565888,1.3114258587360381,0.05469972372055065,0.05091563734412176,0.058081900089979197,0.0,4.213488322173959,100,100,2,3,0.0
residual_fro,1.1405376255512238,1.068214453458786,0.07232317209243777,0.06954645666480085,0.07522635751962672,0.0,7.071515106994649,100,100,3,4,0.0
residual_fro,1.131954823732376,1.1384388530254363,-0.006484029293060356,-0.010791651546955161,-0.002046122640371445,0.004,-0.416552007577923,100,100,4,5,0.004888888888888889
residual_fro,1.113800629377365,1.2288552165031432,-0.11505458712577821,-0.121991816997528,-0.10777606582641616,0.0,-4.727345152674352,100,100,5,6,0.0
residual_fro,1.192531784772873,1.132971991300583,0.05955979347229001,0.05389385750889787,0.06571039643883717,0.0,2.7731045554963827,100,100,6,7,0.0
residual_fro,1.2911453306674958,1.3635460293293,-0.07240069866180421,-0.0842064781785011,-0.05840839111804966,0.0,-1.4816109265257427,100,100,7,8,0.0
residual_fro,1.5529601132869721,1.5970190858840942,-0.044058972597122104,-0.06085900402069097,-0.025912308543920442,0.0,-0.6802211380330039,100,100,8,9,0.0
residual_fro,1.3539765536785127,1.3755794429779054,-0.02160288929939269,-0.03932399666309341,-0.0023118427693842344,0.026,-0.3063424173401024,100,100,9,10,0.028599999999999997
residual_fro,1.7804285740852357,1.8993727207183837,-0.118944146633148,-0.13918423303961758,-0.09974971234798435,0.0,-1.598763540796439,100,100,10,11,0.0
