layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,5,,0.46107974648475647,0.5742030143737793,[0.36940324 0.42267293 0.44279408 0.49632552 0.574203  ]
1,2,5,,0.6133519411087036,0.7713940143585205,[0.49909717 0.54139507 0.56670624 0.68816733 0.771394  ]
2,3,5,,0.6067357063293457,0.8347322940826416,[0.49138373 0.5224092  0.5465562  0.6385971  0.8347323 ]
3,4,5,,0.5085412263870239,0.6375610828399658,[0.42062    0.47335613 0.48563716 0.52553153 0.6375611 ]
4,5,5,,0.5012860298156738,0.6540826559066772,[0.42393807 0.44191214 0.4621719  0.52432543 0.65408266]
5,6,5,,0.4949420392513275,0.5629051327705383,[0.4350701  0.45626992 0.48963296 0.5308321  0.56290513]
6,7,5,,0.5267564058303833,0.6711649894714355,[0.4417786  0.4809309  0.4978865  0.54202086 0.671165  ]
7,8,5,,0.5696541666984558,0.6758769750595093,[0.5149987  0.52223665 0.5460618  0.589097   0.675877  ]
8,9,5,,0.6919631958007812,0.8499646186828613,[0.56633073 0.61500514 0.6901309  0.7383844  0.8499646 ]
9,10,5,,0.5798014402389526,0.805880069732666,[0.4385991  0.48308128 0.56456953 0.606877   0.80588007]
10,11,5,,0.7377918362617493,1.1594420671463013,[0.46083793 0.49891394 0.5488441  1.0209211  1.1594421 ]
