layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,6,0.9,0.4608469009399414,0.5747121572494507,[0.36699295 0.39927405 0.4305064  0.4858044  0.5077916  0.57471216]
1,2,7,0.9,0.6040337681770325,0.8258805274963379,"[0.47646517 0.5077279  0.5362273  0.5645565  0.64001364 0.67736524
 0.8258805 ]"
2,3,7,0.9,0.6335407495498657,0.8832936882972717,"[0.48365045 0.49994233 0.5298273  0.58332187 0.62131345 0.83343637
 0.8832937 ]"
3,4,8,0.9,0.5139832496643066,0.6598599553108215,"[0.40091175 0.43387768 0.46989992 0.47427264 0.49036652 0.5518099
 0.63086754 0.65985996]"
4,5,8,0.9,0.5233352780342102,0.6792084574699402,"[0.4174427  0.42280033 0.45030925 0.4764956  0.51495206 0.57838917
 0.64708453 0.67920846]"
5,6,8,0.9,0.502072811126709,0.6250125765800476,"[0.42614296 0.43955928 0.463067   0.47166762 0.5037463  0.53544974
 0.55193716 0.6250126 ]"
6,7,9,0.9,0.5970126390457153,1.2810864448547363,"[0.42288736 0.46265772 0.4748239  0.48520255 0.49040803 0.536163
 0.55701214 0.66287243 1.2810864 ]"
7,8,11,0.9,0.6598392724990845,1.1365941762924194,"[0.485442   0.49703103 0.50774634 0.518509   0.5375535  0.57133496
 0.61699504 0.7022315  0.81088144 0.873913   1.1365942 ]"
8,9,13,0.9,0.7285966873168945,1.3190933465957642,"[0.4844348  0.50600773 0.5340206  0.56905895 0.5815145  0.59143704
 0.638231   0.6581458  0.721655   0.8559009  0.95823246 1.0540253
 1.3190933 ]"
9,10,14,0.9,0.6248480677604675,1.3891814947128296,"[0.38563347 0.40760058 0.42593008 0.47296008 0.47775885 0.500668
 0.50882065 0.5457954  0.55977094 0.6712864  0.7122582  0.767207
 0.92300195 1.3891815 ]"
10,11,6,0.9,0.6970226168632507,1.164981722831726,[0.40971342 0.46270698 0.5026795  0.5778903  1.0641636  1.1649817 ]
