layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95
0,90,0.27740880846977234,0.2093178629875183,0.15538698434829712,0.12498761713504791,0.08290138095617294,0.06086287274956703,0.03160333260893822,0.02764984965324402,0.010185915045440197,0.0031919239554554224,5,6,8
1,90,0.26016557216644287,0.2380601018667221,0.14841419458389282,0.11226363480091095,0.07446636259555817,0.056532543152570724,0.029043234884738922,0.025410940870642662,0.011386621743440628,0.004784944001585245,6,7,9
2,90,0.3083954453468323,0.1728205680847168,0.15307800471782684,0.10712559521198273,0.07807862758636475,0.05383565276861191,0.03135589882731438,0.02736624889075756,0.010697571560740471,0.005611772183328867,6,7,11
3,90,0.35520532727241516,0.14906802773475647,0.1410553753376007,0.09256280213594437,0.0675203949213028,0.04742101952433586,0.031248033046722412,0.024023940786719322,0.017542224377393723,0.007554858922958374,6,8,14
4,90,0.33246472477912903,0.15738040208816528,0.14770397543907166,0.09406253695487976,0.07447336614131927,0.0514579601585865,0.032477643340826035,0.02671726793050766,0.011244685389101505,0.005442225839942694,6,8,14
5,90,0.3564840257167816,0.15336531400680542,0.1331910938024521,0.08968620002269745,0.07023748755455017,0.05536937713623047,0.027833187952637672,0.02530706860125065,0.008917676284909248,0.006564634386450052,6,8,16
6,90,0.36950811743736267,0.14779528975486755,0.1252734214067459,0.09560831636190414,0.06036452203989029,0.05102052167057991,0.024921894073486328,0.023190973326563835,0.008751241490244865,0.008285119198262691,7,9,19
7,90,0.312878280878067,0.16737203299999237,0.13031214475631714,0.09441624581813812,0.06490274518728256,0.05442672595381737,0.027183905243873596,0.026397982612252235,0.011266667395830154,0.008986806496977806,7,11,22
8,90,0.2858482301235199,0.17865274846553802,0.13339683413505554,0.09784838557243347,0.05863777920603752,0.05321657657623291,0.02695518359541893,0.022790659219026566,0.015330960974097252,0.01156680379062891,8,13,24
9,90,0.2787196636199951,0.15996108949184418,0.13313530385494232,0.09723801165819168,0.06154196709394455,0.05447997897863388,0.02784048579633236,0.022045627236366272,0.01665607839822769,0.013652589172124863,9,14,26
10,90,0.33623388409614563,0.14743661880493164,0.12685197591781616,0.06880445033311844,0.06417875736951828,0.04452945664525032,0.02664024569094181,0.021583836525678635,0.017465241253376007,0.015241817571222782,9,14,26
11,90,0.7381080389022827,0.059604573994874954,0.040240995585918427,0.026001058518886566,0.02041342668235302,0.02021404728293419,0.016545651480555534,0.008779949508607388,0.006887264084070921,0.006001322064548731,4,6,12
