layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,left_out
0,81,0.276030957698822,0.20975805819034576,0.15532661974430084,0.12485825270414352,0.08297762274742126,0.060832612216472626,0.03153456375002861,0.027640527114272118,0.010975905694067478,0.0035022166557610035,6,6,8,sentence.1
1,81,0.2598411440849304,0.23745577037334442,0.14817219972610474,0.11217013001441956,0.07442507147789001,0.05619623139500618,0.02900390513241291,0.02533751353621483,0.012382088229060173,0.00516872201114893,6,7,9,sentence.1
2,81,0.30746522545814514,0.17257928848266602,0.15201081335544586,0.1070629358291626,0.07816771417856216,0.05371179059147835,0.03144461289048195,0.02725112996995449,0.011711165308952332,0.00619202945381403,6,7,11,sentence.1
3,81,0.3527550995349884,0.14861182868480682,0.140914186835289,0.09278670698404312,0.06755983829498291,0.04736822843551636,0.031201859936118126,0.023968467488884926,0.019162923097610474,0.008250503800809383,7,8,14,sentence.1
4,81,0.3300669193267822,0.15627501904964447,0.14868678152561188,0.0947202667593956,0.07436429709196091,0.05136353522539139,0.032332513481378555,0.026547184213995934,0.012296153232455254,0.005829399451613426,6,8,14,sentence.1
5,81,0.35084742307662964,0.15361520648002625,0.1346721351146698,0.09078499674797058,0.07053051143884659,0.05555614456534386,0.027904102578759193,0.02532215602695942,0.009809856303036213,0.006884594913572073,6,8,16,sentence.1
6,81,0.36206498742103577,0.14752978086471558,0.12791037559509277,0.09680531173944473,0.06127858906984329,0.05151006951928139,0.025078048929572105,0.023319901898503304,0.009358991868793964,0.008843914605677128,7,9,18,sentence.1
7,81,0.3079969882965088,0.16530044376850128,0.13246333599090576,0.09604217112064362,0.06530184298753738,0.054565250873565674,0.027417175471782684,0.02665337733924389,0.011865680105984211,0.009587271139025688,8,11,21,sentence.1
8,81,0.2807738184928894,0.17663171887397766,0.136153444647789,0.09873891621828079,0.05899852514266968,0.053647663444280624,0.026936231181025505,0.02349555864930153,0.015515339560806751,0.012535864487290382,8,12,23,sentence.1
9,81,0.2766767144203186,0.16029031574726105,0.13500648736953735,0.09672604501247406,0.061720941215753555,0.05314956232905388,0.02790451981127262,0.022560343146324158,0.01698264479637146,0.014563529752194881,9,14,25,sentence.1
10,81,0.3371679186820984,0.14833638072013855,0.12205962091684341,0.06962020695209503,0.0656432956457138,0.0444597490131855,0.02719474770128727,0.021868620067834854,0.01837041974067688,0.015267820097506046,9,14,25,sentence.1
11,81,0.7422153353691101,0.058385346084833145,0.04047395661473274,0.02572198212146759,0.020077254623174667,0.01945491135120392,0.016443343833088875,0.008438406512141228,0.007097442634403706,0.005991905461996794,4,6,12,sentence.1
0,81,0.27640867233276367,0.20959599316120148,0.15514986217021942,0.12481266260147095,0.08262265473604202,0.0606841966509819,0.03155102953314781,0.027621474117040634,0.010870188474655151,0.0035146696027368307,6,6,8,sentence.10
1,81,0.259147971868515,0.23789675533771515,0.14802870154380798,0.11227010190486908,0.07414135336875916,0.05638007074594498,0.029067957773804665,0.025385113433003426,0.012041489593684673,0.005166025832295418,6,7,9,sentence.10
2,81,0.30719563364982605,0.173195943236351,0.1521405130624771,0.10720635205507278,0.07775107026100159,0.05381406098604202,0.031348470598459244,0.027392396703362465,0.011452862992882729,0.0059641506522893906,6,7,11,sentence.10
3,81,0.35537415742874146,0.14761346578598022,0.14119400084018707,0.09270922839641571,0.06728629767894745,0.04724965617060661,0.031296130269765854,0.024064576253294945,0.01885361410677433,0.008310959674417973,6,8,14,sentence.10
4,81,0.3319622576236725,0.15706199407577515,0.1475266069173813,0.09413890540599823,0.07424814254045486,0.05120157077908516,0.03261394426226616,0.02671152539551258,0.012118448503315449,0.005859946366399527,6,8,14,sentence.10
5,81,0.3562382459640503,0.15332159399986267,0.13370652496814728,0.08949396759271622,0.07011871039867401,0.05496878921985626,0.027951369062066078,0.025273367762565613,0.009367906488478184,0.0071037523448467255,6,8,16,sentence.10
6,81,0.36834874749183655,0.14890430867671967,0.125609889626503,0.09544055163860321,0.06038346514105797,0.0504649393260479,0.025042356923222542,0.02306574024260044,0.009457260370254517,0.008512134663760662,7,9,18,sentence.10
7,81,0.3128207325935364,0.16831645369529724,0.1305309236049652,0.09414661675691605,0.06541506946086884,0.05398334935307503,0.026813501492142677,0.026149602606892586,0.010266902856528759,0.009571320377290249,7,11,21,sentence.10
8,81,0.2883102297782898,0.1801152378320694,0.13225841522216797,0.09814056754112244,0.058957941830158234,0.052647802978754044,0.026659252122044563,0.021303195506334305,0.014637871645390987,0.012583060190081596,8,12,23,sentence.10
9,81,0.2818634510040283,0.15736538171768188,0.1315506398677826,0.09894812107086182,0.061019595712423325,0.05575431510806084,0.027939913794398308,0.021043293178081512,0.01752588525414467,0.013880984857678413,9,14,24,sentence.10
10,81,0.3427422344684601,0.13988368213176727,0.1307113766670227,0.06920748949050903,0.06244298443198204,0.0443992093205452,0.02835785783827305,0.01993684656918049,0.017712851986289024,0.01569318398833275,9,14,24,sentence.10
