layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,1,5,,1.0324145555496216,"[[ 9.1923988e-01  3.8098431e-01 -9.4192706e-02  1.0144339e-02
   2.9559912e-02]
 [-3.7446129e-01  9.0703702e-01  3.5207551e-03  1.6890135e-01
  -9.2317350e-02]
 [ 9.0500288e-02  2.9556958e-02  9.9507737e-01  6.5689823e-03
  -2.6719417e-02]
 [ 3.9192222e-02 -1.3845943e-01  5.9879117e-04  9.6053797e-01
   2.3803209e-01]
 [-7.1066335e-02  1.0995517e-01  3.0593717e-02 -2.2066478e-01
   9.6603864e-01]]"
1,2,5,,1.3652628660202026,"[[-0.9613577   0.18049502 -0.08768957  0.14953583 -0.11472798]
 [-0.22392125 -0.94457537  0.0596539  -0.22750361  0.04816904]
 [-0.06671819  0.07326041  0.9920797   0.00532476 -0.07701374]
 [ 0.09883476 -0.253238    0.02105653  0.96204597  0.01124531]
 [-0.10691598  0.07551464  0.06392529  0.01789998  0.9891712 ]]"
2,3,5,,1.3587288856506348,"[[ 0.9807276  -0.13701025  0.10765654  0.08570056  0.02161133]
 [-0.16953428 -0.7373536   0.6467293  -0.02784436 -0.09237787]
 [ 0.01580292  0.65964925  0.7482857  -0.05652524 -0.03855566]
 [-0.09150293  0.02474438  0.05943008  0.98980516  0.08814015]
 [-0.02844249 -0.04228975  0.08177926 -0.09471378  0.99082994]]"
3,4,5,,1.135020136833191,"[[ 0.9787847   0.05169282 -0.16320972 -0.08855944  0.06948571]
 [-0.16910629  0.6511153  -0.719184   -0.17340173 -0.01257185]
 [ 0.0757936   0.7542289   0.6481399   0.0711536  -0.01568323]
 [ 0.05971057  0.06332285 -0.18979925  0.9734987  -0.09328151]
 [-0.06382518  0.02248662 -0.00527749  0.09657415  0.9930087 ]]"
4,5,5,,1.122704267501831,"[[ 0.9845989   0.02279792 -0.17085953 -0.025143    0.01483716]
 [-0.03561878  0.99580145 -0.07067908 -0.03142409 -0.03358246]
 [ 0.17062572  0.07650295  0.97839737  0.07671964 -0.0434387 ]
 [ 0.01212219  0.01785837 -0.08908448  0.97399193 -0.2072148 ]
 [-0.00602183  0.04108666  0.02478103  0.20936652  0.97664076]]"
5,6,5,,1.099868655204773,"[[ 0.99713665 -0.06136864  0.03140556 -0.01962185  0.02410496]
 [ 0.0579132   0.98941875  0.11092726  0.06589099  0.03240461]
 [-0.03949968 -0.09336469  0.97584546 -0.19107065 -0.03066627]
 [-0.00756756  0.08700709 -0.18430978 -0.9787326  -0.02202013]
 [-0.02733233 -0.03157795  0.02154839 -0.02911797  0.9984706 ]]"
6,7,5,,1.1756551265716553,"[[ 0.98725116 -0.09311555  0.10518602  0.04348404  0.06090613]
 [ 0.10582644  0.9858978  -0.12837102 -0.00522024  0.01732131]
 [-0.09144843  0.13783486  0.98576814 -0.02804966  0.01063641]
 [-0.04660585  0.01273476  0.02204172  0.99829763  0.02411895]
 [-0.06000723 -0.0132101  -0.01523548 -0.02639974  0.99764496]]"
7,8,5,,1.2623974084854126,"[[ 9.9936378e-01 -2.1970157e-02  5.3763702e-03  2.7428940e-02
   2.8430414e-03]
 [ 2.4020143e-02  9.9493486e-01 -4.9891163e-02 -6.2678374e-02
  -5.5767059e-02]
 [ 1.4244944e-04  3.8058180e-02  9.8523265e-01 -1.6621137e-01
  -1.5559444e-02]
 [-2.6298985e-02  7.0054837e-02  1.6304454e-01  9.8369169e-01
  -1.2953562e-02]
 [-1.8434068e-03  5.7147585e-02  1.4670033e-02  6.5944861e-03
   9.9823439e-01]]"
8,9,5,,1.5288058519363403,"[[ 0.87799567 -0.4525613  -0.13379487 -0.00643407  0.07980892]
 [ 0.4622853   0.8566955   0.19986944 -0.03974605  0.10410379]
 [ 0.02139536 -0.23974839  0.9484986  -0.20484084 -0.02129501]
 [ 0.0393449  -0.01316315  0.20423424  0.9742046  -0.08655917]
 [-0.11580192 -0.06007198  0.02810321  0.08570012  0.9873434 ]]"
9,10,5,,1.3041114807128906,"[[ 0.94411767  0.23339413  0.22085175 -0.07129342 -0.01762665]
 [ 0.09947164 -0.872598    0.47175848 -0.0782351   0.00113392]
 [-0.27794582  0.38887784  0.8060521   0.16529174 -0.30737418]
 [-0.05657442  0.01908274 -0.08515115 -0.8066658  -0.581786  ]
 [-0.13525018  0.1803046   0.2677645  -0.5574635   0.7528176 ]]"
10,11,5,,1.7033241987228394,"[[ 0.9259574   0.14529422 -0.16854484  0.19976786 -0.23060358]
 [ 0.01410529  0.87822646  0.3643173  -0.0429282   0.30651158]
 [ 0.3076757  -0.44306004  0.77245814 -0.07507864  0.3266575 ]
 [-0.2145953   0.06546313  0.44459942  0.6048303  -0.6214299 ]
 [-0.0410919  -0.08378693 -0.21096289  0.7660245   0.59999365]]"
