layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,1,6,0.9,1.130507230758667,"[[ 0.9193673   0.38076696 -0.09386596  0.01003526  0.02943833  0.00145878]
 [-0.3729758   0.90498316  0.00538242  0.16815409 -0.09401257 -0.06893006]
 [ 0.0883026   0.03268538  0.99194115  0.00777618 -0.02427073  0.08085527]
 [ 0.03981073 -0.13932791  0.00143055  0.96021175  0.237335   -0.02581028]
 [-0.07050133  0.10922272  0.03109545 -0.2208941   0.9653619  -0.03761811]
 [-0.03605661  0.06009812 -0.07901918  0.02760641  0.03813581  0.9932913 ]]"
1,2,7,0.9,1.5961438417434692,"[[-0.9617322   0.17946494 -0.08554333  0.14748818 -0.10304927 -0.02968651
  -0.04788084]
 [-0.22506207 -0.94069785  0.05819036 -0.22389868  0.04100987  0.04480203
   0.08502255]
 [-0.06468935  0.07037892  0.99148566  0.00408875 -0.08188061  0.01571027
  -0.02915948]
 [ 0.09910377 -0.256013    0.02162741  0.95903826  0.01751968 -0.04769286
  -0.04280352]
 [-0.09681819  0.07982205  0.05891997  0.03320738  0.9177899   0.36874536
   0.03700021]
 [ 0.02291669  0.01179556 -0.04298816  0.05730724 -0.37139648  0.92311686
   0.06421433]
 [-0.02264807  0.07663769  0.02156566  0.0629183  -0.02034882 -0.08044993
   0.9911123 ]]"
2,3,7,0.9,1.6849312782287598,"[[ 0.9767499  -0.13748133  0.107778    0.08471519  0.02397615 -0.0812355
   0.03304045]
 [-0.1644995  -0.73183906  0.64466447 -0.02547584 -0.09475521  0.01717529
  -0.10879695]
 [ 0.01697965  0.6595835   0.7477772  -0.05723693 -0.03981265  0.01630806
   0.01906311]
 [-0.08449797  0.02691347  0.05696572  0.98884386  0.08151325  0.0661264
  -0.00783443]
 [-0.01440239 -0.04418438  0.07953382 -0.09756149  0.97238964  0.19089663
  -0.00365038]
 [ 0.08150384 -0.01870902 -0.02400621 -0.0382443  -0.18919545  0.959548
   0.18558237]
 [-0.06797806 -0.08621767  0.05893941  0.01025693  0.02967526 -0.17689882
   0.97580355]]"
3,4,8,0.9,1.4555976390838623,"[[ 0.97519433  0.05231373 -0.16305937 -0.08714788  0.07460368 -0.00099935
  -0.02732917  0.07591138]
 [-0.16826425  0.6523111  -0.71567106 -0.17242765 -0.01578071 -0.02963233
   0.05475106  0.01167022]
 [ 0.07432275  0.75183827  0.6413991   0.06955072 -0.01009571  0.06342225
  -0.08701938 -0.0358953 ]
 [ 0.06070826  0.06223064 -0.19206142  0.9721641  -0.09355833  0.00318172
  -0.02149932 -0.03501206]
 [-0.05529657  0.02412675  0.00201472  0.09653438  0.9756679  -0.02247068
   0.16163823 -0.09207354]
 [-0.00923746 -0.02822067 -0.06185752 -0.01117436  0.02130554  0.9972171
   0.01227439 -0.0109741 ]
 [ 0.06214473  0.02697783  0.08365138  0.01230912 -0.16989268 -0.00285238
   0.9737735  -0.10561597]
 [-0.06684871  0.02266496  0.0460232   0.05602204  0.06391295  0.01154675
   0.1170833   0.98581654]]"
4,5,8,0.9,1.4842040538787842,"[[ 0.98452264  0.02296695 -0.17082837 -0.02493728  0.0153669  -0.00454504
   0.01069677 -0.00349696]
 [-0.03592175  0.99567837 -0.07085109 -0.03123643 -0.0337624  -0.00274871
   0.00764757 -0.01152158]
 [ 0.17053567  0.07667586  0.97806925  0.07690105 -0.0409676   0.02590493
   0.00458802 -0.01160912]
 [ 0.01247135  0.01815146 -0.0892294   0.973677   -0.20326756  0.02910708
  -0.03648312  0.00317704]
 [-0.0078587   0.0394033   0.02491374  0.20969945  0.96412265 -0.13306838
   0.07138819 -0.03814545]
 [-0.00144171  0.00582563 -0.0204197  -0.00240365  0.13673969  0.9901095
   0.01756374  0.01477269]
 [-0.01060971 -0.01239207 -0.0084086   0.01983044 -0.08284591 -0.00400495
   0.9860664  -0.14164574]
 [ 0.00322353  0.01218121  0.01040046  0.00828754  0.02311304 -0.02033431
   0.14402543  0.9889253 ]]"
5,6,8,0.9,1.4147138595581055,"[[ 0.9928675  -0.05987     0.0290872  -0.01854839  0.02324141 -0.09292457
  -0.00773197  0.0143028 ]
 [ 0.05897186  0.9878391   0.11210724  0.06451511  0.03193093  0.02532045
  -0.04559277 -0.01505384]
 [-0.0412187  -0.09230696  0.9746141  -0.19021505 -0.03091812 -0.04496269
   0.02202957  0.01622654]
 [-0.00436379  0.08810002 -0.18352215 -0.9761492  -0.01955888  0.02547349
   0.06696223  0.01250072]
 [-0.02993986 -0.03163546  0.02069306 -0.02999304  0.9969513  -0.03208486
  -0.04019682  0.01476754]
 [ 0.08800326 -0.03771143  0.0487951   0.01240233  0.03183717  0.9926345
  -0.00661153  0.04379477]
 [ 0.0065356   0.04273185 -0.00637272  0.07338879  0.038756   -0.00560904
   0.96256274  0.25425252]
 [-0.01829267  0.0076406  -0.01353689 -0.00231354 -0.02596978 -0.04085663
  -0.2543735   0.9655925 ]]"
6,7,9,0.9,1.8733456134796143,"[[ 0.96300817 -0.11446767  0.09417437  0.02540663  0.06722343  0.03654835
  -0.08085464 -0.04410288  0.18884079]
 [ 0.10782427  0.9761022  -0.12657234 -0.00700164  0.01443862 -0.05134634
   0.02992781  0.00812453  0.12538828]
 [-0.09809606  0.13344568  0.980542   -0.03244134  0.01444824  0.05555315
  -0.01575604 -0.05196609  0.06173133]
 [-0.05730442  0.00162804  0.01864907  0.9882749   0.02440876 -0.03086105
  -0.06904958 -0.02354823  0.11317223]
 [-0.050447   -0.00819838 -0.00834977 -0.02084295  0.9919671  -0.08766468
   0.02124501  0.03423499 -0.05980438]
 [-0.07631655  0.0257613  -0.08343471 -0.00193167  0.09571774  0.9672249
  -0.060298   -0.06495053  0.18440911]
 [ 0.05479159 -0.01524071  0.05726867  0.04794053 -0.02543337  0.09010512
   0.3391851   0.930828    0.0305699 ]
 [ 0.04025723 -0.03801639  0.00115143  0.05111145  0.00166488  0.02433283
   0.9304902  -0.34955257  0.07567344]
 [ 0.18732518  0.11791021  0.05466428  0.12734582 -0.02564722  0.2001726
   0.05103868 -0.02675001 -0.942207  ]]"
7,8,11,0.9,2.2197225093841553,"[[ 9.91432428e-01 -2.22609919e-02  1.80784594e-02  2.54047252e-02
   7.78595917e-03 -5.81038231e-03  3.68594974e-02 -3.77665386e-02
   8.93082544e-02  5.00004925e-02  4.73143756e-02]
 [ 2.47931276e-02  9.87413526e-01 -5.49630485e-02 -6.18367568e-02
  -6.15225695e-02 -7.85879884e-03  2.63082348e-02  3.30664590e-02
   4.30666562e-03 -7.18485191e-02  8.21099505e-02]
 [ 1.03330901e-02  3.19338143e-02  9.57547426e-01 -1.69391692e-01
  -2.61646695e-02  2.36435924e-02 -3.36130075e-02  1.56678692e-01
  -5.83366789e-02 -1.38469756e-01 -6.15151897e-02]
 [-2.68597994e-02  6.11537732e-02  1.57723695e-01  9.78199899e-01
  -1.87677983e-02  3.51023898e-02  6.16227239e-02  8.18070769e-02
   1.59355905e-02 -2.58934740e-02  2.80782320e-02]
 [ 3.00438202e-04  4.99894693e-02  9.04487970e-04  2.78299581e-03
   9.85732377e-01  1.04318850e-01  3.66566190e-03  6.53646737e-02
  -1.47195933e-02 -9.32875201e-02  4.16721329e-02]
 [ 1.41706476e-02  2.58702040e-02 -1.30980834e-02 -1.27884801e-02
  -8.18494260e-02  9.68376458e-01 -1.06817104e-01 -9.80179831e-02
  -6.78898171e-02  1.12736486e-01 -1.26517639e-01]
 [-3.77798229e-02  2.09250897e-02  1.42289311e-01  1.03065241e-02
   4.61619198e-02 -2.10860912e-02  5.46873748e-01 -7.99002767e-01
  -1.89609542e-01 -1.36363916e-02  3.99095602e-02]
 [ 1.39039923e-02  5.66129498e-02  7.67766759e-02  8.95331353e-02
   5.50180711e-02 -1.53486907e-01 -8.21504533e-01 -5.15685201e-01
  -1.06124371e-01  6.30736202e-02 -8.00351799e-03]
 [-8.76518488e-02  2.77089253e-02  8.28257129e-02 -1.11146113e-02
   3.38595286e-02  2.52709072e-02  1.40504530e-02 -2.05121830e-01
   9.52573061e-01  2.72289123e-02 -1.79920480e-01]
 [-2.18496937e-02  1.01919033e-01  9.65254307e-02  7.81849399e-03
   1.01881377e-01 -1.32237300e-01  8.41215327e-02  7.64678717e-02
  -9.02832374e-02  8.98378730e-01 -3.51754367e-01]
 [-7.50803053e-02 -4.23444025e-02  1.11300677e-01 -3.85210216e-02
  -8.11196398e-03  8.57315361e-02 -1.96013320e-02  1.00396303e-02
   1.44090086e-01  3.72949511e-01  9.00524378e-01]]"
8,9,13,0.9,2.665633201599121,"[[ 8.15951943e-01 -4.41138208e-01 -1.02006868e-01  1.86522026e-03
   9.52299833e-02  3.47564444e-02 -1.08132683e-01  8.59256238e-02
   6.64953068e-02  5.33465035e-02 -2.74911284e-01 -1.23293646e-01
  -4.25795428e-02]
 [ 4.31091994e-01  8.41522753e-01  2.04191595e-01 -3.18700634e-02
   8.31128806e-02 -1.16181254e-01 -5.42241856e-02  4.05536819e-04
   4.36137803e-02  1.36907592e-01 -1.12682700e-01  7.76447058e-02
   2.38932054e-02]
 [ 8.50435421e-02 -2.27125913e-01  8.69324863e-01 -2.03241751e-01
  -2.00127065e-02  2.94648390e-02  1.33490283e-02  7.89452568e-02
   8.66768286e-02 -1.90934569e-01  1.80944487e-01  2.02894002e-01
   1.36358425e-01]
 [ 1.01176679e-01  5.48050413e-03  1.45733193e-01  9.35888886e-01
  -1.14779383e-01 -8.43633264e-02  1.45216793e-01  1.24698067e-02
   9.89596825e-03 -1.79828957e-01  1.22035988e-01 -4.60387692e-02
   4.02928479e-02]
 [-1.15529917e-01 -6.79156929e-02  2.40860377e-02  4.74780574e-02
   8.77510726e-01 -4.34755921e-01  6.02698959e-02  8.15363675e-02
  -1.86560433e-02 -7.81980976e-02  1.08837122e-02 -5.52560166e-02
   1.59038343e-02]
 [ 3.71278897e-02  1.04932420e-01 -3.96584533e-02  8.54583904e-02
   4.29773510e-01  8.65524709e-01  5.98452091e-02 -2.74141394e-02
   6.28532022e-02 -7.34843016e-02  1.74605027e-01  1.34354457e-02
   2.33612768e-02]
 [ 2.05132123e-02  1.38695969e-03  4.11267169e-02  7.31699243e-02
   5.04575782e-02 -1.51790706e-02 -8.31306338e-01 -3.34449142e-01
  -3.28433782e-01 -1.47347450e-01  2.19284460e-01 -9.00522768e-02
  -3.24643552e-02]
 [-1.27739251e-01  4.53641526e-02  9.41267982e-02  7.35663027e-02
  -2.40283087e-02  1.18144520e-01 -2.29613796e-01  8.44466686e-01
  -3.62546235e-01  1.09572090e-01 -1.28032982e-01 -9.62820500e-02
  -1.33650810e-01]
 [ 1.68929443e-01 -7.10916296e-02 -8.42765719e-02 -1.60251968e-02
   2.07164269e-02 -1.20539851e-02  2.78501481e-01 -9.68538746e-02
  -7.23619342e-01  2.35073969e-01  1.75202414e-01  3.27673227e-01
   3.93167764e-01]
 [ 6.08173646e-02 -9.41309854e-02 -4.40033264e-02  7.34834969e-02
   2.28671022e-02 -8.52253586e-02 -1.37570009e-01  1.26424015e-01
   3.18268061e-01  6.64048076e-01  6.01105154e-01  1.39329776e-01
  -1.20062523e-01]
 [ 2.37576619e-01  1.18272386e-01 -2.34564126e-01 -2.31003523e-01
  -1.06731385e-01 -1.20428450e-01  1.52990714e-01  2.51646876e-01
  -1.80786662e-02 -4.80355024e-01  6.04820132e-01 -3.26425821e-01
   7.16249347e-02]
 [ 8.24379474e-02 -4.77471593e-04 -2.25006029e-01  1.37380278e-02
   9.05168429e-03 -5.30307963e-02 -6.74129501e-02  1.20923400e-01
   3.80433872e-02 -3.57783645e-01  3.59405577e-02  7.93067753e-01
  -4.00776327e-01]
 [-6.30459860e-02  5.80670638e-03 -2.08675712e-01  4.74819802e-02
  -1.30168255e-02 -1.58271492e-02 -2.97749728e-01  2.24803403e-01
   3.40242028e-01 -9.70261618e-02 -9.94325131e-02  2.29299635e-01
   7.89262950e-01]]"
9,10,14,0.9,2.4372003078460693,"[[ 9.31376994e-01  2.20630378e-01  2.15226531e-01 -6.44303262e-02
  -2.27022562e-02 -3.45638953e-02  1.02519140e-01  4.98562492e-02
   1.09635815e-01 -1.36101255e-02 -1.77507587e-02  6.44480288e-02
  -1.72554255e-02 -4.13254388e-02]
 [ 1.00169681e-01 -8.55035782e-01  4.75414008e-01 -7.93370530e-02
   2.49842368e-02 -4.89153266e-02 -6.68626353e-02  3.77188437e-02
  -1.07669905e-02 -4.91290055e-02  9.10296291e-02 -5.97988032e-02
  -5.75499423e-03  5.68512045e-02]
 [-2.72774369e-01  3.80391896e-01  7.94698894e-01  1.76592276e-01
  -3.18400234e-01 -6.66838437e-02 -1.37241390e-02  2.36644410e-02
  -3.27944825e-03  4.00918014e-02 -2.31028553e-02  5.60265826e-03
   7.42887110e-02 -6.23633899e-02]
 [-6.07558973e-02  2.73139384e-02 -9.42201465e-02 -7.86663115e-01
  -5.53517163e-01 -1.80320591e-01  1.69929359e-02  8.59783217e-02
   5.15011586e-02 -4.16241447e-03  6.99953586e-02 -9.75319147e-02
   3.55226919e-02  5.40847480e-02]
 [-9.46428925e-02  1.50952503e-01  2.33496666e-01 -5.17307818e-01
   6.74546123e-01 -1.17619045e-01  2.61117835e-02 -1.02132738e-01
  -2.40633518e-01  1.13943644e-01 -1.16569780e-01  1.46851748e-01
   2.13263303e-01 -1.21018931e-01]
 [ 3.59250382e-02 -2.35151444e-02  6.15898073e-02 -1.54088020e-01
  -1.42806903e-01  9.04529572e-01 -3.48087493e-03 -2.01052219e-01
  -1.33655608e-01 -4.51144464e-02 -1.12862676e-01  6.82590455e-02
   2.30454057e-01  3.48276757e-02]
 [ 2.18930412e-02  4.31299321e-02 -3.24831170e-04 -7.61880502e-02
   6.72361553e-02  1.03447415e-01 -8.63750279e-01  2.04874948e-01
   3.39458555e-01  1.67772517e-01 -8.83121863e-02  6.25659451e-02
  -5.41834235e-02 -1.74832106e-01]
 [ 1.55073199e-02 -5.26772477e-02 -2.09688377e-02  1.08599188e-02
  -9.87839922e-02 -2.06304878e-01 -1.14745349e-01 -8.71460795e-01
   2.90136576e-01 -1.68835819e-01 -6.43009171e-02  1.06275707e-01
   9.20753106e-02 -1.86828226e-01]
 [-1.72703788e-02 -2.90303566e-02  3.57075930e-02 -2.27377471e-02
   4.48105522e-02  9.54132453e-02  2.10655078e-01 -1.91825897e-01
   3.17125618e-01  8.49887490e-01  7.89593011e-02 -1.70277879e-01
  -1.23319291e-01  1.77393019e-01]
 [-1.45825103e-01  8.54775012e-02  9.49780196e-02 -1.19695507e-01
   2.77752608e-01  1.81357026e-01  2.48020351e-01  1.52328834e-01
   7.14472234e-01 -3.93191874e-01  2.62124717e-01 -1.30191267e-01
   2.02380754e-02  4.67604771e-02]
 [-8.87265056e-02 -1.55006886e-01 -4.41577099e-02 -1.30223883e-02
  -1.25648320e-01  5.39862365e-02  2.99062163e-01  1.87475070e-01
   1.56034753e-01  1.40711516e-01 -6.11018986e-02  6.54999316e-01
  -1.40156478e-01 -5.71092010e-01]
 [ 5.09183556e-02  3.51728033e-03 -8.87713656e-02  1.18870266e-01
  -4.84823175e-02 -6.90989494e-02 -9.71111059e-02  3.95610109e-02
  -4.98053394e-02  1.43555894e-01  6.88134789e-01  2.08243996e-01
   6.45894825e-01 -9.98027157e-03]
 [ 4.61620977e-03 -1.18845344e-01 -8.38575140e-02  1.12311006e-01
  -6.41661808e-02 -1.43600285e-01  1.23901755e-01  1.97080091e-01
   2.48453245e-01  6.59133121e-02 -6.22545123e-01 -8.42767805e-02
   6.50333166e-01  6.00528456e-02]
 [-3.72615792e-02  2.24650670e-02  3.63784954e-02 -2.23643668e-02
  -2.30147294e-03 -6.22506477e-02 -6.71342760e-02 -1.77439693e-02
   1.02105565e-01 -4.94318455e-02 -8.90846699e-02  6.44869387e-01
  -8.66606086e-02  7.37163007e-01]]"
