layer,level_from,level_to,G
0,1,2,0.9457983586523268
0,2,3,0.9763336910141839
0,3,4,0.9525637745857238
0,4,5,0.9554555031988355
0,5,6,0.9843283269140456
0,6,7,0.9746643344561259
0,7,8,0.9809435592757331
0,8,9,0.9833439469337464
0,9,10,0.972494031323327
1,1,2,0.9455481727917989
1,2,3,0.9375293095906575
1,3,4,0.9285976860258315
1,4,5,0.9276759717199538
1,5,6,0.9450540820757548
1,6,7,0.9371885975201925
1,7,8,0.9459026442633734
1,8,9,0.9365729557143317
1,9,10,0.9224609785609775
2,1,2,0.9244876994027031
2,2,3,0.9177032762103611
2,3,4,0.9158585177527534
2,4,5,0.9278284311294556
2,5,6,0.9253157999780443
2,6,7,0.9296680940522088
2,7,8,0.933514248000251
2,8,9,0.9174449258380466
2,9,10,0.9006501343515184
3,1,2,0.8649160676532321
3,2,3,0.9161334090762668
3,3,4,0.8733206219143338
3,4,5,0.8964084015952216
3,5,6,0.9170400460561117
3,6,7,0.9185299065377978
3,7,8,0.9260063542260064
3,8,9,0.8908399237526787
3,9,10,0.8791756735907661
4,1,2,0.8709601018163893
4,2,3,0.9184935490290324
4,3,4,0.8933333184983995
4,4,5,0.9203489356570773
4,5,6,0.9027825832366944
4,6,7,0.9089606152640448
4,7,8,0.9164615154266358
4,8,9,0.8796358002556695
4,9,10,0.8854040927357144
5,1,2,0.8495803316434224
5,2,3,0.903654690583547
5,3,4,0.9040701799922519
5,4,5,0.9186805884043375
5,5,6,0.8797161300977071
5,6,7,0.8912420233090719
5,7,8,0.9022707025210063
5,8,9,0.8564375427034167
5,9,10,0.8737131237983704
6,1,2,0.8279558724827236
6,2,3,0.8733152217335172
6,3,4,0.8936384505695767
6,4,5,0.9089997437265184
6,5,6,0.8605089757177565
6,6,7,0.860642229186164
6,7,8,0.8804651962386237
6,8,9,0.8290717310375637
6,9,10,0.8373651478025649
7,1,2,0.8091593040360345
7,2,3,0.8614080548286438
7,3,4,0.8615057600869073
7,4,5,0.8793323079744975
7,5,6,0.8374673777156406
7,6,7,0.8565787620014614
7,7,8,0.8683927416801452
7,8,9,0.8156383792559306
7,9,10,0.8178495115704006
8,1,2,0.7979940626356337
8,2,3,0.8324939158227709
8,3,4,0.8328911635610793
8,4,5,0.85876428021325
8,5,6,0.8106556839413113
8,6,7,0.8128627234035068
8,7,8,0.8403200507164001
8,8,9,0.8028748604986403
8,9,10,0.7868073211775886
9,1,2,0.7508313245243496
9,2,3,0.8103025012546116
9,3,4,0.8114517913924323
9,4,5,0.7763353149096172
9,5,6,0.753970840242174
9,6,7,0.8230717447068956
9,7,8,0.8132566981845432
9,8,9,0.7769220762782627
9,9,10,0.73181691037284
10,1,2,0.6888258000214894
10,2,3,0.7615299767918057
10,3,4,0.7872539427545335
10,4,5,0.7362533211708069
10,5,6,0.7035503374205695
10,6,7,0.8877213146951464
10,7,8,0.8171595613161723
10,8,9,0.7259330226315392
10,9,10,0.7023003134462569
11,1,2,0.7461273743046655
11,2,3,0.9119799216588338
11,3,4,0.921514978673723
11,4,5,0.6815416727628972
11,5,6,0.5947411805391312
11,6,7,0.9235529979070027
11,7,8,0.6768438594208823
11,8,9,0.8829395413398743
11,9,10,0.6302962079644203
