,layer,level_from,level_to,G,left_out
0,0,1,2,0.9879141847292582,sentence.1
1,0,2,3,0.9898639950487349,sentence.1
2,0,3,4,0.9905229740672641,sentence.1
3,0,4,5,0.9897850354512533,sentence.1
4,0,5,6,0.9869645618730121,sentence.1
5,0,6,7,0.9883026844925351,sentence.1
6,0,7,8,0.9900484416219923,sentence.1
7,0,8,9,0.9879469656282001,sentence.1
8,0,9,10,0.9882393479347229,sentence.1
9,1,1,2,0.9868111676639981,sentence.1
10,1,2,3,0.9895444330241945,sentence.1
11,1,3,4,0.9891759206851324,sentence.1
12,1,4,5,0.9892931712998284,sentence.1
13,1,5,6,0.9873277015156217,sentence.1
14,1,6,7,0.9861508823103375,sentence.1
15,1,7,8,0.9895965390735202,sentence.1
16,1,8,9,0.9850279970301522,sentence.1
17,1,9,10,0.9850114186604818,sentence.1
18,2,1,2,0.9669667002227571,sentence.1
19,2,2,3,0.975604514280955,sentence.1
20,2,3,4,0.9749440352121989,sentence.1
21,2,4,5,0.9812894215186437,sentence.1
22,2,5,6,0.9755760745869743,sentence.1
23,2,6,7,0.9738599194420708,sentence.1
24,2,7,8,0.9772737357351515,sentence.1
25,2,8,9,0.9648942467239168,sentence.1
26,2,9,10,0.9715555790397856,sentence.1
27,3,1,2,0.9356654501623578,sentence.1
28,3,2,3,0.963990600572692,sentence.1
29,3,3,4,0.9559861868619919,sentence.1
30,3,4,5,0.964537489745352,sentence.1
31,3,5,6,0.9521462139156129,sentence.1
32,3,6,7,0.9582540227307214,sentence.1
33,3,7,8,0.9598485993014442,sentence.1
34,3,8,9,0.9476471940676371,sentence.1
35,3,9,10,0.9559541675779555,sentence.1
36,4,1,2,0.913299689690272,sentence.1
37,4,2,3,0.9533264719777637,sentence.1
38,4,3,4,0.9419704559776518,sentence.1
39,4,4,5,0.9566225227382448,sentence.1
40,4,5,6,0.9401565177573098,sentence.1
41,4,6,7,0.9487949328290092,sentence.1
42,4,7,8,0.9473374651538001,sentence.1
43,4,8,9,0.9379857298400667,sentence.1
44,4,9,10,0.9441819621456994,sentence.1
45,5,1,2,0.9021003991365433,sentence.1
46,5,2,3,0.9461646758847766,sentence.1
47,5,3,4,0.9330638713306851,sentence.1
48,5,4,5,0.9494274208943049,sentence.1
49,5,5,6,0.929737764928076,sentence.1
50,5,6,7,0.9384956078396903,sentence.1
51,5,7,8,0.9318787422445085,sentence.1
52,5,8,9,0.9208464009894265,sentence.1
53,5,9,10,0.9300554460949368,sentence.1
54,6,1,2,0.8932179825173484,sentence.1
55,6,2,3,0.9325021257003149,sentence.1
56,6,3,4,0.9325753483507369,sentence.1
57,6,4,5,0.9402517278989156,sentence.1
58,6,5,6,0.9140903386804793,sentence.1
59,6,6,7,0.9289636843734317,sentence.1
60,6,7,8,0.9209201220009062,sentence.1
61,6,8,9,0.9127055505911509,sentence.1
62,6,9,10,0.9209852980242835,sentence.1
63,7,1,2,0.8776598688628938,sentence.1
64,7,2,3,0.9114062769545449,sentence.1
65,7,3,4,0.9141863915655348,sentence.1
66,7,4,5,0.9247260408269035,sentence.1
67,7,5,6,0.9022578315602409,sentence.1
68,7,6,7,0.9163966377576193,sentence.1
69,7,7,8,0.9112410065200593,sentence.1
70,7,8,9,0.8942396707004971,sentence.1
71,7,9,10,0.9094933403862847,sentence.1
72,8,1,2,0.860954256521331,sentence.1
73,8,2,3,0.8887683749198914,sentence.1
74,8,3,4,0.8981348656945758,sentence.1
75,8,4,5,0.9008946998251809,sentence.1
76,8,5,6,0.8844070782264074,sentence.1
77,8,6,7,0.8965198844671249,sentence.1
78,8,7,8,0.8895793093575372,sentence.1
79,8,8,9,0.874905945526229,sentence.1
80,8,9,10,0.8915630347198911,sentence.1
81,9,1,2,0.8278792748848597,sentence.1
82,9,2,3,0.8596680131223466,sentence.1
83,9,3,4,0.8807217793332206,sentence.1
84,9,4,5,0.8798928111791611,sentence.1
85,9,5,6,0.8641903483205371,sentence.1
86,9,6,7,0.8790934814347161,sentence.1
87,9,7,8,0.8686660958660973,sentence.1
88,9,8,9,0.8554142995013131,sentence.1
89,9,9,10,0.8706633564498689,sentence.1
90,10,1,2,0.7951671630144119,sentence.1
91,10,2,3,0.8146406892273161,sentence.1
92,10,3,4,0.845000233915117,sentence.1
93,10,4,5,0.8483816666735543,sentence.1
94,10,5,6,0.8356830030679703,sentence.1
95,10,6,7,0.8504585673411688,sentence.1
96,10,7,8,0.8336552580197653,sentence.1
97,10,8,9,0.8253416104449166,sentence.1
98,10,9,10,0.8381062630150053,sentence.1
99,11,1,2,0.7631759262747235,sentence.1
100,11,2,3,0.7615856031576792,sentence.1
101,11,3,4,0.7960059096415838,sentence.1
102,11,4,5,0.7933029797342088,sentence.1
103,11,5,6,0.8027945657571157,sentence.1
104,11,6,7,0.8354534424013562,sentence.1
105,11,7,8,0.7599776933590571,sentence.1
106,11,8,9,0.7832252615027957,sentence.1
107,11,9,10,0.7668447080585692,sentence.1
108,0,1,2,0.9869502286116282,sentence.10
109,0,2,3,0.9896453701787524,sentence.10
110,0,3,4,0.9904787722561095,sentence.10
111,0,4,5,0.9898262735870149,sentence.10
112,0,5,6,0.9866407811641693,sentence.10
113,0,6,7,0.9880291422208151,sentence.10
114,0,7,8,0.9902623014317619,sentence.10
115,0,8,9,0.9884059793419309,sentence.10
116,0,9,10,0.9885562294059329,sentence.10
117,1,1,2,0.9856031950977113,sentence.10
118,1,2,3,0.989209943347507,sentence.10
119,1,3,4,0.9891911778185103,sentence.10
120,1,4,5,0.9894762701458402,sentence.10
121,1,5,6,0.987154988778962,sentence.10
122,1,6,7,0.9857263465722402,sentence.10
123,1,7,8,0.9889692150884204,sentence.10
124,1,8,9,0.9854197949171066,sentence.10
125,1,9,10,0.9854127864042918,sentence.10
126,2,1,2,0.9640375243292915,sentence.10
127,2,2,3,0.9741010417540868,sentence.10
128,2,3,4,0.9751370665099885,sentence.10
129,2,4,5,0.9812830719682906,sentence.10
130,2,5,6,0.974510606792238,sentence.10
131,2,6,7,0.973348500000106,sentence.10
132,2,7,8,0.9762306958436966,sentence.10
133,2,8,9,0.9652930183543099,sentence.10
134,2,9,10,0.9716825236876806,sentence.10
135,3,1,2,0.9306471827957365,sentence.10
136,3,2,3,0.96205392645465,sentence.10
137,3,3,4,0.9560910794470046,sentence.10
138,3,4,5,0.9649155487616857,sentence.10
139,3,5,6,0.9523054278559155,sentence.10
140,3,6,7,0.9577439212136798,sentence.10
141,3,7,8,0.959641714890798,sentence.10
142,3,8,9,0.9486628870169321,sentence.10
143,3,9,10,0.956715519229571,sentence.10
144,4,1,2,0.9111197623941634,sentence.10
145,4,2,3,0.9520880464050505,sentence.10
146,4,3,4,0.9426712973250283,sentence.10
147,4,4,5,0.957616099052959,sentence.10
148,4,5,6,0.9414876831902398,sentence.10
149,4,6,7,0.9484527475304074,sentence.10
150,4,7,8,0.9464596609274546,sentence.10
151,4,8,9,0.9392223027017381,sentence.10
152,4,9,10,0.945441957977083,sentence.10
153,5,1,2,0.8988953762584262,sentence.10
154,5,2,3,0.9461297161049314,sentence.10
155,5,3,4,0.9335603151056502,sentence.10
156,5,4,5,0.9505999452537961,sentence.10
157,5,5,6,0.9320409893989563,sentence.10
158,5,6,7,0.9384766187932756,sentence.10
159,5,7,8,0.9327533377541436,sentence.10
160,5,8,9,0.9231156938605838,sentence.10
161,5,9,10,0.9324579454130597,sentence.10
162,6,1,2,0.8898442486921946,sentence.10
163,6,2,3,0.9319432394372092,sentence.10
164,6,3,4,0.9327390922440423,sentence.10
165,6,4,5,0.9427268140845828,sentence.10
166,6,5,6,0.9182730515797933,sentence.10
